流水	类型	排名最小区间	排名最大区间	奖励
int	int	int	int	string
Id	Type	RankMin	RankMax	Reward
1	1	1	1	item1043,1000;item106400001106,20;item8103010131003,30
2	1	2	2	item1043,950;item106400001106,18;item8103010131003,27
3	1	3	3	item1043,900;item106400001106,16;item8103010131003,24
4	1	4	4	item1043,850;item106400001106,15;item8103010131003,22
5	1	5	5	item1043,800;item106400001106,14;item8103010131003,20
6	1	6	10	item1043,750;item106400001106,12;item8103010131003,18
7	1	11	20	item1043,700;item106400001106,10;item8103010131003,15
8	1	21	50	item1043,600;item106400001106,8;item8103010131003,12
9	1	51	100	item1043,500;item106400001106,6;item8103010131003,10
10	1	101	500	item1043,400;item106400001106,4;item8103010131003,6
11	1	501	1000	item1043,300;item106400001106,3;item8103010131003,4
12	1	1000	5000	item1043,200;item106400001106,2;item8103010131003,2
13	2	1	1	item1043,1200;item106400001106,20;item8103010131003,30
14	2	2	2	item1043,1150;item106400001106,18;item8103010131003,27
15	2	3	3	item1043,1100;item106400001106,16;item8103010131003,24
16	2	4	4	item1043,1050;item106400001106,15;item8103010131003,22
17	2	5	5	item1043,1000;item106400001106,14;item8103010131003,20
18	2	6	10	item1043,900;item106400001106,12;item8103010131003,18
19	2	11	20	item1043,800;item106400001106,10;item8103010131003,15
20	2	21	50	item1043,700;item106400001106,8;item8103010131003,12
21	2	51	100	item1043,600;item106400001106,6;item8103010131003,10
22	2	101	500	item1043,400;item106400001106,4;item8103010131003,6
23	2	501	1000	item1043,300;item106400001106,3;item8103010131003,4
24	2	1000	5000	item1043,200;item106400001106,2;item8103010131003,2
25	3	1	1	item1043,1500;item106400001106,20;item8103010131003,30
26	3	2	2	item1043,1400;item106400001106,18;item8103010131003,27
27	3	3	3	item1043,1300;item106400001106,16;item8103010131003,24
28	3	4	4	item1043,1200;item106400001106,15;item8103010131003,22
29	3	5	5	item1043,1100;item106400001106,14;item8103010131003,20
30	3	6	10	item1043,1000;item106400001106,12;item8103010131003,18
31	3	11	20	item1043,900;item106400001106,10;item8103010131003,15
32	3	21	50	item1043,800;item106400001106,8;item8103010131003,12
33	3	51	100	item1043,700;item106400001106,6;item8103010131003,10
34	3	101	500	item1043,600;item106400001106,4;item8103010131003,6
35	3	501	1000	item1043,500;item106400001106,3;item8103010131003,4
36	3	1000	5000	item1043,300;item106400001106,2;item8103010131003,2
37	4	1	1	item1043,1800;item106400001106,20;item8103010131003,30
38	4	2	2	item1043,1700;item106400001106,18;item8103010131003,27
39	4	3	3	item1043,1600;item106400001106,16;item8103010131003,24
40	4	4	4	item1043,1500;item106400001106,15;item8103010131003,22
41	4	5	5	item1043,1400;item106400001106,14;item8103010131003,20
42	4	6	10	item1043,1300;item106400001106,12;item8103010131003,18
43	4	11	20	item1043,1200;item106400001106,10;item8103010131003,15
44	4	21	50	item1043,1000;item106400001106,8;item8103010131003,12
45	4	51	100	item1043,800;item106400001106,6;item8103010131003,10
46	4	101	500	item1043,600;item106400001106,4;item8103010131003,6
47	4	501	1000	item1043,500;item106400001106,3;item8103010131003,4
48	4	1000	5000	item1043,300;item106400001106,2;item8103010131003,2
49	5	1	1	item1043,2000;item106400001106,20;item8103010131003,30
50	5	2	2	item1043,1900;item106400001106,18;item8103010131003,27
51	5	3	3	item1043,1800;item106400001106,16;item8103010131003,24
52	5	4	4	item1043,1700;item106400001106,15;item8103010131003,22
53	5	5	5	item1043,1600;item106400001106,14;item8103010131003,20
54	5	6	10	item1043,1500;item106400001106,12;item8103010131003,18
55	5	11	20	item1043,1400;item106400001106,10;item8103010131003,15
56	5	21	50	item1043,1200;item106400001106,8;item8103010131003,12
57	5	51	100	item1043,1000;item106400001106,6;item8103010131003,10
58	5	101	500	item1043,800;item106400001106,4;item8103010131003,6
59	5	501	1000	item1043,600;item106400001106,3;item8103010131003,4
60	5	1000	5000	item1043,400;item106400001106,2;item8103010131003,2
61	6	1	1	item1043,2200;item106400001106,20;item8103010131003,30
62	6	2	2	item1043,2100;item106400001106,18;item8103010131003,27
63	6	3	3	item1043,2000;item106400001106,16;item8103010131003,24
64	6	4	4	item1043,1900;item106400001106,15;item8103010131003,22
65	6	5	5	item1043,1800;item106400001106,14;item8103010131003,20
66	6	6	10	item1043,1700;item106400001106,12;item8103010131003,18
67	6	11	20	item1043,1600;item106400001106,10;item8103010131003,15
68	6	21	50	item1043,1400;item106400001106,8;item8103010131003,12
69	6	51	100	item1043,1200;item106400001106,6;item8103010131003,10
70	6	101	500	item1043,1000;item106400001106,4;item8103010131003,6
71	6	501	1000	item1043,800;item106400001106,3;item8103010131003,4
72	6	1000	5000	item1043,600;item106400001106,2;item8103010131003,2
73	7	1	1	item1043,2500;item106400001106,20;item8103010131003,30
74	7	2	2	item1043,2400;item106400001106,18;item8103010131003,27
75	7	3	3	item1043,2300;item106400001106,16;item8103010131003,24
76	7	4	4	item1043,2200;item106400001106,15;item8103010131003,22
77	7	5	5	item1043,2100;item106400001106,14;item8103010131003,20
78	7	6	10	item1043,2000;item106400001106,12;item8103010131003,18
79	7	11	20	item1043,1800;item106400001106,10;item8103010131003,15
80	7	21	50	item1043,1600;item106400001106,8;item8103010131003,12
81	7	51	100	item1043,1400;item106400001106,6;item8103010131003,10
82	7	101	500	item1043,1200;item106400001106,4;item8103010131003,6
83	7	501	1000	item1043,900;item106400001106,3;item8103010131003,4
84	7	1000	5000	item1043,700;item106400001106,2;item8103010131003,2
85	101	1	1	item1014,8888;item106400001106,100;item200000800002,5;item8107999900013,1
86	101	2	2	item1014,5000;item106400001106,80;item200000800002,5;item8107999900013,1
87	101	3	3	item1014,4500;item106400001106,75;item200000800002,5;item8107999900013,1
88	101	4	4	item1014,4000;item106400001106,70;item200000800002,4
89	101	5	5	item1014,3500;item106400001106,65;item200000800002,4
90	101	6	6	item1014,3000;item106400001106,60;item200000800002,4
91	101	7	7	item1014,2500;item106400001106,55;item200000800002,3
92	101	8	8	item1014,2000;item106400001106,50;item200000800002,3
93	101	9	9	item1014,1800;item106400001106,45;item200000800002,3
94	101	10	10	item1014,1500;item106400001106,40;item200000800002,2
95	101	11	20	item1014,1200;item106400001106,35;item200000800002,2
96	101	21	50	item1014,1000;item106400001106,30;item200000800002,2
