任务ID	任务大类	任务类型	任务组	任务标题	任务奖励	需求进度
int	int	int	int	string	string	string
TaskID	TaskTeam	TaskType	TaskGroup	TaskName	TaskReward	TaskParam
1	2	1	1001	Abyss_Task1	item1043,100	2,10
2	2	1	1001	Abyss_Task2	item1043,150	2,45
3	2	1	1001	Abyss_Task3	item1043,200	2,75
4	2	1	1001	Abyss_Task4	item1043,250	2,100
5	2	1	1001	Abyss_Task5	item1043,300	2,130
6	2	1	1001	Abyss_Task6	item1043,350	2,160
7	2	1	1002	Abyss_Task7	item1043,100	3,10
8	2	1	1002	Abyss_Task8	item1043,150	3,60
9	2	1	1002	Abyss_Task9	item1043,200	3,90
10	2	1	1002	Abyss_Task10	item1043,250	3,120
11	2	1	1002	Abyss_Task11	item1043,300	3,180
12	2	1	1002	Abyss_Task12	item1043,350	3,210
13	2	1	1004	Abyss_Task13	item1043,100	5,1
14	2	1	1004	Abyss_Task14	item1043,150	5,3
15	2	1	1004	Abyss_Task15	item1043,200	5,5
16	1	1	1005	Abyss_Task16	item1043,100	101,4
17	1	1	1005	Abyss_Task17	item1043,150	101,10
18	1	1	1005	Abyss_Task18	item1043,200	101,16
19	1	1	1005	Abyss_Task19	item1043,250	101,22
20	1	1	1005	Abyss_Task20	item1043,300	101,28
21	1	1	1005	Abyss_Task21	item1043,350	101,30
22	1	2	1006	Abyss_Task22	item1043,150	Monster8,6,1
23	1	2	1006	Abyss_Task23	item1043,200	Monster9,5,1
24	1	2	1006	Abyss_Task24	item1043,250	Monster10,4,1
25	1	2	1006	Abyss_Task25	item1043,350	Monster12,3,1
26	1	2	1006	Abyss_Task26	item1043,400	Monster13,2,1
27	1	2	1006	Abyss_Task27	item1043,450	Monster14,1,1
28	2	4	1007	Abyss_Task28	item1043,100	Monster1,10000
29	2	4	1007	Abyss_Task29	item1043,150	Monster5,100000
30	2	4	1007	Abyss_Task30	item1043,200	Monster7,1000000
31	1	3	1008	Abyss_Task31	item1043,100	102
32	1	3	1008	Abyss_Task32	item1043,150	103
33	1	3	1008	Abyss_Task33	item1043,200	104
34	1	3	1008	Abyss_Task34	item1043,250	105
35	1	3	1008	Abyss_Task35	item1043,300	106
36	1	3	1008	Abyss_Task36	item1043,350	107
37	2	5	1009	Abyss_Task37	item1043,150	1,1
38	2	5	1009	Abyss_Task38	item1043,200	1,20
39	2	5	1009	Abyss_Task39	item1043,250	1,40
40	2	5	1009	Abyss_Task40	item1043,300	1,60
