流水	活动id	第几周	任务组	任务id	能量	功能检测和自动关闭
int	int	int	int	int	int	string
Id	ActiveId	Week	TaskGroup	EnergyTaskId	Reward	FuncTest
1	6201	1	1	183010	100	0,1
2	6201	1	2	182010	50	69,0
3	6201	1	3	181430	30	37,0
4	6201	1	3	181440	30	37,0
5	6201	1	3	181450	30	37,0
6	6201	1	4	183020	100	106,1
7	6201	1	5	182020	50	12,0
8	6201	1	6	182050	50	0,0
9	6201	1	7	183040	100	0,1
10	6201	1	8	182060	50	1,1
11	6201	1	9	181010	30	0,1
12	6201	1	9	181020	30	0,1
13	6201	1	9	181030	30	0,1
14	6201	1	10	183050	100	23,1
15	6201	1	11	182080	50	33,1
16	6201	1	12	181190	30	0,0
17	6201	1	12	181200	30	0,0
18	6201	1	12	181210	30	0,0
19	6201	1	13	183070	100	0,1
20	6201	1	14	182100	50	41,0
21	6201	1	15	182110	50	0,0
22	6201	1	16	183080	100	13,1
23	6201	1	17	182130	50	145,1
24	6201	1	18	181400	30	0,1
25	6201	1	18	181400	30	0,1
26	6201	1	18	181420	30	0,1
27	6201	1	19	183100	100	0,1
28	6201	1	20	182140	50	25,1
29	6201	1	21	181460	30	0,1
30	6201	1	21	181470	30	0,1
31	6201	1	21	181480	30	0,1
32	6201	2	22	183010	100	0,1
33	6201	2	23	182010	50	69,0
34	6201	2	24	181040	30	0,1
35	6201	2	24	181050	30	0,1
36	6201	2	24	181060	30	0,1
37	6201	2	25	183030	100	80,1
38	6201	2	26	182030	50	39,0
39	6201	2	27	182050	50	0,0
40	6201	2	28	183040	100	0,1
41	6201	2	29	182060	50	1,1
42	6201	2	30	181220	30	0,0
43	6201	2	30	181230	30	0,0
44	6201	2	30	181240	30	0,0
45	6201	2	31	183050	100	23,1
46	6201	2	32	182080	50	33,1
47	6201	2	33	181310	30	138,1
48	6201	2	33	181320	30	138,1
49	6201	2	33	181330	30	138,1
50	6201	2	34	183060	100	14,1
51	6201	2	35	182090	50	34,1
52	6201	2	36	182100	50	41,0
53	6201	2	37	183080	100	13,1
54	6201	2	38	182130	50	145,1
55	6201	2	39	181430	30	37,0
56	6201	2	39	181440	30	37,0
57	6201	2	39	181450	30	37,0
58	6201	2	40	183110	100	0,1
59	6201	2	41	182150	50	25,1
60	6201	2	42	181490	30	0,1
61	6201	2	42	181500	30	0,1
62	6201	2	42	181510	30	0,1
63	6201	3	43	183010	100	0,1
64	6201	3	44	182010	50	69,0
65	6201	3	45	181070	30	0,1
66	6201	3	45	181080	30	0,1
67	6201	3	45	181090	30	0,1
68	6201	3	46	183020	100	106,1
69	6201	3	47	182070	50	2,1
70	6201	3	48	182050	50	0,0
71	6201	3	49	183070	100	0,1
72	6201	3	50	182060	50	1,1
73	6201	3	51	181250	30	0,0
74	6201	3	51	181260	30	0,0
75	6201	3	51	181270	30	0,0
76	6201	3	52	183050	100	23,1
77	6201	3	53	182080	50	33,1
78	6201	3	54	181340	30	138,1
79	6201	3	54	181350	30	138,1
80	6201	3	54	181360	30	138,1
81	6201	3	55	183040	100	0,1
82	6201	3	56	182100	50	41,0
83	6201	3	57	182120	50	127,0
84	6201	3	58	183080	100	13,1
85	6201	3	59	182130	50	145,1
86	6201	3	60	181430	30	37,0
87	6201	3	60	181440	30	37,0
88	6201	3	60	181450	30	37,0
89	6201	3	61	183100	100	0,1
90	6201	3	62	182160	50	25,1
91	6201	3	63	181520	30	0,1
92	6201	3	63	181530	30	0,1
93	6201	3	63	181540	30	0,1
94	6201	4	64	183010	100	0,1
95	6201	4	65	182010	50	69,0
96	6201	4	66	181100	30	0,1
97	6201	4	66	181110	30	0,1
98	6201	4	66	181120	30	0,1
99	6201	4	67	183030	100	80,1
100	6201	4	68	182030	50	39,0
101	6201	4	69	182050	50	0,0
102	6201	4	70	183040	100	0,1
103	6201	4	71	182070	50	2,1
104	6201	4	72	181280	30	0,0
105	6201	4	72	181290	30	0,0
106	6201	4	72	181300	30	0,0
107	6201	4	73	183050	100	23,1
108	6201	4	74	182080	50	33,1
109	6201	4	75	181370	30	138,1
110	6201	4	75	181380	30	138,1
111	6201	4	75	181390	30	138,1
112	6201	4	76	183060	100	14,1
113	6201	4	77	182100	50	41,0
114	6201	4	78	182110	50	0,0
115	6201	4	79	183080	100	13,1
116	6201	4	80	182130	50	145,1
117	6201	4	81	181430	30	37,0
118	6201	4	81	181440	30	37,0
119	6201	4	81	181450	30	37,0
120	6201	4	82	183110	100	0,1
121	6201	4	83	182170	50	25,1
122	6201	4	84	181550	30	0,1
123	6201	4	84	181560	30	0,1
124	6201	4	84	181570	30	0,1
125	6201	5	85	183010	100	0,1
126	6201	5	86	182010	50	69,0
127	6201	5	87	181310	30	138,1
128	6201	5	87	181320	30	138,1
129	6201	5	87	181330	30	138,1
130	6201	5	88	183020	100	106,1
131	6201	5	89	182020	50	12,0
132	6201	5	90	182030	50	39,0
133	6201	5	91	183030	100	80,1
134	6201	5	93	181340	30	138,1
135	6201	5	93	181350	30	138,1
136	6201	5	93	181360	30	138,1
137	6201	5	94	183040	100	0,1
138	6201	5	95	182050	50	0,0
139	6201	5	96	182060	50	1,1
140	6201	5	97	183050	100	23,1
141	6201	5	98	182070	50	2,1
142	6201	5	99	181370	30	138,1
143	6201	5	99	181380	30	138,1
144	6201	5	99	181390	30	138,1
