流水	活动id	任务组	任务id	任务奖励	高级任务奖励	活动界面是否自动关闭	任务标签	任务积分
int	int	int	int	string	string	string	int	int
Id	ActiveId	TaskGroup	AchievementId	Reward	HighReward	AutoClose	TaskType	TaskPoint
1	6902	1	1690101	item1014,30;item8106210400002,2		0	1	2
2	6902	1	1690102	item1014,60;item100000000003,1		0	1	2
3	6902	1	1690103	item1014,60;item8103010121003,10		0	3	3
4	6902	1	1690104	item1014,30;item8103010121003,15		0	3	4
5	6902	1	1690105	item1014,60;item1013,1000		0	3	3
6	6902	1	1690106	item1014,30;item105000000030,10		0	3	4
7	6902	1	1690107	item1014,40;item107999900001,10		0	2	2
8	6902	1	1690108	item1014,30;item105000000030,5		0	2	3
9	6902	1	1690109	item1014,40;item105000000030,5		0	4	3
10	6902	1	1690110	item1014,20;item105000000030,10		0	4	4
11	6902	2	1690111	item1014,30;item100000000003,1		0	1	2
12	6902	2	1690112	item1014,30;item8106210400002,2		0	1	2
13	6902	2	1690113	item1014,30;item105000000030,20		0	3	3
14	6902	2	1690114	item1014,60;item105000000030,10		0	3	4
15	6902	2	1690115	item1014,30;item107999900001,20		0	3	4
16	6902	2	1690116	item1014,30;item105000000030,20		0	3	5
17	6902	2	1690117	item1014,60;item8103010121003,10		0	2	2
18	6902	2	1690118	item1014,60;item101040101017,10		0	2	3
19	6902	2	1690119	item1014,30;item101040101017,15		0	2	3
20	6902	2	1690120	item1014,40;item100000000000,1		0	2	4
21	6902	3	1690121	item1014,60;item100000000003,1		0	1	2
22	6902	3	1690122	item1014,30;item1012,500		0	1	2
23	6902	3	1690123	item1014,60;item107200041001,10		0	3	4
24	6902	3	1690124	item1014,60;item1006,200		0	3	4
25	6902	3	1690125	item1014,30;item107999900002,5		0	3	3
26	6902	3	1690126	item1014,30;item107999900002,10		0	3	5
27	6902	3	1690127	item1014,40;item8103010131003,2		0	2	4
28	6902	3	1690128	item1014,30;item107999900001,10		0	2	2
29	6902	3	1690129	item1014,40;item8103010111017,10		0	2	3
30	6902	3	1690130	item1014,20;item8103010121003,20		0	2	3
31	6902	4	1690131	item1014,60;item8200000800001,5		0	3	3
32	6902	4	1690132	item1014,60;item107200041001,5		0	3	3
33	6902	4	1690133	item1014,30;item107999900002,10		0	3	4
34	6902	4	1690134	item1014,30;item8103015110302,2		0	3	5
35	6902	4	1690135	item1014,40;item8200000800001,2		0	4	3
36	6902	4	1690136	item1014,30;item107300000001,10		0	2	3
37	6902	4	1690137	item1014,40;item107300000001,10		0	2	4
38	6902	4	1690138	item1014,30;item107999900001,20		0	2	5
39	6902	5	1690139	item1014,30;item8200000800001,5		0	3	4
40	6902	5	1690140	item1014,60;item8101020504800,5		0	3	3
41	6902	5	1690141	item1014,30;item8101020504900,2		0	3	5
42	6902	5	1690142	item1014,40;item1006,200		0	3	5
43	6902	5	1690143	item1014,60;item161000000001,1		0	4	2
44	6902	5	1690144	item1014,40;item161000000001,2		0	2	3
45	6902	5	1690145	item1014,30;item161000000001,2		0	2	3
46	6902	5	1690146	item1014,30;item8200000800001,5		0	4	3
47	6902	6	1690147	item1014,60;item8103015110302,1		0	3	4
48	6902	6	1690148	item1014,30;item8103015110302,2		0	3	5
49	6902	6	1690149	item1014,30;item105000000031,10		0	3	5
50	6902	6	1690150	item1014,60;item105000000031,10		0	2	5
51	6902	6	1690151	item1014,30;item8103010111017,10		0	2	4
52	6902	6	1690152	item1014,30;item100000000000,2		0	2	5
53	6902	7	1690153	item1014,30;item107200041001,10		0	3	5
54	6902	7	1690154	item1014,60;item8103010121004,10		0	3	4
55	6902	7	1690155	item1014,60;item8103010121004,10		0	3	6
56	6902	7	1690156	item1014,30;item107200041001,20		0	2	5
57	6902	7	1690157	item1014,30;item107300000001,15		0	2	4
58	6902	7	1690158	item1014,30;item107300000001,20		0	2	6
59	6902	8	1690159	item1014,30;item8103010121004,10		0	3	5
60	6902	8	1690160	item1014,60;item1012,100		0	3	4
61	6902	8	1690161	item1014,30;item107200041001,10		0	3	6
62	6902	8	1690162	item1014,60;item8170000120010,10		0	1	4
63	6902	8	1690163	item1014,30;item8170000120010,20		0	1	5
64	6902	8	1690164	item1014,30;item161000000002,1		0	4	6
65	6902	9	1690165	item1014,60;item107300000001,10		0	3	4
66	6902	9	1690166	item1014,60;item8103015110303,3		0	3	4
67	6902	9	1690167	item1014,30;item105000000031,10		0	3	6
68	6902	9	1690168	item1014,30;item101040101017,30		0	2	4
69	6902	9	1690169	item1014,30;item8106210200001,2		0	1	4
70	6902	9	1690170	item1014,30;item8106210200001,10		0	1	6
71	6902	10	1690171	item1014,60;item8103010111017,10		0	3	4
72	6902	10	1690172	item1014,30;item8103015110413,10		0	3	5
73	6902	10	1690173	item1014,60;item8103015110303,5		0	3	5
74	6902	10	1690174	item1014,30;item100000000003,1		0	1	4
75	6902	10	1690175	item1014,30;item100000000003,1		0	1	5
76	6902	10	1690176	item1014,30;item100000000006,10		0	2	5
77	6902	11	1690177	item1014,60;item100000000003,2		0	3	5
78	6902	11	1690178	item1014,30;item8103015110413,20		0	3	5
79	6902	11	1690179	item1014,30;item8103010121004,5		0	2	5
80	6902	11	1690180	item1014,30;item107200041001,10		0	2	5
81	6902	11	1690181	item1014,30;item100000000000,2		0	4	6
