章节ID	难度等级	属性
int	int	string
RegionID	Difficulty	PropRatio
101	1	1,2000;3,2000;4,2000;30,2000;31,2000;32,2000;33,2000;51,2000;52,2000
101	2	1,3000;3,3000;4,3000;30,3000;31,3000;32,3000;33,3000;51,3000;52,3000
101	3	1,4000;3,5000;4,4000;30,4000;31,4000;32,4000;33,4000;51,4000;52,4000
102	1	1,2500;3,2500;4,2500;30,2500;31,2500;32,2500;33,2500;51,2500;52,2500
102	2	1,3750;3,3750;4,3750;30,3750;31,3750;32,3750;33,3750;51,3750;52,3750
102	3	1,5000;3,6250;4,5000;30,5000;31,5000;32,5000;33,5000;51,5000;52,5000
103	1	1,3000;3,3000;4,3000;30,3000;31,3000;32,3000;33,3000;51,3000;52,3000
103	2	1,4500;3,4500;4,4500;30,4500;31,4500;32,4500;33,4500;51,4500;52,4500
103	3	1,6000;3,7500;4,6000;30,6000;31,6000;32,6000;33,6000;51,6000;52,6000
104	1	1,3500;3,3500;4,3500;30,3500;31,3500;32,3500;33,3500;51,3500;52,3500
104	2	1,5250;3,5250;4,5250;30,5250;31,5250;32,5250;33,5250;51,5250;52,5250
104	3	1,7000;3,8750;4,7000;30,7000;31,7000;32,7000;33,7000;51,7000;52,7000
201	1	1,4500;3,4500;4,4500;30,4500;31,4500;32,4500;33,4500;51,4500;52,4500
201	2	1,6750;3,6750;4,6750;30,6750;31,6750;32,6750;33,6750;51,6750;52,6750
201	3	1,9000;3,11250;4,9000;30,9000;31,9000;32,9000;33,9000;51,9000;52,9000
202	1	1,6000;3,6000;4,6000;30,6000;31,6000;32,6000;33,6000;51,6000;52,6000
202	2	1,9000;3,9000;4,9000;30,9000;31,9000;32,9000;33,9000;51,9000;52,9000
202	3	1,12000;3,15000;4,12000;30,12000;31,12000;32,12000;33,12000;51,12000;52,12000
203	1	1,8000;3,8000;4,8000;30,8000;31,8000;32,8000;33,8000;51,8000;52,8000
203	2	1,12000;3,12000;4,12000;30,12000;31,12000;32,12000;33,12000;51,12000;52,12000
203	3	1,16000;3,20000;4,16000;30,16000;31,16000;32,16000;33,16000;51,16000;52,16000
204	1	1,10000;3,10000;4,10000;30,10000;31,10000;32,10000;33,10000;51,10000;52,10000
204	2	1,15000;3,15000;4,15000;30,15000;31,15000;32,15000;33,15000;51,15000;52,15000
204	3	1,20000;3,25000;4,20000;30,20000;31,20000;32,20000;33,20000;51,20000;52,20000
