幸运物ID	幸运物类型	幸运物参数	显示道具	增加倍率
int	int	string	string	int
LuckyID	LuckyType	LuckyParam	ShowItem	LuckyUp
1	3	apprentic_1001	item127000068130	320
2	3	apprentic_1002	item127000068131	480
3	3	apprentic_1003	item127000068132	640
4	3	apprentic_1004	item127000068133	800
5	3	apprentic_2001	item127000068134	320
6	3	apprentic_2002	item127000068135	480
7	3	apprentic_2003	item127000068136	640
8	3	apprentic_2004	item127000068137	800
9	3	apprentic_3001	item127000068138	320
10	3	apprentic_3002	item127000068139	480
11	3	apprentic_3003	item127000068140	640
12	3	apprentic_3004	item127000068141	800
13	3	apprentic_4001	item127000068142	320
14	3	apprentic_4002	item127000068143	480
15	3	apprentic_4003	item127000068144	640
16	3	apprentic_4004	item127000068145	800
17	3	apprentic_5001	item127000068146	320
18	3	apprentic_5002	item127000068147	480
19	3	apprentic_5003	item127000068148	640
20	3	apprentic_5004	item127000068149	800
21	3	apprentic_6001	item127000068150	320
22	3	apprentic_6002	item127000068151	480
23	3	apprentic_6003	item127000068152	640
24	3	apprentic_6004	item127000068153	800
25	3	apprentic_7001	item127000068154	320
26	3	apprentic_7002	item127000068155	480
27	3	apprentic_7003	item127000068156	640
28	3	apprentic_7004	item127000068157	800
29	3	apprentic_8001	item127000068158	320
30	3	apprentic_8002	item127000068159	480
31	3	apprentic_8003	item127000068160	640
32	3	apprentic_8004	item127000068161	800
33	1	pet_378	item101020514046	600
34	1	pet_388	item101020514022	600
35	1	pet_390	item101020514026	600
36	1	pet_379	item101020514013	600
37	1	pet_345	item101020514007	480
38	1	pet_373	item101020514033	480
39	1	pet_360	item101020514022	480
40	1	pet_391	item101020514041	480
41	1	pet_392	item101020514042	360
42	1	pet_327	item101020503057	360
43	1	pet_303	item101020503045	360
44	1	pet_305	item101020503046	360
45	1	pet_199	item101020503059	240
46	1	pet_131	item101020503004	240
47	1	pet_182	item101020503035	240
48	1	pet_201	item101020503062	240
49	2	soldier_npc_10056	item105000000112	320
50	2	soldier_npc_10040	item105000000097	320
51	2	soldier_npc_10022	item105000000079	320
52	2	soldier_npc_10050	item105000000107	320
53	2	soldier_npc_10013	item105000000061	240
54	2	soldier_npc_10007	item105000000055	240
55	2	soldier_npc_10008	item105000000056	240
56	2	soldier_npc_10009	item105000000057	240
