流水ID	关卡ID	格子坐标	偏移量
int	int	int	vector2
ID	RegionID	ChessBoard	BoardShift
1	101	0	0,0
2	101	1	0,0
3	101	2	0,0
4	101	3	0,0
5	101	4	0,0
6	101	5	0,0
7	101	6	0,0
8	101	7	0,0
9	101	8	0,0
10	101	9	0,0
11	101	10	0,0
12	101	11	0,0
13	101	12	0,0
14	101	13	0,0
15	101	14	0,0
16	101	15	0,0
17	101	16	0,0
18	101	17	0,0
19	101	18	0,0
20	101	19	0,0
21	101	20	0,0
22	101	21	0,0
23	101	22	0,0
24	101	23	0,0
25	101	24	0,0
26	101	25	0,0
27	101	26	0,0
28	101	27	0,0
29	101	28	0,0
30	101	29	0,0
31	101	30	0,0
32	101	31	0,0
33	101	32	0,0
34	101	33	0,0
35	101	34	0,0
36	101	35	0,0
37	101	36	0,0
38	101	37	0,0
39	101	38	0,0
40	101	39	0,0
41	102	0	0,0
42	102	1	0,0
43	102	2	0,0
44	102	3	0,0
45	102	4	0,0
46	102	5	0,0
47	102	6	0,0
48	102	7	0,0
49	102	8	0,0
50	102	9	0,0
51	102	10	0,0
52	102	11	0,0
53	102	12	0,0
54	102	13	0,0
55	102	14	0,0
56	102	15	0,0
57	102	16	0,0
58	102	17	0,0
59	102	18	0,0
60	102	19	0,0
61	102	20	0,0
62	102	21	0,0
63	102	22	0,0
64	102	23	0,0
65	102	24	0,0
66	102	25	0,0
67	102	26	0,0
68	102	27	0,0
69	102	28	0,0
70	102	29	0,0
71	102	30	0,0
72	102	31	0,0
73	102	32	0,0
74	102	33	0,0
75	102	34	0,0
76	102	35	0,0
77	102	36	0,0
78	102	37	0,0
79	102	38	0,0
80	102	39	0,0
81	103	0	-8,0
82	103	1	-20,0
83	103	2	-18,0
84	103	3	0,0
85	103	4	0,0
86	103	5	0,0
87	103	6	0,0
88	103	7	0,0
89	103	8	-10,0
90	103	9	-8,0
91	103	10	-5,0
92	103	11	0,0
93	103	12	0,0
94	103	13	0,0
95	103	14	0,0
96	103	15	0,0
97	103	16	-10,0
98	103	17	-10,0
99	103	18	-8,0
100	103	19	-5,0
101	103	20	0,0
102	103	21	0,0
103	103	22	0,0
104	103	23	0,0
105	103	24	-15,0
106	103	25	-5,0
107	103	26	-8,0
108	103	27	-5,0
109	103	28	0,0
110	103	29	0,0
111	103	30	0,0
112	103	31	0,0
113	103	32	-25,0
114	103	33	-20,0
115	103	34	-5,0
116	103	35	0,0
117	103	36	-5,0
118	103	37	0,0
119	103	38	0,0
120	103	39	0,0
121	104	0	0,0
122	104	1	0,0
123	104	2	0,0
124	104	3	0,0
125	104	4	0,0
126	104	5	0,0
127	104	6	0,0
128	104	7	0,0
129	104	8	0,0
130	104	9	0,0
131	104	10	0,0
132	104	11	0,0
133	104	12	0,0
134	104	13	0,0
135	104	14	0,0
136	104	15	0,0
137	104	16	0,0
138	104	17	0,0
139	104	18	0,0
140	104	19	0,0
141	104	20	0,0
142	104	21	0,0
143	104	22	0,0
144	104	23	0,0
145	104	24	0,0
146	104	25	0,0
147	104	26	0,0
148	104	27	0,0
149	104	28	0,0
150	104	29	0,0
151	104	30	0,0
152	104	31	0,0
153	104	32	0,0
154	104	33	0,0
155	104	34	0,0
156	104	35	0,0
157	104	36	0,0
158	104	37	0,0
159	104	38	0,0
160	104	39	0,0
161	201	0	0,0
162	201	1	0,0
163	201	2	0,0
164	201	3	0,0
165	201	4	0,0
166	201	5	0,0
167	201	6	0,0
168	201	7	0,0
169	201	8	0,0
170	201	9	0,0
171	201	10	0,0
172	201	11	0,0
173	201	12	0,0
174	201	13	0,0
175	201	14	0,0
176	201	15	0,0
177	201	16	0,0
178	201	17	0,0
179	201	18	0,0
180	201	19	0,0
181	201	20	0,0
182	201	21	0,0
183	201	22	0,0
184	201	23	0,0
185	201	24	0,0
186	201	25	0,0
187	201	26	0,0
188	201	27	0,0
189	201	28	0,0
190	201	29	0,0
191	201	30	0,0
192	201	31	0,0
193	201	32	0,0
194	201	33	0,0
195	201	34	0,0
196	201	35	0,0
197	201	36	0,0
198	201	37	0,0
199	201	38	0,0
200	201	39	0,0
201	202	0	-8,0
202	202	1	-20,0
203	202	2	-18,0
204	202	3	0,0
205	202	4	0,0
206	202	5	0,0
207	202	6	0,0
208	202	7	0,0
209	202	8	-10,0
210	202	9	-8,0
211	202	10	-5,0
212	202	11	0,0
213	202	12	0,0
214	202	13	0,0
215	202	14	0,0
216	202	15	0,0
217	202	16	-10,0
218	202	17	-10,0
219	202	18	-8,0
220	202	19	-5,0
221	202	20	0,0
222	202	21	0,0
223	202	22	0,0
224	202	23	0,0
225	202	24	-15,0
226	202	25	-5,0
227	202	26	-8,0
228	202	27	-5,0
229	202	28	0,0
230	202	29	0,0
231	202	30	0,0
232	202	31	0,0
233	202	32	-25,0
234	202	33	-20,0
235	202	34	-5,0
236	202	35	0,0
237	202	36	-5,0
238	202	37	0,0
239	202	38	0,0
240	202	39	0,0
241	203	0	0,0
242	203	1	0,0
243	203	2	0,0
244	203	3	0,0
245	203	4	0,0
246	203	5	0,0
247	203	6	0,0
248	203	7	0,0
249	203	8	0,0
250	203	9	0,0
251	203	10	0,0
252	203	11	0,0
253	203	12	0,0
254	203	13	0,0
255	203	14	0,0
256	203	15	0,0
257	203	16	0,0
258	203	17	0,0
259	203	18	0,0
260	203	19	0,0
261	203	20	0,0
262	203	21	0,0
263	203	22	0,0
264	203	23	0,0
265	203	24	0,0
266	203	25	0,0
267	203	26	0,0
268	203	27	0,0
269	203	28	0,0
270	203	29	0,0
271	203	30	0,0
272	203	31	0,0
273	203	32	0,0
274	203	33	0,0
275	203	34	0,0
276	203	35	0,0
277	203	36	0,0
278	203	37	0,0
279	203	38	0,0
280	203	39	0,0
281	204	0	0,0
282	204	1	0,0
283	204	2	0,0
284	204	3	0,0
285	204	4	0,0
286	204	5	0,0
287	204	6	0,0
288	204	7	0,0
289	204	8	0,0
290	204	9	0,0
291	204	10	0,0
292	204	11	0,0
293	204	12	0,0
294	204	13	0,0
295	204	14	0,0
296	204	15	0,0
297	204	16	0,0
298	204	17	0,0
299	204	18	0,0
300	204	19	0,0
301	204	20	0,0
302	204	21	0,0
303	204	22	0,0
304	204	23	0,0
305	204	24	0,0
306	204	25	0,0
307	204	26	0,0
308	204	27	0,0
309	204	28	0,0
310	204	29	0,0
311	204	30	0,0
312	204	31	0,0
313	204	32	0,0
314	204	33	0,0
315	204	34	0,0
316	204	35	0,0
317	204	36	0,0
318	204	37	0,0
319	204	38	0,0
320	204	39	0,0
