流水	类型	排名最小区间	排名最大区间	奖励
int	int	int	int	string
Id	Type	RankMin	RankMax	Reward
1	1	1	1	item1056,3000;item171002010002,50
2	1	2	2	item1056,2700;item171002010002,45
3	1	3	3	item1056,2700;item171002010002,40
4	1	4	4	item1056,2400;item171002010002,35
5	1	5	5	item1056,2400;item171002010002,30
6	1	6	6	item1056,2100;item171002010002,25
7	1	7	7	item1056,2100;item171002010002,20
8	1	8	8	item1056,2100;item171002010002,15
9	1	9	9	item1056,2100;item171002010002,10
10	1	10	10	item1056,2100;item171002010001,30
11	1	11	20	item1056,1800;item171002010001,25
12	1	21	50	item1056,1500;item171002010001,20
13	1	51	100	item1056,1200;item171002010001,15
14	1	101	500	item1056,900;item171002010001,10
15	2	1	1	item1056,3000;item171002010002,50
16	2	2	2	item1056,2700;item171002010002,45
17	2	3	3	item1056,2700;item171002010002,40
18	2	4	4	item1056,2400;item171002010002,35
19	2	5	5	item1056,2400;item171002010002,30
20	2	6	6	item1056,2100;item171002010002,25
21	2	7	7	item1056,2100;item171002010002,20
22	2	8	8	item1056,2100;item171002010002,15
23	2	9	9	item1056,2100;item171002010002,10
24	2	10	10	item1056,2100;item171002010001,30
25	2	11	20	item1056,1800;item171002010001,25
26	2	21	50	item1056,1500;item171002010001,20
27	2	51	100	item1056,1200;item171002010001,15
28	2	101	500	item1056,900;item171002010001,10
29	3	1	1	item1056,3000;item171002010002,50
30	3	2	2	item1056,2700;item171002010002,45
31	3	3	3	item1056,2700;item171002010002,40
32	3	4	4	item1056,2400;item171002010002,35
33	3	5	5	item1056,2400;item171002010002,30
34	3	6	6	item1056,2100;item171002010002,25
35	3	7	7	item1056,2100;item171002010002,20
36	3	8	8	item1056,2100;item171002010002,15
37	3	9	9	item1056,2100;item171002010002,10
38	3	10	10	item1056,2100;item171002010001,30
39	3	11	20	item1056,1800;item171002010001,25
40	3	21	50	item1056,1500;item171002010001,20
41	3	51	100	item1056,1200;item171002010001,15
42	3	101	500	item1056,900;item171002010001,10
