流水id	推送商品组id	商品档位	Npc原画	npc气泡	礼包名字	礼包Icon	礼包描述	礼包价值	礼包内容	展示特效	限购次数	购买类型	购买参数	持续时间
int	int	int	string	string	string	string	string	int	string	string	int	int	string	int
Id	PushShopZoneId	Grade	NpcPic	NpcDialog	GiftName	GiftIcon	GiftDes	GiftValue	Item	SpecialEffect	LimitTimes	BuyType	BuyPar	Time
301	301	1	7daysaward_19christmas	UI_PushGift_NpcLanguage301	UI_PushGift_Name301	icon_treasurebox06_0	PushGift_Des301	740	item91000000235,1;item105000000031,150;item105000000030,515	41100023,0,0	1	2	7031	14400
302	302	1	7daysaward_19christmas	UI_PushGift_NpcLanguage302	UI_PushGift_Name302	icon_treasurebox06_0	PushGift_Des302	255	item91000000220,1;item105000000030,150	0,41100023,0	1	2	1013	28800
401	401	1	7daysaward_19christmas	UI_PushGift_NpcLanguage401	UI_PushGift_Name401	icon_treasurebox04_0	PushGift_Des401	440	item8103010111003,2;item8103010111008,4;item8103010111013,4;item1000,500000	0	1	2	6064	14400
403	403	1	7daysaward_19christmas	UI_PushGift_NpcLanguage403	UI_PushGift_Name403	icon_treasurebox06_0	PushGift_Des403	370	item8103010111018,50;item1000,6500000	0	1	2	6111	43200
404	404	1	7daysaward_19christmas	UI_PushGift_NpcLanguage404	UI_PushGift_Name404	icon_treasurebox06_0	PushGift_Des404	281	item8103010111018,112;item1000,42000000	0	1	2	1013	43200
405	405	1	7daysaward_19christmas	UI_PushGift_NpcLanguage405	UI_PushGift_Name405	icon_treasurebox06_0	PushGift_Des405	320	item1014,6480;item8103010111019,10;item100000000000,40	0	1	2	1013	14400
501	501	1	7daysaward_19christmas	UI_PushGift_NpcLanguage501	UI_PushGift_Name501	icon_treasurebox03_0	PushGift_Des501	500	item1014,300;item8103010121003,120	0	1	2	6041	14400
502	502	1	7daysaward_19christmas	UI_PushGift_NpcLanguage502	UI_PushGift_Name502	icon_treasurebox04_0	PushGift_Des502	350	item1014,980;item8103010121004,120	0	1	2	6084	14400
503	503	1	7daysaward_19christmas	UI_PushGift_NpcLanguage503	UI_PushGift_Name503	icon_treasurebox06_0	PushGift_Des503	320	item1014,2980;item8103010121005,80	0	1	2	6141	14400
504	504	1	7daysaward_19christmas	UI_PushGift_NpcLanguage504	UI_PushGift_Name504	icon_treasurebox06_0	PushGift_Des504	370	item1014,2980;item8103010121005,100	0,41100023,0	1	2	6141	14400
