流水号	屏蔽的界面	可见场景类型
int	string	string
Id	Panel	Scene
1	GetRewardPanel	MainScene
2	GetBestRewardPanel	FieldScene
3	LoadingPanel	
4	WaitingPanel	
5	LimitTimePanel	
6	LimitTimeGiftBagPanel	
7	WelfareActivityPanel	
8	WaitingPanel	
9	GameNoticePanel	
10	LoginPopAdvertisePanel	
11	WelfareActivityPanel	
12	WaitingLoginBtnPanel	
13	FloatNationalDayPanel	
14	ConsumeItemMsgBoxPanel	
15	MsgBoxPanel	
16	CostMsgBoxPanel	
17	FlopCardGameActivityMsgBoxPanel	
18	ShowItemMsgBoxPanel	
19	SystemMsgBoxPanel	
20	ToggleMsgBoxPanel	
21	LoadingArenaPanel	
22	LoadingStoryPanel	
23	NewFashionShowPanel	
24	ItemListBoxPanel	
25	ReportPanel	
26	LockScreenPanel	
27	PowerSavePanel	
28	ReConstellationPanel	
29	RenamePanel	
30	GuildRenamePanel	
31	RareOpCheckPanel	
32	MultiSelectRewardPanel	
33	AdvertisementPhotoPanel	
34	TemporaryPanel	
35	TaskItemTipsPanel	
36	RoleChangeJobPanel	
37	RoleUnLockPanel	
38	RoleUnLockSuccessPanel	
39	CollectionBatchPanel	
40	ItemMergePanel	
41	RevivePanel	
42	DungeonRevivePanel	
43	WorldMapPanel	
44	ConversationPanel	
45	StoryPanel	
46	SubtitleStoryPanel	
47	NoticeBoardPanel	
48	StrengthenComposeDisplayPanel	
49	RechargeRewardPanel	
50	CannonPanel	
51	FashionMakeRewardPanel	
52	AdvertisementPhotoPanel	
53	FerePhotoPanel	
54	PhotoPanel	
55	PhotoDisplayPanel	
56	BusinessActivityPanel	
57	OpenServerActivityPanel	
58	FestivalActivityPanel	
59	MidsummerActivityPanel	
60	PraiseRewardActivityPanel	
61	LinkLineActivityGotNumPanel	
62	FlopCardGameActivityPanel	
63	FlopCardGameActivityMsgBoxPanel	
64	CDKPanel	
65	NpcInteractionLevelUpPanel	
66	HeroRoadUpgradePanel	
67	RewardDisplayPanel	
68	FirstRechargePanel	
69	GetSuperItemPanel	
70	RotatingGamePanel	
71	HomelandLvUpPanel	
72	ProposePanel	
73	ProposeFinishPanel	
74	MercenaryLotteryPage	
75	CelebrationActivityPanel	
76	StarBattlePassRewardPanel	
77	StarBattlePassUpgradePanel	
78	BAMasqueradePanel	
79	RechargeUnlockRewardPanel	
80	SevenDaysSignPanel	
81	HeroKillStarRewardPanel	
