序号	道具奖励
int	string
Order	Itemid
1	item173000004013,1
2	item174000002001,1
3	item174000002001,20
4	item174000003011,2
5	item91000000425,1
6	item174000003011,10
7	item174000004014,3
8	item174000004014,15
9	item174000005003,5
10	item174000005003,10
11	item91000000376,1
12	item91000000376,5
13	item91000000490,1
14	item91000000368,1
15	item91000000368,5
16	item91000000368,10
1	item173000004013,1
2	item174000002001,1
3	item174000002001,20
4	item174000003011,2
5	item91000000425,1
6	item174000003011,10
7	item174000004014,3
8	item174000004014,15
9	item174000005003,5
10	item174000005003,10
11	item91000000376,1
12	item91000000376,5
13	item91000000490,1
14	item91000000368,1
15	item91000000368,5
16	item91000000368,10
