流水ID	活动ID	拼图ID	线索	消耗道具	点亮拼图获得额外奖励
int	int	int	int	string	int
Id	ActivtiId	PuzzleId	ClueId	ItemId	DropId
1	1963	1	1	item119000000051,1	28106
2	1963	1	2	item119000000052,1	28106
3	1963	1	3	item119000000053,1	28106
4	1963	1	4	item119000000054,1	28106
5	1963	1	5	item119000000055,1	28106
6	1963	1	6	item119000000056,1	28106
7	1963	1	7	item119000000057,1	28106
8	1963	1	8	item119000000058,1	28106
9	1963	1	9	item119000000059,1	28106
10	1963	2	1	item119000000051,1	28106
11	1963	2	2	item119000000052,1	28106
12	1963	2	3	item119000000053,1	28106
13	1963	2	4	item119000000054,1	28106
14	1963	2	5	item119000000055,1	28106
15	1963	2	6	item119000000056,1	28106
16	1963	2	7	item119000000057,1	28106
17	1963	2	8	item119000000058,1	28106
18	1963	2	9	item119000000059,1	28106
19	1963	3	1	item119000000051,1	28106
20	1963	3	2	item119000000052,1	28106
21	1963	3	3	item119000000053,1	28106
22	1963	3	4	item119000000054,1	28106
23	1963	3	5	item119000000055,1	28106
24	1963	3	6	item119000000056,1	28106
25	1963	3	7	item119000000057,1	28106
26	1963	3	8	item119000000058,1	28106
27	1963	3	9	item119000000059,1	28106
28	1963	4	1	item119000000051,1	28106
29	1963	4	2	item119000000052,1	28106
30	1963	4	3	item119000000053,1	28106
31	1963	4	4	item119000000054,1	28106
32	1963	4	5	item119000000055,1	28106
33	1963	4	6	item119000000056,1	28106
34	1963	4	7	item119000000057,1	28106
35	1963	4	8	item119000000058,1	28106
36	1963	4	9	item119000000059,1	28106
