流水id	世界等级下限	世界等级上限	道具展示及数量
int	int	int	string
Id	LevelMin	LevelMax	Item
1	1	39	item1014,188
2	1	39	item100000000035,1
3	1	39	item8105000000029,2
4	1	39	item8103010121004,10
5	1	39	item107999900002,10
6	1	39	item161000000002,1
7	1	39	item8200000800003,1
8	1	39	item100000000000,1
9	40	49	item1014,188
10	40	49	item8103010111017,30
11	40	49	item8105000000029,2
12	40	49	item8103010121004,20
13	40	49	item91000000877,1
14	40	49	item107999900002,15
15	40	49	item8200000800003,1
16	40	49	item100000000000,2
17	50	69	item1014,188
18	50	69	item200000830001,3
20	50	69	item171000101021,30
21	50	69	item8103010111017,30
23	50	69	item8105000000029,2
24	50	69	item8103010121004,20
25	50	69	item91000000877,1
26	50	69	item107300000002,10
27	50	69	item100000000000,3
28	70	200	item1014,188
31	70	200	item171002010002,5
32	70	200	item8103010111017,60
33	70	200	item171000101021,60
35	70	200	item8105000000029,3
36	70	200	item8103010121004,30
37	70	200	item91000000877,1
38	70	200	item107300000002,10
39	70	200	item100000000000,4
