珠子名字	珠子icon	掉落库	产出概率	奖励列表展示
string	string	int	int	string
BeadName	BeadIcon	BeadDropBox	BeadProbability	RewardShow
ItemName_ball01	ball_01	70240	500	item130000040328;item100500000108;item8103010121005
ItemName_ball02	ball_02	70239	4000	item100000000000;item170000120020;item100500000001
ItemName_ball03	ball_03	70241	3500	item130000040328;item100500000108;item8103010121005
ItemName_ball04	ball_04	70240	1700	item100000000000;item170000120020;item100500000001
ItemName_ball05	ball_05	70239	300	item130000040328;item100500000108;item8103010121005
ItemName_ball01	ball_01	70240	500	item130000040328;item100500000108;item8103010121005
ItemName_ball02	ball_02	70239	4000	item100000000000;item170000120020;item100500000001
ItemName_ball03	ball_03	70241	3500	item130000040328;item100500000108;item8103010121005
ItemName_ball04	ball_04	70240	1700	item100000000000;item170000120020;item100500000001
ItemName_ball05	ball_05	70239	300	item130000040328;item100500000108;item8103010121005
ItemName_ball01	ball_01	70240	100	item107999900001
ItemName_ball02	ball_02	70239	3100	item107999900002;item8119100000000;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006;item161000000001
ItemName_ball03	ball_03	70241	1100	item100000000000;item105000000031;item8200000800001;item107999900003;item8103010111018;item91000000042
ItemName_ball04	ball_04	70240	5400	item8200000800002;item107300000001;item8119100000002;item91000000043;item90000000124;item90000000125;item91000000427;item91000000960
ItemName_ball05	ball_05	70239	300	item91000000459;item91000000029;item91000000019;item91000000022;item107300000002;item8200000800003;item107000053302;item107000053301;item107000053204;item107000053202;item107000053201;item107000053101;item107000052303;item107000052302;item107000052203;item107000052202;item107000052201;item107000052103;item107000052101;item107000051303;item107000051202;item107000051201;item107000051103;item107000051102;item107000051101
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
ItemName_ball04	ball_04	70240	7221	item8200000800002;item107300000001;item91000000043;item90000000124;item90000000125;item91000000991
ItemName_ball05	ball_05	70239	158	item91000000019;item91000000022;item107300000002;item8200000800003
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
ItemName_ball04	ball_04	70240	7221	item8200000800002;item107300000001;item91000000043;item90000000124;item90000000125;item91000001040;item162000320608;item8119100000002
ItemName_ball05	ball_05	70239	158	item91000000019;item91000000022;item107300000002;item8200000800003;item91000000029
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
ItemName_ball04	ball_04	70240	7221	item8200000800002;item107300000001;item91000000043;item90000000124;item90000000125;item91000001040;item8119100000002
ItemName_ball05	ball_05	70239	158	item91000000019;item91000000022;item107300000002;item8200000800003;item8103010111020;item91000000029;item107000051101;item107000051102;item107000051103;item107000051201;item107000051202;item107000051303;item107000052101;item107000052103;item107000052201;item107000052202;item107000052203;item107000052302;item107000052303;item107000053101;item107000053201;item107000053301
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
ItemName_ball04	ball_04	70240	7221	item8200000800002;item107300000001;item91000000043;item90000000124;item90000000125;item91000001040;item8119100000002
ItemName_ball05	ball_05	70239	158	item91000000019;item91000000022;item107300000002;item8200000800003;item8103010111020;item91000000029;item107000051101;item107000051102;item107000051103;item107000051201;item107000051202;item107000051303;item107000052101;item107000052103;item107000052201;item107000052202;item107000052203;item107000052302;item107000052303;item107000053101;item107000053201;item107000053301
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
ItemName_ball04	ball_04	70240	7221	item8200000800002;item107300000001;item91000000043;item90000000124;item90000000125;item91000001040;item8119100000002
ItemName_ball05	ball_05	70239	158	item91000000019;item91000000022;item107300000002;item8200000800003;item8103010111020;item91000000029;item107000051101;item107000051102;item107000051103;item107000051201;item107000051202;item107000051303;item107000052101;item107000052103;item107000052201;item107000052202;item107000052203;item107000052302;item107000052303;item107000053101;item107000053201;item107000053301
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
ItemName_ball04	ball_04	70240	7221	item8200000800002;item107300000001;item91000000043;item90000000124;item90000000125;item91000001040;item8119100000002
ItemName_ball05	ball_05	70239	158	item91000000019;item91000000022;item107300000002;item8200000800003;item8103010111020;item91000000029;item107000051101;item107000051102;item107000051103;item107000051201;item107000051202;item107000051303;item107000052101;item107000052103;item107000052201;item107000052202;item107000052203;item107000052302;item107000052303;item107000053101;item107000053201;item107000053301
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
ItemName_ball04	ball_04	70240	7221	item8200000800002;item107300000001;item91000000043;item90000000124;item90000000125;item91000001040;item8119100000002
ItemName_ball05	ball_05	70239	158	item91000000019;item91000000022;item107300000002;item8200000800003;item8103010111020;item91000000029;item107000051101;item107000051102;item107000051103;item107000051201;item107000051202;item107000051303;item107000052101;item107000052103;item107000052201;item107000052202;item107000052203;item107000052302;item107000052303;item107000053101;item107000053201;item107000053301
ItemName_ball01	ball_01	70240	63	item107999900001
ItemName_ball02	ball_02	70239	1948	item107999900002;item101040101017;item8103010111017;item8103010121004;item105000000030;item100000000006
ItemName_ball03	ball_03	70241	610	item100000000000;item105000000031;item107999900003;item8103010111018;item91000000042;item8200000800001
