时装id	兑换数量
string	int
Id	ExchangeCoin
fashion_1013107	100
fashion_1012107	300
fashion_1011105	150
fashion_1013105	100
fashion_1012105	300
fashion_1011104	150
fashion_1013104	100
fashion_1012104	300
fashion_1011100	150
fashion_1013100	100
fashion_1012100	300
fashion_101198	150
fashion_101398	100
fashion_101298	300
fashion_101197	150
fashion_101397	100
fashion_101297	300
fashion_101394	100
fashion_101294	300
fashion_101196	150
fashion_101396	100
fashion_101296	300
fashion_101195	150
fashion_101395	100
fashion_101295	300
fashion_101191	150
fashion_101391	100
fashion_101291	300
fashion_101189	150
fashion_101389	100
fashion_101289	300
fashion_101190	150
fashion_101390	100
fashion_101290	300
fashion_101155	150
fashion_101356	100
fashion_101256	300
fashion_101188	150
fashion_101388	100
fashion_101288	300
fashion_101154	150
fashion_101354	100
fashion_101254	300
fashion_101187	150
fashion_101387	100
fashion_101287	300
fashion_101359	100
fashion_101159	150
fashion_101259	300
fashion_101186	150
fashion_101386	100
fashion_101286	300
fashion_101385	100
fashion_101285	300
fashion_101183	150
fashion_101383	100
fashion_101283	300
fashion_101182	150
fashion_101382	100
fashion_101282	300
fashion_101381	100
fashion_101281	300
fashion_101380	100
fashion_101280	300
fashion_101379	100
fashion_101279	300
fashion_101378	100
fashion_101278	300
fashion_101370	100
fashion_101270	300
fashion_101369	100
fashion_101269	300
fashion_101168	150
fashion_101368	100
fashion_101268	300
fashion_101367	100
fashion_101267	300
fashion_101366	100
fashion_101266	300
fashion_101365	100
fashion_101265	300
fashion_101364	100
fashion_101264	300
fashion_101363	100
fashion_101263	300
fashion_101362	100
fashion_101262	300
fashion_101361	100
fashion_101261	300
fashion_101160	150
fashion_101360	100
fashion_101260	300
fashion_101384	100
fashion_101184	150
fashion_101284	300
fashion_101151	150
fashion_101351	100
fashion_101251	300
fashion_101358	150
fashion_101158	100
fashion_101258	300
fashion_101353	150
fashion_101153	100
fashion_101253	300
fashion_1023107	100
fashion_1022107	300
fashion_1021105	150
fashion_1023105	100
fashion_1022105	300
fashion_1021104	150
fashion_1023104	100
fashion_1022104	300
fashion_1021100	150
fashion_1023100	100
fashion_1022100	300
fashion_102198	150
fashion_102398	100
fashion_102298	300
fashion_102197	150
fashion_102397	100
fashion_102297	300
fashion_102394	100
fashion_102294	300
fashion_102196	150
fashion_102396	100
fashion_102296	300
fashion_102195	150
fashion_102395	100
fashion_102295	300
fashion_102191	150
fashion_102391	100
fashion_102291	300
fashion_102189	150
fashion_102389	100
fashion_102289	300
fashion_102190	150
fashion_102390	100
