玩家等级	经验倍数	经验上限
int	float	int
level_id	exp_time	level_limit
1	1.000000	1000000
2	1.000000	1800000
3	1.000000	1800000
4	1.000000	1800000
5	1.000000	1800000
6	1.000000	1800000
7	1.000000	1800000
8	1.000000	1800000
9	1.000000	1800000
10	1.000000	1800000
11	1.000000	1800000
12	1.000000	1800000
13	1.000000	1800000
14	1.000000	1800000
15	1.000000	1800000
16	1.000000	1800000
17	1.000000	1800000
18	1.000000	1800000
19	1.000000	1800000
20	1.000000	1800000
21	1.000000	1800000
22	1.000000	1800000
23	1.000000	1800000
24	1.000000	1800000
25	1.000000	1800000
26	1.000000	1800000
27	1.000000	1800000
28	1.000000	1800000
29	1.000000	1800000
30	1.000000	1800000
31	1.000000	1800000
32	1.000000	1800000
33	1.000000	2000000
34	1.000000	2000000
35	1.000000	2000000
36	1.000000	2000000
37	1.000000	2000000
38	1.000000	2000000
39	1.000000	2000000
40	1.800000	3780000
41	1.800000	3960000
42	1.800000	3960000
43	1.800000	3960000
44	1.800000	4140000
45	1.800000	4140000
46	1.800000	4320000
47	1.800000	4320000
48	1.800000	4410000
49	1.800000	4500000
50	1.800000	4680000
51	1.800000	4680000
52	1.800000	4770000
53	1.800000	4860000
54	1.800000	4950000
55	1.800000	5040000
56	1.800000	5130000
57	1.800000	5220000
58	1.800000	5310000
59	1.800000	5400000
60	2.500000	7500000
61	2.500000	7750000
62	2.500000	8000000
63	2.500000	8250000
64	2.500000	8500000
65	2.500000	8625000
66	2.500000	8750000
67	2.500000	8875000
68	2.500000	9000000
69	2.500000	9125000
70	2.500000	9250000
71	2.500000	9250000
72	2.500000	9375000
73	2.500000	9500000
74	2.500000	9625000
75	2.500000	9750000
76	2.500000	9875000
77	2.500000	10000000
78	2.500000	10125000
79	2.500000	10250000
80	2.500000	10375000
81	2.500000	12750000
82	2.500000	13000000
83	2.500000	13250000
84	2.500000	13500000
85	2.500000	13750000
86	2.500000	14000000
87	2.500000	14250000
88	2.500000	14500000
89	2.500000	14750000
90	1.000000	6000000
91	1.000000	6100000
92	1.000000	6200000
93	1.000000	6300000
94	1.000000	6400000
95	1.000000	6500000
96	1.000000	6600000
97	1.000000	6700000
98	1.000000	6800000
99	1.000000	6900000
100	1.000000	7000000
101	1.000000	7100000
102	1.000000	7200000
103	1.000000	7300000
104	1.000000	7400000
105	1.000000	7500000
106	1.000000	7600000
107	1.000000	7700000
108	1.000000	7800000
109	1.000000	7900000
110	1.000000	8000000
