流水	活动ID	区域ID	区域等级	升级条件1	升级条件2	升级材料	升级时间秒钟	格子编号
int	int	int	int	string	int	string	int	string
Id	Activity	Area	AreaLevel	LevelCondArea	LevelCondHotel	Item	LevelTime	Box
1	7612	1	1		0	item144420000002,30	300	1101
2	7612	1	2		4	item144420000002,34	500	1101
3	7612	1	3		9	item144420000002,38	700	1101
4	7612	1	4		15	item144420000002,42	900	1101
5	7612	1	5		35	item144420000002,46	1200	1101
6	7612	1	6		0		0	1101
7	7612	2	1	1,2	0	item144420000002,32	300	2101
8	7612	2	2	1,3	0	item144420000002,36	500	2101;2201
9	7612	2	3	1,4	0	item144420000002,40	700	2101;2201
10	7612	2	4	1,5	0	item144420000002,44	900	2101;2201
11	7612	2	5	1,6	0	item144420000002,48	1200	2101;2201
12	7612	2	6		0		0	2101;2201
13	7612	3	1	2,2	0	item144420000002,34	300	3101
14	7612	3	2	2,3	0	item144420000002,38	500	3101
15	7612	3	3	2,4	0	item144420000002,42	700	3101
16	7612	3	4	2,5	0	item144420000002,46	900	3101
17	7612	3	5	2,6	0	item144420000002,50	1200	3101
18	7612	3	6		0		0	3101
19	7612	4	1	3,2	0	item144420000002,36	300	4101
20	7612	4	2	3,3	0	item144420000002,40	500	4101
21	7612	4	3	3,4	0	item144420000002,44	700	4101
22	7612	4	4	3,5	0	item144420000002,48	900	4101
23	7612	4	5	3,6	0	item144420000002,52	1200	4101
24	7612	4	6		0		0	4101
25	7612	5	1	4,2	0	item144420000002,38	300	5101
26	7612	5	2	4,3	0	item144420000002,42	500	5101
27	7612	5	3	4,4	0	item144420000002,46	700	5101
28	7612	5	4	4,5	0	item144420000002,50	900	5101;5201
29	7612	5	5	4,6	0	item144420000002,54	1200	5101;5201
30	7612	5	6		0		0	5101;5201
31	7612	6	1	5,2	0	item144420000002,40	300	6101
32	7612	6	2	5,3	0	item144420000002,44	500	6101
33	7612	6	3	5,4	0	item144420000002,48	700	6101
34	7612	6	4	5,5	0	item144420000002,52	900	6101;6201
35	7612	6	5	5,6	0	item144420000002,56	1200	6101;6201
36	7612	6	6		0		0	6101;6201
37	7612	7	1	6,2	0	item144420000002,42	300	7101
38	7612	7	2	6,3	0	item144420000002,46	500	7101
39	7612	7	3	6,4	0	item144420000002,50	700	7101
40	7612	7	4	6,5	0	item144420000002,54	900	7101
41	7612	7	5	6,6	0	item144420000002,58	1200	7101
42	7612	7	6		0		0	7101
