流水	活动ID	幸运物唯一id不可变	幸运物参数	幸运物类型	品质	显示道具	幸运物职业
int	int	int	string	int	int	string	string
Id	Activity	LuckyId	LuckyParam	LuckyType	Quality	ShowItem	HeroId
1	7612	1	soldier_npc_10001	1	3	item105000000049	hero101
2	7612	2	soldier_npc_10002	1	3	item105000000050	hero102
3	7612	3	soldier_npc_10003	1	3	item105000000051	hero104
4	7612	4	soldier_npc_10004	1	3	item105000000052	hero103
5	7612	5	soldier_npc_10005	1	3	item105000000053	hero105
6	7612	6	soldier_npc_10006	1	4	item105000000054	hero101
7	7612	7	soldier_npc_10007	1	4	item105000000055	hero102
8	7612	8	soldier_npc_10008	1	4	item105000000056	hero104
9	7612	9	soldier_npc_10009	1	4	item105000000057	hero103
10	7612	10	soldier_npc_10010	1	4	item105000000058	hero105
11	7612	11	soldier_npc_10012	1	4	item105000000060	hero101
12	7612	12	soldier_npc_10013	1	4	item105000000061	hero104
13	7612	13	soldier_npc_10014	1	4	item105000000062	hero103
14	7612	14	soldier_npc_10015	1	4	item105000000063	hero105
15	7612	15	soldier_npc_10029	1	4	item105000000086	hero101
16	7612	16	soldier_npc_10044	1	4	item105000000101	hero102
17	7612	17	soldier_npc_10045	1	4	item105000000102	hero104
18	7612	18	soldier_npc_10016	1	5	item105000000064	hero101
19	7612	19	soldier_npc_10017	1	5	item105000000065	hero102
20	7612	20	soldier_npc_10018	1	5	item105000000066	hero101
21	7612	21	soldier_npc_10019	1	5	item105000000067	hero102
22	7612	22	soldier_npc_10020	1	5	item105000000077	hero102
23	7612	23	soldier_npc_10021	1	5	item105000000078	hero101
24	7612	24	soldier_npc_10022	1	5	item105000000079	hero104
25	7612	25	soldier_npc_10023	1	5	item105000000080	hero105
26	7612	26	soldier_npc_10024	1	5	item105000000081	hero106
27	7612	27	soldier_npc_10025	1	5	item105000000082	hero103
28	7612	28	soldier_npc_10026	1	5	item105000000083	hero104
29	7612	29	soldier_npc_10027	1	5	item105000000084	hero102
30	7612	30	soldier_npc_10028	1	5	item105000000085	hero102
31	7612	31	soldier_npc_10030	1	5	item105000000087	hero106
32	7612	32	soldier_npc_10031	1	5	item105000000088	hero106
33	7612	33	soldier_npc_10032	1	5	item105000000089	hero104
34	7612	34	soldier_npc_10033	1	5	item105000000090	hero101
35	7612	35	soldier_npc_10034	1	5	item105000000091	hero102
36	7612	36	soldier_npc_10035	1	5	item105000000092	hero101
37	7612	37	soldier_npc_10036	1	5	item105000000093	hero101
38	7612	38	soldier_npc_10037	1	5	item105000000094	hero101
39	7612	39	soldier_npc_10038	1	5	item105000000095	hero102
40	7612	40	soldier_npc_10039	1	5	item105000000096	hero104
41	7612	41	soldier_npc_10040	1	5	item105000000097	hero102
42	7612	42	soldier_npc_10041	1	5	item105000000098	hero105
43	7612	43	soldier_npc_10042	1	5	item105000000099	hero102
