流水	活动ID	奖励序号	累计次数	奖励	领取描述
int	int	int	int	string	string
Id	ActivityId	RewardId	Times	Reward	Desc
1	6305	1	10	item91000000019,1	UI_Active_Common_Desc_6305
2	6305	2	20	item91000000020,1	UI_Active_Common_Desc_6305
3	6305	3	30	item91000000019,1;item91000000020,1	UI_Active_Common_Desc_6305
4	6305	4	50	item91000000019,1;item91000000020,1	UI_Active_Common_Desc_6305
5	6305	5	100	item91000000019,1;item91000000020,1	UI_Active_Common_Desc_6305
6	6305	6	200	item91000000019,1;item91000000020,1;item91000000021	UI_Active_Common_Desc_6305
7	6307	7	15	item91000000754,1	UI_Active_Common_Desc_6305
8	6307	8	60	item8102020061005,1	UI_Active_Common_Desc_6305
9	6307	9	105	item91000000754,1	UI_Active_Common_Desc_6305
10	6307	10	230	item91000000754,1	UI_Active_Common_Desc_6305
11	6307	11	370	item8102020061005,1	UI_Active_Common_Desc_6305
12	6307	12	470	item91000000754,1	UI_Active_Common_Desc_6305
13	6307	13	610	item8102020061005,1	UI_Active_Common_Desc_6305
14	6307	14	845	item91000000754,1	UI_Active_Common_Desc_6305
15	6307	15	1075	item8102020061005,1	UI_Active_Common_Desc_6305
16	6307	16	1325	item91000000754,1	UI_Active_Common_Desc_6305
17	6307	17	1925	item8102020061005,1	UI_Active_Common_Desc_6305
18	6307	18	2375	item91000000754,1	UI_Active_Common_Desc_6305
19	6307	19	2675	item8102020061005,1	UI_Active_Common_Desc_6305
20	6307	20	3000	item8102020061005,1	UI_Active_Common_Desc_6305
21	6307	21	3475	item8102020061005,1	UI_Active_Common_Desc_6305
22	6307	22	3875	item8102020061005,2	UI_Active_Common_Desc_6305
23	6308	7	15	item91000000754,1	UI_Active_Common_Desc_6305
24	6308	8	60	item8102020061005,1	UI_Active_Common_Desc_6305
25	6308	9	105	item91000000754,1	UI_Active_Common_Desc_6305
26	6308	10	230	item91000000754,1	UI_Active_Common_Desc_6305
27	6308	11	370	item8102020061005,1	UI_Active_Common_Desc_6305
28	6308	12	470	item91000000754,1	UI_Active_Common_Desc_6305
29	6308	13	610	item8102020061005,1	UI_Active_Common_Desc_6305
30	6308	14	845	item91000000754,1	UI_Active_Common_Desc_6305
31	6308	15	1075	item8102020061005,1	UI_Active_Common_Desc_6305
32	6308	16	1325	item91000000754,1	UI_Active_Common_Desc_6305
33	6308	17	1925	item8102020061005,1	UI_Active_Common_Desc_6305
34	6308	18	2375	item91000000754,1	UI_Active_Common_Desc_6305
35	6308	19	2675	item8102020061005,1	UI_Active_Common_Desc_6305
36	6308	20	3000	item8102020061005,1	UI_Active_Common_Desc_6305
37	6308	21	3475	item8102020061005,1	UI_Active_Common_Desc_6305
38	6308	22	3875	item8102020061005,2	UI_Active_Common_Desc_6305
39	6309	1	15	item91000000792,5	UI_Active_Common_Desc_6305
40	6309	2	60	item1002,1188	UI_Active_Common_Desc_6305
41	6309	3	130	item91000000792,10	UI_Active_Common_Desc_6305
42	6309	4	280	item91000000792,15	UI_Active_Common_Desc_6305
43	6309	5	400	item1002,1888	UI_Active_Common_Desc_6305
44	6309	6	500	item8102020061005,1	UI_Active_Common_Desc_6305
45	6309	7	600	item1001,200000	UI_Active_Common_Desc_6305
46	6309	8	750	item8102020061005,1	UI_Active_Common_Desc_6305
47	6309	9	875	item119100000003,10	UI_Active_Common_Desc_6305
48	6309	10	1020	item8102020061005,1	UI_Active_Common_Desc_6305
49	6309	11	1550	item119100000003,15	UI_Active_Common_Desc_6305
50	6309	12	1850	item8102020061005,1	UI_Active_Common_Desc_6305
51	6309	13	2250	item8102020061005,1	UI_Active_Common_Desc_6305
52	6310	1	5	item91000000846,2	UI_Active_Common_Desc_6305
53	6310	2	10	item91000000848,1	UI_Active_Common_Desc_6305
54	6310	3	20	item91000000846,4	UI_Active_Common_Desc_6305
55	6310	4	35	item91000000849,10	UI_Active_Common_Desc_6305
56	6310	5	60	item91000000848,1	UI_Active_Common_Desc_6305
57	6310	6	110	item91000000849,15	UI_Active_Common_Desc_6305
58	6310	7	180	item91000000848,1	UI_Active_Common_Desc_6305
59	6310	8	350	item91000000849,20	UI_Active_Common_Desc_6305
60	6310	9	700	item91000000848,1	UI_Active_Common_Desc_6305
61	6310	10	950	item91000000849,40	UI_Active_Common_Desc_6305
62	6310	11	1150	item91000000848,1	UI_Active_Common_Desc_6305
63	6310	12	1500	item91000000848,1	UI_Active_Common_Desc_6305
64	6310	13	2200	item91000000848,1	UI_Active_Common_Desc_6305
65	6311	1	5	item91000000873,2	UI_Active_Common_Desc_6305
66	6311	2	10	item91000000875,1	UI_Active_Common_Desc_6305
67	6311	3	20	item91000000873,4	UI_Active_Common_Desc_6305
68	6311	4	35	item91000000876,10	UI_Active_Common_Desc_6305
69	6311	5	60	item91000000875,1	UI_Active_Common_Desc_6305
70	6311	6	110	item91000000876,15	UI_Active_Common_Desc_6305
71	6311	7	180	item91000000875,1	UI_Active_Common_Desc_6305
72	6311	8	350	item91000000876,20	UI_Active_Common_Desc_6305
73	6311	9	600	item91000000875,1	UI_Active_Common_Desc_6305
74	6311	10	950	item91000000876,40	UI_Active_Common_Desc_6305
75	6311	11	1300	item91000000875,1	UI_Active_Common_Desc_6305
76	6311	12	1700	item91000000875,1	UI_Active_Common_Desc_6305
77	6311	13	2200	item91000000875,1	UI_Active_Common_Desc_6305
78	6312	1	5	item91000000917,2	UI_Active_Common_Desc_6305
79	6312	2	10	item91000000919,1	UI_Active_Common_Desc_6305
80	6312	3	20	item91000000917,4	UI_Active_Common_Desc_6305
81	6312	4	35	item91000000920,10	UI_Active_Common_Desc_6305
82	6312	5	60	item91000000919,1	UI_Active_Common_Desc_6305
83	6312	6	110	item91000000920,15	UI_Active_Common_Desc_6305
84	6312	7	160	item91000000919,1	UI_Active_Common_Desc_6305
85	6312	8	350	item91000000920,20	UI_Active_Common_Desc_6305
86	6312	9	700	item91000000919,1	UI_Active_Common_Desc_6305
87	6312	10	950	item91000000920,40	UI_Active_Common_Desc_6305
88	6312	11	1300	item91000000919,1	UI_Active_Common_Desc_6305
89	6312	12	1700	item91000000919,1	UI_Active_Common_Desc_6305
90	6312	13	2200	item91000000919,1	UI_Active_Common_Desc_6305
91	6313	1	5	item91000000946,2	UI_Active_Common_Desc_6305
92	6313	2	10	item91000000948,1	UI_Active_Common_Desc_6305
93	6313	3	20	item91000000946,4	UI_Active_Common_Desc_6305
94	6313	4	35	item91000000949,10	UI_Active_Common_Desc_6305
95	6313	5	60	item91000000948,1	UI_Active_Common_Desc_6305
96	6313	6	110	item91000000949,15	UI_Active_Common_Desc_6305
97	6313	7	160	item91000000948,1	UI_Active_Common_Desc_6305
98	6313	8	350	item91000000949,20	UI_Active_Common_Desc_6305
99	6313	9	700	item91000000948,1	UI_Active_Common_Desc_6305
100	6313	10	950	item91000000949,40	UI_Active_Common_Desc_6305
101	6313	11	1300	item91000000948,1	UI_Active_Common_Desc_6305
102	6313	12	1700	item91000000948,1	UI_Active_Common_Desc_6305
103	6313	13	2000	item8101020505343,12	UI_Active_Common_Desc_6305
104	6313	14	2200	item91000000948,1	UI_Active_Common_Desc_6305
105	6314	1	5	item91000000955,2	UI_Active_Common_Desc_6305
106	6314	2	10	item91000000957,1	UI_Active_Common_Desc_6305
107	6314	3	20	item91000000955,4	UI_Active_Common_Desc_6305
108	6314	4	35	item91000000958,10	UI_Active_Common_Desc_6305
109	6314	5	60	item91000000957,1	UI_Active_Common_Desc_6305
110	6314	6	110	item91000000958,15	UI_Active_Common_Desc_6305
111	6314	7	160	item91000000957,1	UI_Active_Common_Desc_6305
112	6314	8	350	item91000000958,20	UI_Active_Common_Desc_6305
113	6314	9	700	item91000000957,1	UI_Active_Common_Desc_6305
114	6314	10	950	item91000000958,40	UI_Active_Common_Desc_6305
115	6314	11	1300	item91000000957,1	UI_Active_Common_Desc_6305
116	6314	12	1700	item91000000957,1	UI_Active_Common_Desc_6305
117	6314	13	2200	item91000000957,1	UI_Active_Common_Desc_6305
118	6315	1	5	item91000000985,2	UI_Active_Common_Desc_6305
119	6315	2	10	item91000000987,1	UI_Active_Common_Desc_6305
120	6315	3	20	item91000000985,4	UI_Active_Common_Desc_6305
121	6315	4	35	item91000000988,10	UI_Active_Common_Desc_6305
122	6315	5	60	item91000000987,1	UI_Active_Common_Desc_6305
123	6315	6	110	item91000000988,15	UI_Active_Common_Desc_6305
124	6315	7	160	item91000000987,1	UI_Active_Common_Desc_6305
125	6315	8	350	item91000000988,20	UI_Active_Common_Desc_6305
126	6315	9	700	item91000000987,1	UI_Active_Common_Desc_6305
127	6315	10	950	item91000000988,40	UI_Active_Common_Desc_6305
128	6315	11	1300	item91000000987,1	UI_Active_Common_Desc_6305
129	6315	12	1700	item91000000987,1	UI_Active_Common_Desc_6305
130	6315	13	2200	item91000000987,1	UI_Active_Common_Desc_6305
131	6316	1	5	item91000001004,2	UI_Active_Common_Desc_6305
132	6316	2	10	item91000001006,1	UI_Active_Common_Desc_6305
133	6316	3	20	item91000001004,4	UI_Active_Common_Desc_6305
134	6316	4	35	item91000001007,10	UI_Active_Common_Desc_6305
135	6316	5	60	item91000001006,1	UI_Active_Common_Desc_6305
136	6316	6	110	item91000001007,15	UI_Active_Common_Desc_6305
137	6316	7	160	item91000001006,1	UI_Active_Common_Desc_6305
138	6316	8	350	item91000001007,20	UI_Active_Common_Desc_6305
139	6316	9	700	item91000001006,1	UI_Active_Common_Desc_6305
140	6316	10	950	item91000001007,40	UI_Active_Common_Desc_6305
141	6316	11	1300	item91000001006,1	UI_Active_Common_Desc_6305
142	6316	12	1700	item91000001006,1	UI_Active_Common_Desc_6305
143	6316	13	2200	item91000001006,1	UI_Active_Common_Desc_6305
144	6317	1	5	item91000001035,2	UI_Active_Common_Desc_6305
145	6317	2	10	item91000001038,5	UI_Active_Common_Desc_6305
146	6317	3	20	item91000001035,4	UI_Active_Common_Desc_6305
147	6317	4	35	item91000001038,10	UI_Active_Common_Desc_6305
148	6317	5	60	item91000001035,6	UI_Active_Common_Desc_6305
149	6317	6	110	item91000001038,15	UI_Active_Common_Desc_6305
150	6317	7	200	item200000831003,5	UI_Active_Common_Desc_6305
151	6317	8	350	item91000001038,20	UI_Active_Common_Desc_6305
152	6317	9	600	item200000810004,3	UI_Active_Common_Desc_6305
153	6317	10	1000	item8103015110412,3	UI_Active_Common_Desc_6305
154	6317	11	1500	item8102020061005,1	UI_Active_Common_Desc_6305
155	6317	12	2200	item91000001036,1	UI_Active_Common_Desc_6305
156	6318	1	5	item91000001067,2	UI_Active_Common_Desc_6305
157	6318	2	10	item91000001069,1	UI_Active_Common_Desc_6305
158	6318	3	20	item91000001067,4	UI_Active_Common_Desc_6305
159	6318	4	35	item91000001070,10	UI_Active_Common_Desc_6305
160	6318	5	60	item91000001069,1	UI_Active_Common_Desc_6305
161	6318	6	110	item91000001070,15	UI_Active_Common_Desc_6305
162	6318	7	160	item91000001069,1	UI_Active_Common_Desc_6305
163	6318	8	350	item91000001070,20	UI_Active_Common_Desc_6305
164	6318	9	700	item91000001069,1	UI_Active_Common_Desc_6305
165	6318	10	950	item91000001070,40	UI_Active_Common_Desc_6305
166	6318	11	1300	item91000001069,1	UI_Active_Common_Desc_6305
167	6318	12	1700	item91000001069,1	UI_Active_Common_Desc_6305
168	6318	13	2200	item91000001069,1	UI_Active_Common_Desc_6305
169	6319	1	5	item91000001100,2	UI_Active_Common_Desc_6305
170	6319	2	10	item91000001102,1	UI_Active_Common_Desc_6305
171	6319	3	20	item91000001100,4	UI_Active_Common_Desc_6305
172	6319	4	35	item91000001103,10	UI_Active_Common_Desc_6305
173	6319	5	60	item91000001102,1	UI_Active_Common_Desc_6305
174	6319	6	110	item91000001103,15	UI_Active_Common_Desc_6305
175	6319	7	160	item91000001102,1	UI_Active_Common_Desc_6305
176	6319	8	350	item91000001103,20	UI_Active_Common_Desc_6305
177	6319	9	700	item91000001102,1	UI_Active_Common_Desc_6305
178	6319	10	950	item91000001103,40	UI_Active_Common_Desc_6305
179	6319	11	1300	item91000001102,1	UI_Active_Common_Desc_6305
180	6319	12	1700	item91000001102,1	UI_Active_Common_Desc_6305
181	6319	13	2200	item91000001102,1	UI_Active_Common_Desc_6305
182	6320	1	5	item91000001128,2	UI_Active_Common_Desc_6305
183	6320	2	10	item91000001130,1	UI_Active_Common_Desc_6305
184	6320	3	20	item91000001128,4	UI_Active_Common_Desc_6305
185	6320	4	35	item91000001131,10	UI_Active_Common_Desc_6305
186	6320	5	60	item91000001130,1	UI_Active_Common_Desc_6305
187	6320	6	110	item91000001131,15	UI_Active_Common_Desc_6305
188	6320	7	160	item91000001130,1	UI_Active_Common_Desc_6305
189	6320	8	350	item91000001131,20	UI_Active_Common_Desc_6305
190	6320	9	600	item91000001130,1	UI_Active_Common_Desc_6305
191	6320	10	800	item91000001131,40	UI_Active_Common_Desc_6305
192	6320	11	1000	item91000001129,1	UI_Active_Common_Desc_6305
193	6320	12	1400	item91000001130,1	UI_Active_Common_Desc_6305
194	6320	13	1800	item91000001130,1	UI_Active_Common_Desc_6305
195	6320	14	2300	item91000001130,1	UI_Active_Common_Desc_6305
196	6321	1	5	item91000001128,2	UI_Active_Common_Desc_6305
197	6321	2	10	item91000001130,1	UI_Active_Common_Desc_6305
198	6321	3	20	item91000001128,4	UI_Active_Common_Desc_6305
199	6321	4	35	item91000001131,10	UI_Active_Common_Desc_6305
200	6321	5	60	item91000001130,1	UI_Active_Common_Desc_6305
201	6321	6	110	item91000001131,15	UI_Active_Common_Desc_6305
202	6321	7	160	item91000001130,1	UI_Active_Common_Desc_6305
203	6321	8	350	item91000001131,20	UI_Active_Common_Desc_6305
204	6321	9	600	item91000001130,1	UI_Active_Common_Desc_6305
205	6321	10	800	item91000001131,40	UI_Active_Common_Desc_6305
206	6321	11	1000	item91000001129,1	UI_Active_Common_Desc_6305
207	6321	12	1400	item91000001130,1	UI_Active_Common_Desc_6305
208	6321	13	1800	item91000001130,1	UI_Active_Common_Desc_6305
209	6321	14	2300	item91000001130,1	UI_Active_Common_Desc_6305
210	6322	1	5	item91000001189,2	UI_Active_Common_Desc_6305
211	6322	2	10	item91000001191,1	UI_Active_Common_Desc_6305
212	6322	3	20	item91000001189,4	UI_Active_Common_Desc_6305
213	6322	4	35	item91000001192,10	UI_Active_Common_Desc_6305
214	6322	5	60	item91000001191,1	UI_Active_Common_Desc_6305
215	6322	6	110	item91000001192,15	UI_Active_Common_Desc_6305
216	6322	7	200	item91000001191,1	UI_Active_Common_Desc_6305
