流水	活动Id	任务类型	奖励ID	任务目标	奖励	任务描述	预创角
int	int	int	int	string	string	string	int
Id	ActiveId	ActiveType	RewardID	TaskTarget	Reward	Desc	Switch
1	30100	2	1	1	item8103010121003,10;item1014,50	UI_Active_Common_Desc_1012_2001	1
2	30100	2	2	3	item8103010121003,30;item1014,50	UI_Active_Common_Desc_1012_2001	1
3	30100	2	3	7	item8103010121004,25;item1014,100;item105000000029,5	UI_Active_Common_Desc_1012_2001	1
4	30100	3	4	20	item101040101015,5;item107999900001,5	UI_Active_Common_Desc_1012_3001	1
5	30100	3	5	100	item101040101015,5;item107999900001,10	UI_Active_Common_Desc_1012_3001	1
6	30100	3	6	300	item8101020504900,2;item107999900002,10	UI_Active_Common_Desc_1012_3001	1
7	30100	3	7	600	item8101020504900,5;item107999900003,10;item101020507211,1	UI_Active_Common_Desc_1012_3001	1
8	30100	4	8	2000	item105000000029,2;item107200042001,20	UI_Active_Common_Desc_1012_4001	1
9	30100	4	9	30000	item8119100000002,3;item107200051001,10;item105000000030,30	UI_Active_Common_Desc_1012_4001	1
10	30100	4	10	60000	item8200000800002,5;item100500000001,30;item8200000800003,2	UI_Active_Common_Desc_1012_4001	1
11	30100	4	11	80000	item161000000002,2;item8103015110409,5;item107200052001,10	UI_Active_Common_Desc_1012_4001	1
12	30100	4	12	120000	item8119100000002,5;item8102020061006,1;item107200053001,15	UI_Active_Common_Desc_1012_4001	1
