流水ID	画册编号	关卡编号	格子布局数据01	格子布局数据02	起始行	起始列	关卡出现概率
int	int	int	int	int	int	int	int
Id	DrawingId	Drawingpart	FirstCellData	SecondCellData	StartRow	StartCol	ShowProbability
1	1	1	1006632960	0	0	0	1000
2	1	2	270008320	2072	0	0	1000
3	1	3	872415232	28	0	0	1000
4	1	4	905969664	28	0	0	1000
5	1	5	470024192	24	0	0	1000
6	1	6	404488192	12	0	0	1000
7	1	7	873725952	60	0	0	1000
8	1	8	742129664	12	0	0	1000
9	1	9	403439616	1052	0	0	1000
10	1	10	404488192	4120	0	0	1000
11	2	1	337379328	3100	0	0	1000
12	2	2	337379328	6172	0	0	1000
13	2	3	1009516544	28	0	0	1000
14	2	4	942407680	48	0	0	1000
15	2	5	1008467968	1084	0	0	1000
16	2	6	742129664	15416	0	0	1000
17	2	7	1010565120	14360	0	0	1000
18	2	8	775553024	7742	0	0	1000
19	2	9	1010314240	14380	0	0	1000
20	2	10	1007956992	7228	0	0	1000
21	3	1	741874688	7220	0	0	67
22	3	2	774766592	7730	0	0	67
23	3	3	503709696	13886	0	0	67
24	3	4	1043216896	14394	0	0	67
25	3	5	1010711040	7710	0	0	67
26	3	6	977149440	15414	0	0	67
27	3	7	2122214912	3690	0	0	67
28	3	8	1010318848	4075062	0	0	67
29	3	9	507264512	4078106	0	0	67
30	3	10	1010707968	409150	0	0	67
31	3	11	1010711040	4071994	0	0	67
32	3	12	2021531136	24158	0	0	67
33	3	13	981366272	26238	0	0	67
34	3	14	1986935296	28286	0	0	67
35	3	15	2121809408	28282	0	0	67
36	3	16	1316781568	32378	0	0	67
37	3	17	2121678336	32366	0	0	67
38	3	18	1987870208	7765630	0	0	67
39	3	19	2121166336	7765630	0	0	67
40	3	20	1853652480	8287870	0	0	67
41	3	21	1048477184	8288878	0	0	67
42	3	22	2086567424	8277622	0	0	67
43	3	23	1851160064	8281726	0	0	67
44	3	24	1853783552	3948154	0	0	67
45	3	25	1585348096	8140406	0	0	67
46	3	26	1852734976	7232094	0	0	67
47	3	27	2053012992	8150126	0	0	67
48	3	28	913209856	8027772	0	0	67
