流水ID	活动ID	画册id	排名最小区间	排名最大区间	奖励预览
int	int	int	int	int	string
Id	ActivityId	BookId	RankMin	RankMax	ShowReward
1	9601	3	1	3	item141000000201,1;item1034,80
2	9601	3	4	20	item119100000003,10;item1034,80
3	9601	3	21	100	item1014,1000;item1034,80
4	9604	3	1	1	item91000000866,1;item1034,80
5	9604	3	2	3	item91000000867,1;item1034,80
6	9604	3	4	10	item91000000868,1;item1034,80
7	9604	3	11	30	item1034,80;item91000000868,1
8	9604	3	31	100	item1034,40;item91000000868,1
9	9605	3	1	1	item91000000866,1
10	9605	3	2	3	item91000000867,1
11	9605	3	4	10	item91000000868,1
12	9605	3	11	30	item1034,80
13	9605	3	31	100	item1034,40
14	9606	3	1	1	item91000000866,1
15	9606	3	2	3	item91000000867,1
16	9606	3	4	10	item91000000868,1
17	9606	3	11	30	item1034,80
18	9606	3	31	100	item1034,40
19	9607	3	1	1	item91000000866,1
20	9607	3	2	3	item91000000867,1
21	9607	3	4	10	item91000000868,1
22	9607	3	11	30	item1034,80
23	9607	3	31	100	item1034,40
24	9608	3	1	1	item91000000866,1
25	9608	3	2	3	item91000000867,1
26	9608	3	4	10	item91000000868,1
27	9608	3	11	30	item1034,80
28	9608	3	31	100	item1034,40
29	9609	3	1	1	item91000000866,1
30	9609	3	2	3	item91000000867,1
31	9609	3	4	10	item91000000868,1
32	9609	3	11	30	item1034,80
33	9609	3	31	100	item1034,40
34	9610	3	1	1	item91000000866,1
35	9610	3	2	3	item91000000867,1
36	9610	3	4	10	item91000000868,1
37	9610	3	11	30	item1034,80
38	9610	3	31	100	item1034,40
39	9611	3	1	1	item91000000866,1
40	9611	3	2	3	item91000000867,1
41	9611	3	4	10	item91000000868,1
42	9611	3	11	30	item1034,80
43	9611	3	31	100	item1034,40
44	9612	3	1	1	item91000000866,1
45	9612	3	2	3	item91000000867,1
46	9612	3	4	10	item91000000868,1
47	9612	3	11	30	item1034,80
48	9612	3	31	100	item1034,40
