流水号	返利阶段	区间最小值	区间最大值	等级返利比例	累充返利比例
int	int	int	int	int	int
Id	Stage	Mid	Max	Level_proportion	Money_proportion
1	1	1	1000	500	0
2	1	1001	3000	500	0
3	1	3001	5000	500	0
4	1	5001	8000	3000	0
5	1	8001	0	5000	0
6	2	1	1000	500	0
7	2	1001	3000	500	0
8	2	3001	5000	500	0
9	2	5001	8000	3000	0
10	2	8001	0	5000	0
11	3	1	1000	500	500
12	3	1001	3000	500	500
13	3	3001	5000	500	500
14	3	5001	8000	3000	3000
15	3	8001	0	5000	5000
16	4	1	1000	500	500
17	4	1001	3000	500	500
18	4	3001	5000	500	500
19	4	5001	8000	3000	3000
20	4	8001	0	5000	5000
21	5	1	1000	500	500
22	5	1001	3000	500	500
23	5	3001	5000	500	500
24	5	5001	8000	3000	3000
25	5	8001	0	5000	5000
26	6	1	1000	500	500
27	6	1001	3000	500	500
28	6	3001	5000	500	500
29	6	5001	8000	3000	3000
30	6	8001	0	5000	5000
31	7	1	1000	500	500
32	7	1001	3000	500	500
33	7	3001	5000	500	500
34	7	5001	8000	3000	3000
35	7	8001	0	5000	5000
36	8	1	1000	500	500
37	8	1001	3000	500	500
38	8	3001	5000	500	500
39	8	5001	8000	3000	3000
40	8	8001	0	5000	5000
41	9	1	1000	500	500
42	9	1001	3000	500	500
43	9	3001	5000	500	500
44	9	5001	8000	3000	3000
45	9	8001	0	5000	5000
46	10	1	1000	500	500
47	10	1001	3000	500	500
48	10	3001	5000	500	500
49	10	5001	8000	3000	3000
50	10	8001	0	5000	5000
