流水	格子刷新组概率id	格子	开启前格子图片随机	开启后格子
int	int	int	string	string
Id	TreasureFreshZoneId	Cell	RandomOpenCell	CloseCell
1	1	1	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
2	1	2	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
3	1	3	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
4	1	4	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
5	1	5	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
6	1	6	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
7	1	7	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
8	1	8	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
9	1	9	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
10	1	10	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
11	1	11	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
12	1	12	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
13	1	13	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
14	1	14	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
15	1	15	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
16	1	16	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
17	1	17	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
18	1	18	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
19	1	19	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
20	1	20	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
21	1	21	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
22	1	22	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
23	1	23	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
24	1	24	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
25	1	25	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
26	1	26	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
27	1	27	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
28	1	28	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
29	1	29	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
30	1	30	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
31	1	31	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
32	1	32	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
33	1	33	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
34	1	34	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
35	1	35	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
36	1	36	jb_ground_cube01,jb_ground_cube02,jb_ground_cube03	jb_ground_cube00
