流水	奖励随机组	奖励格子	坐标点	格子图片
int	int	int	string	string
Id	RewardGetZone	Cell	CellZoneId	CellPic
1	1	1	255,-57.5	jb_a3_cube_up
2	1	2	355,-57.5	jb_a3_cube_up
3	1	3	455,-57.5	jb_a3_cube_up
4	1	4	555,-57.5	jb_a3_cube_up
5	1	5	655,-157.5	jb_a3_cube_down
6	1	6	655,-257.5	jb_a3_cube_up
7	1	7	655,-357.5	jb_a3_cube_up
8	1	8	555,-457.5	jb_a3_cube_up
9	1	9	455,-457.5	jb_a3_cube_up
10	1	10	355,-457.5	jb_a3_cube_up
11	1	11	255,-457.5	jb_a3_cube_up
12	1	12	155,-357.5	jb_a3_cube_up
13	1	13	155,-257.5	jb_a3_cube_up
14	1	14	155,-157.5	jb_a3_cube_up
15	2	1	255,-57.5	jb_a3_cube_down
16	2	2	355,-57.5	jb_a3_cube_down
17	2	3	455,-57.5	jb_a3_cube_down
18	2	4	555,-57.5	jb_a3_cube_down
19	2	5	655,-157.5	jb_a3_cube_down
20	2	6	655,-257.5	jb_a3_cube_down
21	2	7	655,-357.5	jb_a3_cube_down
22	2	8	555,-457.5	jb_a3_cube_down
23	2	9	455,-457.5	jb_a3_cube_down
24	2	10	355,-457.5	jb_a3_cube_down
25	2	11	255,-457.5	jb_a3_cube_down
26	2	12	155,-357.5	jb_a3_cube_down
27	2	13	155,-257.5	jb_a3_cube_down
28	2	14	155,-157.5	jb_a3_cube_down
29	3	1	255,-57.5	jb_a3_cube_down
30	3	2	355,-57.5	jb_a3_cube_down
31	3	3	455,-57.5	jb_a3_cube_down
32	3	4	555,-57.5	jb_a3_cube_down
33	3	5	655,-157.5	jb_a3_cube_down
34	3	6	655,-257.5	jb_a3_cube_down
35	3	7	655,-357.5	jb_a3_cube_down
36	3	8	555,-457.5	jb_a3_cube_down
37	3	9	455,-457.5	jb_a3_cube_down
38	3	10	355,-457.5	jb_a3_cube_down
39	3	11	255,-457.5	jb_a3_cube_down
40	3	12	155,-357.5	jb_a3_cube_down
41	3	13	155,-257.5	jb_a3_cube_down
42	3	14	155,-157.5	jb_a3_cube_down
