流水	道具组	道具ID	使用道具类型	道具名字	道具图片	使用消耗价格	道具参数
int	int	int	int	string	string	string	string
Id	UseItemZone	DiceId	Type	Name	Pic	CostPrice	Parm
1	1	1	2	UI_Treasure_SurprizeTypeName2	treasure_griddleshow1	3,25	1:1,3
2	1	2	2	UI_Treasure_SurprizeTypeName3	treasure_griddleshow1	3,25	1:4,6
3	1	3	3	UI_Treasure_SurprizeTypeName4	treasure_griddleshow1	3,50	1:2,6
4	2	1	2	UI_Treasure_SurprizeTypeName2	treasure_griddleshow1	3,50	1:1,3
5	2	2	2	UI_Treasure_SurprizeTypeName3	treasure_griddleshow1	3,50	1:4,6
6	2	3	3	UI_Treasure_SurprizeTypeName4	treasure_griddleshow1	3,100	1:2,6
7	3	1	2	UI_Treasure_SurprizeTypeName5	treasure_griddleshow1	3,500	1:1,6
8	3	2	3	UI_Treasure_SurprizeTypeName6	treasure_griddleshow1	3,1000	1:1,6
