ID	功能ID	类型	页签	标签	分类	显示等级	显示解锁任务	链接类型（无队伍）	链接面板（无队伍）	是否关闭面板（无队伍）	链接类型（有队伍）	链接面板（有队伍）	是否关闭面板（有队伍）	开启时是否提示	完成一次活力奖励	对应功能每日活力上限	完成1次获得活跃度	活跃度上限	是否显示次数分子进度次数	活动形式	活动时间	活动简介	奖励预览	活动开启日期	活动开启时间类型	活动开启时间	完成之后是否显示前往按钮	活动开启冒泡	活动预告冒泡	活动预告的提前时间	是否可前往	是否在冒险里隐藏	状态标记	活动开放日显示入口
int	int	int	int	string	string	int	int	string	string	bool	string	string	bool	bool	int	int	int	int	bool	string	string	string	string	string	int	string	int	string	string	int	bool	bool	bool	string
Id	FunctionId	Type	Tab	Label	Filter	AppearLevel	UnlockTaskId	Link	LinkParm	ClosePanel	LinkTeam	LinkParmTeam	ClosePanelTeam	ShowTipsWhenOpen	EnergyReward	EnergyLimit	ActiveReward	ActiveLimit	IsDisplayRate	ActivityForm	ActivityTime	ActivityDes	Reward	OpenDate	OpenTimeType	OpenTime	ShowButton	ActivityNotice	ActivityNoticeAnnounce	ActivityNoticeAheadTime	IsDeparture	IsHide	StateTag	IsOnlyOpenDateShow
1	183	1	1	1,6,17	1	14	0	LinkUI	StarTracePanel	0	LinkUI	StarTracePanel	1		10	50	1	5	0	ActivityForm5	ActivityTime183	ActivityDes183	item2001,1;item1000,1;item1026,1;item177000000001,1;item177000000002,1;item177000000003,1;item177000000004,1;	0;1;2;3;4;5;6	0	0	0			0				
2	23	1	1	1,7	1	14	0	LinkUI	WorldMapPanel;OpenedFieldScene	1	LinkUI	WorldMapPanel;OpenedFieldScene	1		10	100	2	20	1	ActivityForm7	ActivityTime7	ActivityDes7	item2001,1;item10000000001,1;item1013,1;item1000,1	0;1;2;3;4;5;6	0	0	0			0				
3	145	1	1	1,12	1,3	14	0	GoToNpc	2;npc_soulstar;LinkUI;SoulStarCubePanel;0	0	GoToNpc	2;npc_soulstar;LinkUI;SoulStarCubePanel;0	1		30	90	5	15	1	ActivityForm145	ActivityTime145	ActivityDes145	item2001,1;item1000,1;item107210043001,1;item107210042001,1;item107210041001,1;item107200043001,1;item107200042001,1;item107200041001,1;item107210030001,1;item107210020001,1	0;1;2;3;4;5;6	0	0	0			0			1	
4	13	1	2	1,9	1	14	0	LinkUI	ArenaPanel	1	LinkUI	ArenaPanel	1		10	50	2	10	1	ActivityForm2	ActivityTime2	ActivityDes2	item2001,1;item1009,1;item1000,1	0;1;2;3;4;5;6	0	0	0			0				
5	25	1	1	1,2	1,2,3	19	0	LinkUI	DungeonInfoPanel;Normal	1	LinkUI	DungeonInfoPanel;Normal	1		50	100	10	20	0	ActivityForm25	ActivityTime25	ActivityDes25	item2001,1;item90000000002,1;item90000000098,1;item90000000097,1;item90000000001,1;item90000000019,1	0;1;2;3;4;5;6	0	0	0			0				
6	30	1	1	1,7	1	19	0	LinkUI	TeamEasyGroupPanel;30;3000	1	ClickNpc	2;npc_crack	1		10	50	3	10	1	ActivityForm5	ActivityTime5	ActivityDes5	item2001,1;item10000000001,1;item1013,1;item127000062000,1;item127000062001,1;item106210400002,1;item105000000068,1;item105000000069,1;item105000000070,1;item105000000071,1;item127000062002,1;item19300000000003,1;item100500000001,1;item119100000000,1	0;1;2;3;4;5;6	0	0	0			0			1	
7	19	1	1	12,2,5	3	28	0	OpenBag	TreasureMap	1	OpenBag	TreasureMap	1		5	25	1	5	0	ActivityForm11	ActivityTime11	ActivityDes11	item107210042001,1;item107210041001,1;item107210030001,1;item161000000002,1;item90000000001,1;item90000000121,1;item144320000011,1;item144320000012,1;item100500000001,1;item90000000066,1;item90000000065,1;item161000000001,1;item1021,1;item105000000001,1;item105000000013,1;item105000000019,1	0;1;2;3;4;5;6	0	0	0			0				
8	51	1	1	1,4	1	20	0	ClickNpc	40;npc_10080	1	ClickNpc	40;npc_10080	1		10	50	2	10	1	ActivityForm51	ActivityTime51	ActivityDes51	item2001,1;item1003,1;item3001,1;item100100000001,1	0;1;2;3;4;5;6	0	0	0			0			1	
9	127	1	1	6	3	27	0	LinkUI	ConstellationFatePanel	1	LinkUI	ConstellationFatePanel	1		-1	-1	-1	-1	1	ActivityForm127	ActivityTime127	ActivityDes127	item1000,1	0;1;2;3;4;5;6	0	0	0			0				
10	120	1	2	1,6,7	3	27	0	LinkUI	WorldMapPanel;OpenedFishingScene	1	LinkUI	WorldMapPanel;OpenedFishingScene	1		5	25	1	5	0	ActivityForm120	ActivityTime120	ActivityDes120	item2001,1;item1000,1;item10000000001,1;item107999900001,1;item107999900002,1;item90000000066,1;item107300000001,1;item107300000002,1;item101040101012,1;item101040101015,1	0;1;2;3;4;5;6	0	0	0			0				
11	111	2	3	1,3	1,3	28	0	LinkUI	KillStarPanel	1	LinkUI	KillStarPanel	1	1	20	60	5	15	1	ActivityForm111	ActivityTime111	ActivityDes111	item2001,1;item10000000001,1;item1000,1;item19300000000003,1;item107300000002,1;item119100000004,1;item119100000005,1;item119100000006,1;item107300000001,1;item119100000002,1;item100100000001,1;item103010121004,1;item103010121003,1;item102020060013,1;item17909000000001,1;item17907000000050,1;item17907000000051,1;item17907000000052,1	0;1;2;3;4;5;6	0	0:30~24:00	1	ActivityNotice111		0				
12	136	2	2	1,6	1	30	0	LinkUI	AnswerFirstTestPanel	1	LinkUI	AnswerFirstTestPanel	1	1	5	50	1	10	0	ActivityForm136	ActivityTime136	ActivityDes136	item2001,1;item1000,1	1;2;3;4;5	1	0	0	ActivityNotice136		0				1;2;3;4;5
13	67	2	2	1,4	1	30	0	ClickNpc	40;npc_10117	1	ClickNpc	40;npc_10117	1		50	50	10	10	1	ActivityForm67	ActivityTime67	ActivityDes67	item2001,1;item3001,1;item1001,1;item1003,1;item1000,1;item100100000002,1;item100100000001,1;item103010111017,1	0;1;2;3;4;5;6	0	0	0			0			1	
14	33	1	3	13,14	1,2,3	30	0	ClickNpc	2;npc_10046	0	ClickNpc	2;npc_10046	1		25	25	5	5	0	ActivityForm5	ActivityTime7	ActivityDes12	item2001,1;item1000,1;item1006,1;item90000000105,1;item90000000106,1;item90000000107,1;item90000000067,1;item90000000068,1;item90000000070,1;item90000000019,1	0;1;2;3;4;5;6	0	0	0			0				
15	26	1	3	2,12	1,2,3	37	0	LinkUI	DungeonInfoPanel;Team	0	LinkUI	DungeonInfoPanel;Team	1		-1	-1	0	0	0	ActivityForm26	ActivityTime26	ActivityDes26	item2001,1;item90000000028,1;item90000000029,1;item107400000004,1;item107400000003,1;item107400000002,1;item90000000002,1;item90000000003,1;item90000000001,1;item90000000019,1	0;1;2;3;4;5;6	0	0	0			0				
16	28	1	3	2,23	1,2,3	76	0	LinkUI	DungeonInfoPanel;Envoy	0	LinkUI	DungeonInfoPanel;Envoy	1		-1	-1	0	0	0	ActivityForm28	ActivityTime28	ActivityDes28	item19300000000003,1;item19300000000005,1;item19300000000006,1;item18000000000014,1;item19200000400001,1;item18000000000012,1;item18000000000013,1;item18000000000003,1	0;1;2;3;4;5;6	0	0	0			0				
17	80	1	2	1,6	3	40	0	ClickNpc	2;npc_10205	1	ClickNpc	2;npc_10205	1		-1	-1	0	0	1	ActivityForm25	ActivityTime80	ActivityDes80	item91000000042,1;item91000000043,1;item1001,1;item1000,1;item119100000001,1;item101020504901,1;item103010111018,1;item90000000121,1	0;1;2;3;4;5;6	0	0	0			0			1	
18	27	1	3	2,3	3	42	0	LinkUI	DungeonInfoPanel;Challenge	0	LinkUI	DungeonInfoPanel;Challenge	1		-1	-1	0	0	0	ActivityForm27	ActivityTime27	ActivityDes27	item90000000019,1;item8103010111017,1;item8103010131003,1;item107300000001,1;item107300000002,1;item100000000006,1	0;1;2;3;4;5;6	0	0	0			0				
19	57	2	2	1,3,7	1,3	0	0	GuildScene		1	GuildScene		1	1	50	50	10	10	1	ActivityForm57	ActivityTime57	ActivityDes57	item2001,1;item1014,1;item10000000001,1;item1003,1;item103010111017,1;item100000000000,1;item103010121003,1;item107999900001,1	0;1;2;3;4;5;6	1	19:30~19:40	0	ActivityNotice57	ActivityNoticeAnnounce57	300	1			
20	74	2	2	4	3	0	0	GuildScene		1	GuildScene		1	1	-1	-1	0	0	1	ActivityForm74	ActivityTime74	ActivityDes74	item1003,1;item1001,1;item1000,1;item3001,1;item107200042001,1;item107200041001,1;item100000000012,1	0;3;6	2	21:40~21:50	0	ActivityNotice74	ActivityNoticeAnnounce74	300	1			0;3;6
21	3	2	3	5,12	1,3	0	0	JoinActivity	3	1	JoinActivity	3	1	1	25	25	5	5	1	ActivityForm1	ActivityTime1	ActivityDes1	item1014,1;item2001,1;item1001,1;item1000,1;item107210042001,1;item107210041001,1;item107200042001,1;item107200041001,1;item100000000013,1;item107210030001,1;item8200000800002,1;item8200000515001,1;item8200000515002,1;item8200000515003,1;item8200000515004,1;item8200000515005,1;item8200000515006,1;item8200000515007,1;item8200000515008,1;item8200000515009,1;item101200000016,1;item171000101011,1;item103010131001,1	0;1;2;3;4;5;6	1	12:00~12:15;18:30~18:45	0	ActivityNotice3	ActivityNoticeAnnounce3	300	1			
