流水	外观ID	学徒类型	外观类型	低模资源ID	高模资源ID	高模绑点参数	高模时装特效	低模绑点参数	低模时装特效	高模待机动作	高模展示动作	待机动作	移动动作	展示动作	展示间隔时间
int	int	int	int	string	string	string	string	string	string	string	string	string	string	string	float
Id	Clothes	ApprenticeType	Type	Avatar	HighAvatar	HighBindPos	HighFashionEffectId	BindPos	FashionEffectId	AvatarShowId	AvatarActionId	IdleActionId	MoveActionId	ShowActionId	ShowInterval
1	1001	1	2	stu001|clothes|stu001_clothes005_t1	stu001h|clothes|stu001h_clothes005_t1	19	1850022	19	1850022						10000.000000
2	1001	2	2	stu002|clothes|stu002_clothes005_t1	stu002h|clothes|stu002h_clothes005_t1	19	1850026	19	1850026						10000.000000
3	1001	3	2	stu003|clothes|stu003_clothes005_t1	stu003h|clothes|stu003h_clothes005_t1	19	1850027	19	1850027						10000.000000
4	1001	4	2	stu004|clothes|stu004_clothes005_t1	stu004h|clothes|stu004h_clothes005_t1	19	1850022	19	1850022						10000.000000
5	1001	5	2	stu005|clothes|stu005_clothes005_t1	stu005h|clothes|stu005h_clothes005_t1	19	1850026	19	1850026						10000.000000
6	1001	6	2	stu006|clothes|stu006_clothes005_t1	stu006h|clothes|stu006h_clothes005_t1	19	1850026	19	1850026						10000.000000
7	1001	7	2	stu007|clothes|stu007_clothes005_t1	stu007h|clothes|stu007h_clothes005_t1	19	1850022	19	1850022						10000.000000
8	1001	8	2	stu008|clothes|stu008_clothes005_t1	stu008h|clothes|stu008h_clothes005_t1	19	1850026	19	1850026						10000.000000
9	1002	1	2	stu001|clothes|stu001_clothes007_t1	stu001h|clothes|stu001h_clothes007_t1	19	1850028	19	1850028						10000.000000
10	1002	2	2	stu002|clothes|stu002_clothes007_t1	stu002h|clothes|stu002h_clothes007_t1	19	1850028	19	1850028						10000.000000
11	1002	3	2	stu003|clothes|stu003_clothes007_t1	stu003h|clothes|stu003h_clothes007_t1	19	1850028	19	1850028						10000.000000
12	1002	4	2	stu004|clothes|stu004_clothes007_t1	stu004h|clothes|stu004h_clothes007_t1	19	1850028	19	1850028						10000.000000
13	1002	5	2	stu005|clothes|stu005_clothes007_t1	stu005h|clothes|stu005h_clothes007_t1	19	1850028	19	1850028						10000.000000
14	1002	6	2	stu006|clothes|stu006_clothes007_t1	stu006h|clothes|stu006h_clothes007_t1	19	1850028	19	1850028						10000.000000
15	1002	7	2	stu007|clothes|stu007_clothes007_t1	stu007h|clothes|stu007h_clothes007_t1	19	1850028	19	1850028						10000.000000
16	1002	8	2	stu008|clothes|stu008_clothes007_t1	stu008h|clothes|stu008h_clothes007_t1	19	1850028	19	1850028						10000.000000
17	1003	1	2	stu001|clothes|stu001_clothes006_t1	stu001h|clothes|stu001h_clothes006_t1	19	1850023	19	1850023						10000.000000
18	1003	2	2	stu002|clothes|stu002_clothes006_t1	stu002h|clothes|stu002h_clothes006_t1	19	1850023	19	1850023						10000.000000
19	1003	3	2	stu003|clothes|stu003_clothes006_t1	stu003h|clothes|stu003h_clothes006_t1	19	1850023	19	1850023						10000.000000
20	1003	4	2	stu004|clothes|stu004_clothes006_t1	stu004h|clothes|stu004h_clothes006_t1	19	1850023	19	1850023						10000.000000
21	1003	5	2	stu005|clothes|stu005_clothes006_t1	stu005h|clothes|stu005h_clothes006_t1	19	1850023	19	1850023						10000.000000
22	1003	6	2	stu006|clothes|stu006_clothes006_t1	stu006h|clothes|stu006h_clothes006_t1	19	1850023	19	1850023						10000.000000
23	1003	7	2	stu007|clothes|stu007_clothes006_t1	stu007h|clothes|stu007h_clothes006_t1	19	1850023	19	1850023						10000.000000
24	1003	8	2	stu008|clothes|stu008_clothes006_t1	stu008h|clothes|stu008h_clothes006_t1	19	1850023	19	1850023						10000.000000
25	2001	1	3			25	1850021	25	1850020						10000.000000
26	2001	2	3			25	1850021	25	1850020						10000.000000
27	2001	3	3			25	1850021	25	1850020						10000.000000
28	2001	4	3			25	1850021	25	1850020						10000.000000
29	2001	5	3			25	1850021	25	1850020						10000.000000
30	2001	6	3			25	1850021	25	1850020						10000.000000
31	2001	7	3			25	1850021	25	1850020						10000.000000
32	2001	8	3			25	1850021	25	1850020						10000.000000
33	2002	1	3			19	1850029	19	1850029						10000.000000
34	2002	2	3			19	1850029	19	1850029						10000.000000
35	2002	3	3			19	1850029	19	1850029						10000.000000
36	2002	4	3			19	1850029	19	1850029						10000.000000
37	2002	5	3			19	1850029	19	1850029						10000.000000
38	2002	6	3			19	1850029	19	1850029						10000.000000
39	2002	7	3			19	1850029	19	1850029						10000.000000
40	2002	8	3			19	1850029	19	1850029						10000.000000
41	2003	1	3			25	1850025	25	1850024						10000.000000
42	2003	2	3			25	1850025	25	1850024						10000.000000
43	2003	3	3			25	1850025	25	1850024						10000.000000
44	2003	4	3			25	1850025	25	1850024						10000.000000
45	2003	5	3			25	1850025	25	1850024						10000.000000
46	2003	6	3			25	1850025	25	1850024						10000.000000
47	2003	7	3			25	1850025	25	1850024						10000.000000
48	2003	8	3			25	1850025	25	1850024						10000.000000
49	3001	1	2	stu001|clothes|stu001_clothes008_t1	stu001h|clothes|stu001h_clothes008_t1	19	1850030	19	1850030						10000.000000
50	3001	2	2	stu002|clothes|stu002_clothes008_t1	stu002h|clothes|stu002h_clothes008_t1	19	1850030	19	1850030						10000.000000
51	3001	3	2	stu003|clothes|stu003_clothes008_t1	stu003h|clothes|stu003h_clothes008_t1	19	1850030	19	1850030						10000.000000
52	3001	4	2	stu004|clothes|stu004_clothes008_t1	stu004h|clothes|stu004h_clothes008_t1	19	1850030	19	1850030						10000.000000
53	3001	5	2	stu005|clothes|stu005_clothes008_t1	stu005h|clothes|stu005h_clothes008_t1	19	1850030	19	1850030						10000.000000
54	3001	6	2	stu006|clothes|stu006_clothes008_t1	stu006h|clothes|stu006h_clothes008_t1	19	1850030	19	1850030						10000.000000
55	3001	7	2	stu007|clothes|stu007_clothes008_t1	stu007h|clothes|stu007h_clothes008_t1	19	1850030	19	1850030						10000.000000
56	3001	8	2	stu008|clothes|stu008_clothes008_t1	stu008h|clothes|stu008h_clothes008_t1	19	1850030	19	1850030						10000.000000
57	3002	1	3	stu001|clothes|stu001_parta008_t1	stu001h|clothes|stu001h_parta008_t1	25	1850031	25	1850031						10000.000000
58	3002	2	3	stu002|clothes|stu002_parta008_t1	stu002h|clothes|stu002h_parta008_t1	25	1850031	25	1850031						10000.000000
59	3002	3	3	stu003|clothes|stu003_parta008_t1	stu003h|clothes|stu003h_parta008_t1	25	1850031	25	1850031						10000.000000
60	3002	4	3	stu004|clothes|stu004_parta008_t1	stu004h|clothes|stu004h_parta008_t1	25	1850031	25	1850031						10000.000000
61	3002	5	3	stu005|clothes|stu005_parta008_t1	stu005h|clothes|stu005h_parta008_t1	25	1850031	25	1850031						10000.000000
62	3002	6	3	stu006|clothes|stu006_parta008_t1	stu006h|clothes|stu006h_parta008_t1	25	1850031	25	1850031						10000.000000
63	3002	7	3	stu007|clothes|stu007_parta008_t1	stu007h|clothes|stu007h_parta008_t1	25	1850031	25	1850031						10000.000000
64	3002	8	3	stu008|clothes|stu008_parta008_t1	stu008h|clothes|stu008h_parta008_t1	25	1850031	25	1850031						10000.000000
