流水id	学徒id	学徒等级	武艺属性加成	升级属性加成范围	才艺属性加成	升级属性加成范围	升级所需经验	学徒称号等级	援护技能上限
int	string	int	string	string	string	string	int	int	int
Id	ApprenticeId	Level	PropNum	PropRange	TalentNum	TalentPropRange	Exp	TitleLevel	SkillLimit
1	apprentic_1001	1	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	7	1	2
2	apprentic_1001	2	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	9	1	2
3	apprentic_1001	3	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	11	1	2
4	apprentic_1001	4	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	13	1	2
5	apprentic_1001	5	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	15	1	2
6	apprentic_1001	6	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	17	1	2
7	apprentic_1001	7	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	19	1	2
8	apprentic_1001	8	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	21	1	2
9	apprentic_1001	9	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	23	1	2
10	apprentic_1001	10	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	25	1	2
11	apprentic_1001	11	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	27	1	2
12	apprentic_1001	12	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	29	1	2
13	apprentic_1001	13	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	31	1	2
14	apprentic_1001	14	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	33	1	2
15	apprentic_1001	15	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	35	1	2
16	apprentic_1001	16	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	37	1	2
17	apprentic_1001	17	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	39	1	2
18	apprentic_1001	18	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	41	1	2
19	apprentic_1001	19	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	43	1	2
20	apprentic_1001	20	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	45	1	2
21	apprentic_1001	21	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	47	2	3
22	apprentic_1001	22	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	57	2	3
23	apprentic_1001	23	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	67	2	3
24	apprentic_1001	24	1,2	1,304,364,1666;3,32,48,1666;4,48,64,1666;32,192,230,1666;34,134,168,1666;33,182,243,1666	1,2	1,16,32,1666;2,15,30,1666;3,16,32,1666;4,16,32,1666;5,15,30,1666;6,15,30,1666	77	2	3
