流水号	技能编号	技能等级	学习获得武艺属性	学习获得才艺属性	升级消耗其他	升级消耗碎片	技能评分
int	int	int	string	string	string	string	int
Id	SkillId	Grade	Force	Prop	Consume	Fragment	SkillScore
1	1001	1	1,2000			item127000065001,30	500
2	1001	2	1,2800		1,50000	item127000065001,5	700
3	1001	3	1,3400		1,100000	item127000065001,10	850
4	1001	4	1,4000		1,150000	item127000065001,15	1000
5	1001	5	1,4600		1,200000	item127000065001,20	1150
6	1001	6	1,5200		1,250000	item127000065001,30	1300
7	1001	7	1,5600		1,300000	item127000065001,40	1400
8	1001	8	1,6000		1,350000	item127000065001,60	1500
9	1001	9	1,6200		1,400000	item127000065001,80	1550
10	1001	10	1,6400		1,450000	item127000065001,100	1600
11	1002	1	3,200			item127000065002,30	500
12	1002	2	3,280		1,50000	item127000065002,5	700
13	1002	3	3,340		1,100000	item127000065002,10	850
14	1002	4	3,400		1,150000	item127000065002,15	1000
15	1002	5	3,460		1,200000	item127000065002,20	1150
16	1002	6	3,520		1,250000	item127000065002,30	1300
17	1002	7	3,560		1,300000	item127000065002,40	1400
18	1002	8	3,600		1,350000	item127000065002,60	1500
19	1002	9	3,620		1,400000	item127000065002,80	1550
20	1002	10	3,640		1,450000	item127000065002,100	1600
21	1003	1	4,200			item127000065003,30	500
22	1003	2	4,280		1,50000	item127000065003,5	700
23	1003	3	4,340		1,100000	item127000065003,10	850
24	1003	4	4,400		1,150000	item127000065003,15	1000
25	1003	5	4,460		1,200000	item127000065003,20	1150
26	1003	6	4,520		1,250000	item127000065003,30	1300
27	1003	7	4,560		1,300000	item127000065003,40	1400
28	1003	8	4,600		1,350000	item127000065003,60	1500
29	1003	9	4,620		1,400000	item127000065003,80	1550
30	1003	10	4,640		1,450000	item127000065003,100	1600
31	1004	1		1,500		item127000065004,30	500
32	1004	2		1,700	1,50000	item127000065004,5	700
33	1004	3		1,850	1,100000	item127000065004,10	850
34	1004	4		1,1000	1,150000	item127000065004,15	1000
35	1004	5		1,1150	1,200000	item127000065004,20	1150
36	1004	6		1,1300	1,250000	item127000065004,30	1300
37	1004	7		1,1400	1,300000	item127000065004,40	1400
38	1004	8		1,1500	1,350000	item127000065004,60	1500
39	1004	9		1,1550	1,400000	item127000065004,80	1550
40	1004	10		1,1600	1,450000	item127000065004,100	1600
41	1005	1		2,500		item127000065005,30	500
42	1005	2		2,700	1,50000	item127000065005,5	700
43	1005	3		2,850	1,100000	item127000065005,10	850
44	1005	4		2,1000	1,150000	item127000065005,15	1000
45	1005	5		2,1150	1,200000	item127000065005,20	1150
46	1005	6		2,1300	1,250000	item127000065005,30	1300
47	1005	7		2,1400	1,300000	item127000065005,40	1400
48	1005	8		2,1500	1,350000	item127000065005,60	1500
49	1005	9		2,1550	1,400000	item127000065005,80	1550
50	1005	10		2,1600	1,450000	item127000065005,100	1600
51	1006	1		3,500		item127000065006,30	500
52	1006	2		3,700	1,50000	item127000065006,5	700
53	1006	3		3,850	1,100000	item127000065006,10	850
54	1006	4		3,1000	1,150000	item127000065006,15	1000
55	1006	5		3,1150	1,200000	item127000065006,20	1150
56	1006	6		3,1300	1,250000	item127000065006,30	1300
57	1006	7		3,1400	1,300000	item127000065006,40	1400
58	1006	8		3,1500	1,350000	item127000065006,60	1500
59	1006	9		3,1550	1,400000	item127000065006,80	1550
60	1006	10		3,1600	1,450000	item127000065006,100	1600
61	1007	1		4,500		item127000065007,30	500
62	1007	2		4,700	1,50000	item127000065007,5	700
63	1007	3		4,850	1,100000	item127000065007,10	850
64	1007	4		4,1000	1,150000	item127000065007,15	1000
65	1007	5		4,1150	1,200000	item127000065007,20	1150
66	1007	6		4,1300	1,250000	item127000065007,30	1300
67	1007	7		4,1400	1,300000	item127000065007,40	1400
68	1007	8		4,1500	1,350000	item127000065007,60	1500
69	1007	9		4,1550	1,400000	item127000065007,80	1550
70	1007	10		4,1600	1,450000	item127000065007,100	1600
71	1008	1		5,500		item127000065008,30	500
72	1008	2		5,700	1,50000	item127000065008,5	700
73	1008	3		5,850	1,100000	item127000065008,10	850
74	1008	4		5,1000	1,150000	item127000065008,15	1000
75	1008	5		5,1150	1,200000	item127000065008,20	1150
76	1008	6		5,1300	1,250000	item127000065008,30	1300
77	1008	7		5,1400	1,300000	item127000065008,40	1400
78	1008	8		5,1500	1,350000	item127000065008,60	1500
79	1008	9		5,1550	1,400000	item127000065008,80	1550
80	1008	10		5,1600	1,450000	item127000065008,100	1600
81	1009	1		6,500		item127000065009,30	500
82	1009	2		6,700	1,50000	item127000065009,5	700
83	1009	3		6,850	1,100000	item127000065009,10	850
84	1009	4		6,1000	1,150000	item127000065009,15	1000
85	1009	5		6,1150	1,200000	item127000065009,20	1150
86	1009	6		6,1300	1,250000	item127000065009,30	1300
87	1009	7		6,1400	1,300000	item127000065009,40	1400
88	1009	8		6,1500	1,350000	item127000065009,60	1500
89	1009	9		6,1550	1,400000	item127000065009,80	1550
90	1009	10		6,1600	1,450000	item127000065009,100	1600
91	1010	1	1,2000;3,200			item127000065010,45	1000
92	1010	2	1,2800;3,280		1,200000	item127000065010,5	1400
93	1010	3	1,3400;3,340		1,250000	item127000065010,10	1700
94	1010	4	1,4000;3,400		1,300000	item127000065010,15	2000
95	1010	5	1,4600;3,460		1,350000	item127000065010,20	2300
96	1010	6	1,5200;3,520		1,400000	item127000065010,30	2600
97	1010	7	1,5600;3,560		1,450000	item127000065010,40	2800
98	1010	8	1,6000;3,600		1,500000	item127000065010,60	3000
99	1010	9	1,6200;3,620		1,550000	item127000065010,80	3100
100	1010	10	1,6400;3,640		1,600000	item127000065010,100	3200
101	1011	1	1,2000;4,200			item127000065011,45	1000
102	1011	2	1,2800;4,280		1,200000	item127000065011,5	1400
103	1011	3	1,3400;4,340		1,250000	item127000065011,10	1700
104	1011	4	1,4000;4,400		1,300000	item127000065011,15	2000
105	1011	5	1,4600;4,460		1,350000	item127000065011,20	2300
106	1011	6	1,5200;4,520		1,400000	item127000065011,30	2600
107	1011	7	1,5600;4,560		1,450000	item127000065011,40	2800
108	1011	8	1,6000;4,600		1,500000	item127000065011,60	3000
109	1011	9	1,6200;4,620		1,550000	item127000065011,80	3100
110	1011	10	1,6400;4,640		1,600000	item127000065011,100	3200
111	1012	1	3,200;4,200			item127000065012,45	1000
112	1012	2	3,280;4,280		1,200000	item127000065012,5	1400
113	1012	3	3,340;4,340		1,250000	item127000065012,10	1700
114	1012	4	3,400;4,400		1,300000	item127000065012,15	2000
