流水号	学徒ID	技能槽位索引	解锁条件
int	string	int	string
Id	ApprenticeId	Skillslot	Condition
1	apprentic_1001	1	1,1;2,2500;3,2400
2	apprentic_1001	2	1,10;2,2700;3,2700
3	apprentic_1001	3	1,20;2,2900;3,3100
4	apprentic_1002	1	1,1;2,3800;3,3600
5	apprentic_1002	2	1,10;2,4100;3,4100
6	apprentic_1002	3	1,20;2,4400;3,4600
7	apprentic_1002	4	1,30;2,4800;3,5200
8	apprentic_1003	1	1,1;2,4900;3,4800
9	apprentic_1003	2	1,10;2,5300;3,5500
10	apprentic_1003	3	1,20;2,5700;3,6200
11	apprentic_1003	4	1,30;2,6200;3,6900
12	apprentic_1003	5	1,40;2,6600;3,7600
13	apprentic_1003	6	1,60;2,8200;3,10000
14	apprentic_1004	1	1,1;2,6300;3,6000
15	apprentic_1004	2	1,10;2,6800;3,6800
16	apprentic_1004	3	1,20;2,7400;3,7700
17	apprentic_1004	4	1,30;2,8000;3,8600
18	apprentic_1004	5	1,40;2,8500;3,9500
19	apprentic_1004	6	1,60;2,10400;3,12500
20	apprentic_1004	7	1,70;2,11300;3,14000
21	apprentic_1004	8	1,80;2,12300;3,15500
22	apprentic_2001	1	1,1;2,2500;3,2400
23	apprentic_2001	2	1,10;2,2700;3,2700
24	apprentic_2001	3	1,20;2,2900;3,3100
25	apprentic_2002	1	1,1;2,3800;3,3600
26	apprentic_2002	2	1,10;2,4100;3,4100
27	apprentic_2002	3	1,20;2,4400;3,4600
28	apprentic_2002	4	1,30;2,4800;3,5200
29	apprentic_2003	1	1,1;2,4900;3,4800
30	apprentic_2003	2	1,10;2,5300;3,5500
31	apprentic_2003	3	1,20;2,5700;3,6200
32	apprentic_2003	4	1,30;2,6200;3,6900
33	apprentic_2003	5	1,40;2,6600;3,7600
34	apprentic_2003	6	1,60;2,8200;3,10000
35	apprentic_2004	1	1,1;2,6300;3,6000
36	apprentic_2004	2	1,10;2,6800;3,6800
37	apprentic_2004	3	1,20;2,7400;3,7700
38	apprentic_2004	4	1,30;2,8000;3,8600
39	apprentic_2004	5	1,40;2,8500;3,9500
40	apprentic_2004	6	1,60;2,10400;3,12500
41	apprentic_2004	7	1,70;2,11300;3,14000
42	apprentic_2004	8	1,80;2,12300;3,15500
43	apprentic_3001	1	1,1;2,2500;3,2400
44	apprentic_3001	2	1,10;2,2700;3,2700
45	apprentic_3001	3	1,20;2,2900;3,3100
46	apprentic_3002	1	1,1;2,3800;3,3600
47	apprentic_3002	2	1,10;2,4100;3,4100
48	apprentic_3002	3	1,20;2,4400;3,4600
49	apprentic_3002	4	1,30;2,4800;3,5200
50	apprentic_3003	1	1,1;2,4900;3,4800
51	apprentic_3003	2	1,10;2,5300;3,5500
52	apprentic_3003	3	1,20;2,5700;3,6200
53	apprentic_3003	4	1,30;2,6200;3,6900
54	apprentic_3003	5	1,40;2,6600;3,7600
55	apprentic_3003	6	1,60;2,8200;3,10000
56	apprentic_3004	1	1,1;2,6300;3,6000
57	apprentic_3004	2	1,10;2,6800;3,6800
58	apprentic_3004	3	1,20;2,7400;3,7700
59	apprentic_3004	4	1,30;2,8000;3,8600
60	apprentic_3004	5	1,40;2,8500;3,9500
61	apprentic_3004	6	1,60;2,10400;3,12500
62	apprentic_3004	7	1,70;2,11300;3,14000
63	apprentic_3004	8	1,80;2,12300;3,15500
64	apprentic_4001	1	1,1;2,2500;3,2400
65	apprentic_4001	2	1,10;2,2700;3,2700
66	apprentic_4001	3	1,20;2,2900;3,3100
67	apprentic_4002	1	1,1;2,3800;3,3600
68	apprentic_4002	2	1,10;2,4100;3,4100
69	apprentic_4002	3	1,20;2,4400;3,4600
70	apprentic_4002	4	1,30;2,4800;3,5200
71	apprentic_4003	1	1,1;2,4900;3,4800
72	apprentic_4003	2	1,10;2,5300;3,5500
73	apprentic_4003	3	1,20;2,5700;3,6200
74	apprentic_4003	4	1,30;2,6200;3,6900
75	apprentic_4003	5	1,40;2,6600;3,7600
76	apprentic_4003	6	1,60;2,8200;3,10000
77	apprentic_4004	1	1,1;2,6300;3,6000
78	apprentic_4004	2	1,10;2,6800;3,6800
79	apprentic_4004	3	1,20;2,7400;3,7700
80	apprentic_4004	4	1,30;2,8000;3,8600
81	apprentic_4004	5	1,40;2,8500;3,9500
82	apprentic_4004	6	1,60;2,10400;3,12500
83	apprentic_4004	7	1,70;2,11300;3,14000
84	apprentic_4004	8	1,80;2,12300;3,15500
85	apprentic_5001	1	1,1;2,2500;3,2400
86	apprentic_5001	2	1,10;2,2700;3,2700
87	apprentic_5001	3	1,20;2,2900;3,3100
88	apprentic_5002	1	1,1;2,3800;3,3600
89	apprentic_5002	2	1,10;2,4100;3,4100
90	apprentic_5002	3	1,20;2,4400;3,4600
91	apprentic_5002	4	1,30;2,4800;3,5200
92	apprentic_5003	1	1,1;2,4900;3,4800
93	apprentic_5003	2	1,10;2,5300;3,5500
94	apprentic_5003	3	1,20;2,5700;3,6200
95	apprentic_5003	4	1,30;2,6200;3,6900
96	apprentic_5003	5	1,40;2,6600;3,7600
97	apprentic_5003	6	1,60;2,8200;3,10000
98	apprentic_5004	1	1,1;2,6300;3,6000
99	apprentic_5004	2	1,10;2,6800;3,6800
100	apprentic_5004	3	1,20;2,7400;3,7700
101	apprentic_5004	4	1,30;2,8000;3,8600
102	apprentic_5004	5	1,40;2,8500;3,9500
103	apprentic_5004	6	1,60;2,10400;3,12500
104	apprentic_5004	7	1,70;2,11300;3,14000
105	apprentic_5004	8	1,80;2,12300;3,15500
106	apprentic_6001	1	1,1;2,2500;3,2400
107	apprentic_6001	2	1,10;2,2700;3,2700
