流水	学徒id	已解锁条数	位置	权重
int	string	int	string	int
Id	ApprenticeId	Unlocked	Place	Probability
1	apprentic_1001	1	1	10000
2	apprentic_1001	2	1	4500
3	apprentic_1001	2	2	4500
4	apprentic_1001	2	1,2	1000
5	apprentic_1001	3	1	2633
6	apprentic_1001	3	2	2633
7	apprentic_1001	3	3	2634
8	apprentic_1001	3	1,2	666
9	apprentic_1001	3	1,3	667
10	apprentic_1001	3	2,3	667
11	apprentic_1001	3	1,2,3	100
12	apprentic_1002	1	1	10000
13	apprentic_1002	2	1	4500
14	apprentic_1002	2	2	4500
15	apprentic_1002	2	1,2	1000
16	apprentic_1002	3	1	2433
17	apprentic_1002	3	2	2433
18	apprentic_1002	3	3	2434
19	apprentic_1002	3	1,2	833
20	apprentic_1002	3	1,3	833
21	apprentic_1002	3	2,3	834
22	apprentic_1002	3	1,2,3	200
23	apprentic_1003	1	1	10000
24	apprentic_1003	2	1	4500
25	apprentic_1003	2	2	4500
26	apprentic_1003	2	1,2	1000
27	apprentic_1003	3	1	2400
28	apprentic_1003	3	2	2400
29	apprentic_1003	3	3	2400
30	apprentic_1003	3	1,2	833
31	apprentic_1003	3	1,3	833
32	apprentic_1003	3	2,3	834
33	apprentic_1003	3	1,2,3	300
34	apprentic_1004	1	1	10000
35	apprentic_1004	2	1	4500
36	apprentic_1004	2	2	4500
37	apprentic_1004	2	1,2	1000
38	apprentic_1004	3	1	2333
39	apprentic_1004	3	2	2333
40	apprentic_1004	3	3	2334
41	apprentic_1004	3	1,2	833
42	apprentic_1004	3	1,3	833
43	apprentic_1004	3	2,3	834
44	apprentic_1004	3	1,2,3	500
45	apprentic_2001	1	1	10000
46	apprentic_2001	2	1	4500
47	apprentic_2001	2	2	4500
48	apprentic_2001	2	1,2	1000
49	apprentic_2001	3	1	2633
50	apprentic_2001	3	2	2633
51	apprentic_2001	3	3	2634
52	apprentic_2001	3	1,2	666
53	apprentic_2001	3	1,3	667
54	apprentic_2001	3	2,3	667
55	apprentic_2001	3	1,2,3	100
56	apprentic_2002	1	1	10000
57	apprentic_2002	2	1	4500
58	apprentic_2002	2	2	4500
59	apprentic_2002	2	1,2	1000
60	apprentic_2002	3	1	2433
61	apprentic_2002	3	2	2433
62	apprentic_2002	3	3	2434
63	apprentic_2002	3	1,2	833
64	apprentic_2002	3	1,3	833
65	apprentic_2002	3	2,3	834
66	apprentic_2002	3	1,2,3	200
67	apprentic_2003	1	1	10000
68	apprentic_2003	2	1	4500
69	apprentic_2003	2	2	4500
70	apprentic_2003	2	1,2	1000
71	apprentic_2003	3	1	2400
72	apprentic_2003	3	2	2400
73	apprentic_2003	3	3	2400
74	apprentic_2003	3	1,2	833
75	apprentic_2003	3	1,3	833
76	apprentic_2003	3	2,3	834
