流水号	援护技能	技能等级	技能评分	升级货币	升级消耗
int	string	int	int	string	string
Id	SkillId	Grade	ApprenticeSkillValue	Money	Consume
1	skill500111	1	200	1,20000	item127000063023,2
2	skill500111	2	400	1,40000	item127000063023,4
3	skill500111	3	600	1,80000	item127000063023,8
4	skill500111	4	800	1,160000	item127000063023,16
5	skill500121	1	600	1,60000	item127000063023,3
6	skill500121	2	800	1,120000	item127000063023,6
7	skill500121	3	1000	1,240000	item127000063023,12
8	skill500121	4	1200	1,480000	item127000063023,24
9	skill500131	1	1200	1,120000	item127000063023,4
10	skill500131	2	1400	1,240000	item127000063023,8
11	skill500131	3	1600	1,480000	item127000063023,16
12	skill500131	4	1800	1,960000	item127000063023,32
13	skill500131	5	2000	1,1440000	item127000063023,48
14	skill500141	1	2500	1,250000	item127000063023,5
15	skill500141	2	3000	1,500000	item127000063023,10
16	skill500141	3	3500	1,1000000	item127000063023,20
17	skill500141	4	4000	1,2000000	item127000063023,40
18	skill500141	5	4500	1,3000000	item127000063023,60
19	skill500141	6	5000	1,4000000	item127000063023,80
20	skill500211	1	200	1,20000	item127000063023,2
21	skill500211	2	400	1,40000	item127000063023,4
22	skill500211	3	600	1,80000	item127000063023,8
23	skill500211	4	800	1,160000	item127000063023,16
24	skill500221	1	600	1,60000	item127000063023,3
25	skill500221	2	800	1,120000	item127000063023,6
26	skill500221	3	1000	1,240000	item127000063023,12
27	skill500221	4	1200	1,480000	item127000063023,24
28	skill500231	1	1200	1,120000	item127000063023,4
29	skill500231	2	1400	1,240000	item127000063023,8
30	skill500231	3	1600	1,480000	item127000063023,16
31	skill500231	4	1800	1,960000	item127000063023,32
32	skill500231	5	2000	1,1440000	item127000063023,48
33	skill500241	1	2500	1,250000	item127000063023,5
34	skill500241	2	3000	1,500000	item127000063023,10
35	skill500241	3	3500	1,1000000	item127000063023,20
36	skill500241	4	4000	1,2000000	item127000063023,40
37	skill500241	5	4500	1,3000000	item127000063023,60
38	skill500241	6	5000	1,4000000	item127000063023,80
39	skill500311	1	200	1,20000	item127000063023,2
40	skill500311	2	400	1,40000	item127000063023,4
41	skill500311	3	600	1,80000	item127000063023,8
42	skill500311	4	800	1,160000	item127000063023,16
43	skill500321	1	600	1,60000	item127000063023,3
44	skill500321	2	800	1,120000	item127000063023,6
45	skill500321	3	1000	1,240000	item127000063023,12
46	skill500321	4	1200	1,480000	item127000063023,24
47	skill500331	1	1200	1,120000	item127000063023,4
48	skill500331	2	1400	1,240000	item127000063023,8
49	skill500331	3	1600	1,480000	item127000063023,16
50	skill500331	4	1800	1,960000	item127000063023,32
51	skill500331	5	2000	1,1440000	item127000063023,48
52	skill500341	1	2500	1,250000	item127000063023,5
53	skill500341	2	3000	1,500000	item127000063023,10
54	skill500341	3	3500	1,1000000	item127000063023,20
55	skill500341	4	4000	1,2000000	item127000063023,40
56	skill500341	5	4500	1,3000000	item127000063023,60
57	skill500341	6	5000	1,4000000	item127000063023,80
58	skill500411	1	200	1,20000	item127000063023,2
59	skill500411	2	400	1,40000	item127000063023,4
60	skill500411	3	600	1,80000	item127000063023,8
61	skill500411	4	800	1,160000	item127000063023,16
62	skill500421	1	600	1,60000	item127000063023,3
63	skill500421	2	800	1,120000	item127000063023,6
64	skill500421	3	1000	1,240000	item127000063023,12
65	skill500421	4	1200	1,480000	item127000063023,24
66	skill500431	1	1200	1,120000	item127000063023,4
67	skill500431	2	1400	1,240000	item127000063023,8
68	skill500431	3	1600	1,480000	item127000063023,16
69	skill500431	4	1800	1,960000	item127000063023,32
70	skill500431	5	2000	1,1440000	item127000063023,48
71	skill500441	1	2500	1,250000	item127000063023,5
72	skill500441	2	3000	1,500000	item127000063023,10
73	skill500441	3	3500	1,1000000	item127000063023,20
74	skill500441	4	4000	1,2000000	item127000063023,40
75	skill500441	5	4500	1,3000000	item127000063023,60
76	skill500441	6	5000	1,4000000	item127000063023,80
77	skill500511	1	200	1,20000	item127000063023,2
78	skill500511	2	400	1,40000	item127000063023,4
79	skill500511	3	600	1,80000	item127000063023,8
80	skill500511	4	800	1,160000	item127000063023,16
81	skill500521	1	600	1,60000	item127000063023,3
82	skill500521	2	800	1,120000	item127000063023,6
83	skill500521	3	1000	1,240000	item127000063023,12
84	skill500521	4	1200	1,480000	item127000063023,24
85	skill500531	1	1200	1,120000	item127000063023,4
86	skill500531	2	1400	1,240000	item127000063023,8
87	skill500531	3	1600	1,480000	item127000063023,16
88	skill500531	4	1800	1,960000	item127000063023,32
89	skill500531	5	2000	1,1440000	item127000063023,48
90	skill500541	1	2500	1,250000	item127000063023,5
91	skill500541	2	3000	1,500000	item127000063023,10
92	skill500541	3	3500	1,1000000	item127000063023,20
93	skill500541	4	4000	1,2000000	item127000063023,40
94	skill500541	5	4500	1,3000000	item127000063023,60
95	skill500541	6	5000	1,4000000	item127000063023,80
96	skill500611	1	200	1,20000	item127000063023,2
97	skill500611	2	400	1,40000	item127000063023,4
98	skill500611	3	600	1,80000	item127000063023,8
99	skill500611	4	800	1,160000	item127000063023,16
100	skill500621	1	600	1,60000	item127000063023,3
101	skill500621	2	800	1,120000	item127000063023,6
102	skill500621	3	1000	1,240000	item127000063023,12
103	skill500621	4	1200	1,480000	item127000063023,24
104	skill500631	1	1200	1,120000	item127000063023,4
105	skill500631	2	1400	1,240000	item127000063023,8
106	skill500631	3	1600	1,480000	item127000063023,16
107	skill500631	4	1800	1,960000	item127000063023,32
108	skill500631	5	2000	1,1440000	item127000063023,48
109	skill500641	1	2500	1,250000	item127000063023,5
110	skill500641	2	3000	1,500000	item127000063023,10
111	skill500641	3	3500	1,1000000	item127000063023,20
112	skill500641	4	4000	1,2000000	item127000063023,40
113	skill500641	5	4500	1,3000000	item127000063023,60
114	skill500641	6	5000	1,4000000	item127000063023,80
115	skill500711	1	200	1,20000	item127000063023,2
116	skill500711	2	400	1,40000	item127000063023,4
117	skill500711	3	600	1,80000	item127000063023,8
118	skill500711	4	800	1,160000	item127000063023,16
119	skill500721	1	600	1,60000	item127000063023,3
120	skill500721	2	800	1,120000	item127000063023,6
121	skill500721	3	1000	1,240000	item127000063023,12
122	skill500721	4	1200	1,480000	item127000063023,24
123	skill500731	1	1200	1,120000	item127000063023,4
124	skill500731	2	1400	1,240000	item127000063023,8
125	skill500731	3	1600	1,480000	item127000063023,16
126	skill500731	4	1800	1,960000	item127000063023,32
127	skill500731	5	2000	1,1440000	item127000063023,48
128	skill500741	1	2500	1,250000	item127000063023,5
129	skill500741	2	3000	1,500000	item127000063023,10
130	skill500741	3	3500	1,1000000	item127000063023,20
131	skill500741	4	4000	1,2000000	item127000063023,40
132	skill500741	5	4500	1,3000000	item127000063023,60
133	skill500741	6	5000	1,4000000	item127000063023,80
134	skill500811	1	200	1,20000	item127000063023,2
135	skill500811	2	400	1,40000	item127000063023,4
136	skill500811	3	600	1,80000	item127000063023,8
137	skill500811	4	800	1,160000	item127000063023,16
138	skill500821	1	600	1,60000	item127000063023,3
139	skill500821	2	800	1,120000	item127000063023,6
140	skill500821	3	1000	1,240000	item127000063023,12
141	skill500821	4	1200	1,480000	item127000063023,24
142	skill500831	1	1200	1,120000	item127000063023,4
143	skill500831	2	1400	1,240000	item127000063023,8
144	skill500831	3	1600	1,480000	item127000063023,16
145	skill500831	4	1800	1,960000	item127000063023,32
146	skill500831	5	2000	1,1440000	item127000063023,48
147	skill500841	1	2500	1,250000	item127000063023,5
148	skill500841	2	3000	1,500000	item127000063023,10
149	skill500841	3	3500	1,1000000	item127000063023,20
150	skill500841	4	4000	1,2000000	item127000063023,40
151	skill500841	5	4500	1,3000000	item127000063023,60
152	skill500841	6	5000	1,4000000	item127000063023,80
