游历点ID	地图ID	游历点名称	事件	学徒等级要求	学徒数量要求	游历时间	游历点坐标	偏好学徒
int	int	string	string	int	int	int	string	string
TravelId	MapId	TravelName	EventId	ApprenticeLevel	Num	TravelTime	Coordinate	Preference
100101	1001	TravelName100101	600101,600102	1	1	90	-47,225	
100102	1001	TravelName100102	600103,600104	4	1	300	38,75	
100103	1001	TravelName100103	600105,600106	6	1	300	150,191	
100104	1001	TravelName100104	600107,600108,600109	8	2	1200	-78,-25	
100105	1001	TravelName100105	600110,600111,600112	10	3	1800	95,-91	
100106	1001	TravelName100106	600113,600114,600115	10	4	2400	-149,-131	
100201	1002	TravelName100201	600201,600202,600203	5	2	1200	22,348	
100202	1002	TravelName100202	600204,600205,600206	5	3	1800	133,110	
100203	1002	TravelName100203	600207,600208,600209	8	3	1800	251,30	
100204	1002	TravelName100204	600210,600211,600212	10	3	1800	33,-85	
100205	1002	TravelName100205	600213,600214,600215	12	4	2400	-158,55	
100206	1002	TravelName100206	600216,600217,600218	15	4	2400	-133,-193	
100207	1002	TravelName100207	600219,600220,600221	15	4	2400	-238,-129	
100301	1003	TravelName100301	600301,600302,600303	15	2	1200	-207,242	
100302	1003	TravelName100302	600304,600305,600306	15	3	1800	-122,107	
100303	1003	TravelName100303	600307,600308,600309	15	3	1800	29,281	
100304	1003	TravelName100304	600310,600311,600312	15	4	2400	-48,-16	
100305	1003	TravelName100305	600313,600314,600315,600316	20	4	2400	197,65	
100306	1003	TravelName100306	600317,600318,600319,600320	25	4	2400	302,6	
100307	1003	TravelName100307	600321,600322,600323,600324	30	4	2400	-67,-150	
100308	1003	TravelName100308	600325,600326,600327,600328	35	4	2400	119,-175	
100401	1004	TravelName100401	600401,600402,600403,600404	30	3	1800	-174,155	
100402	1004	TravelName100402	600405,600406,600407,600408	35	3	1800	82,218	
100403	1004	TravelName100403	600409,600410,600411,600412	40	4	2400	196,89	
100404	1004	TravelName100405	600413,600414,600415,600416	45	4	2400	-65,5	
100405	1004	TravelName100406	600417,600418,600419,600420	50	4	2400	-167,-103	
100406	1004	TravelName100407	600421,600422,600423,600424	55	4	2400	26,-188	
100407	1004	TravelName100408	600425,600426,600427,600428	60	4	2400	128,-52	
100501	1005	TravelName100501	600501,600502,600503,600504	40	3	1800	-107,235	
100502	1005	TravelName100502	600505,600506,600507,600508	45	3	1800	-5,142	
100503	1005	TravelName100503	600509,600510,600511,600512	50	3	1800	114,221	
100504	1005	TravelName100504	600513,600514,600515,600516	50	4	2400	-238,80	
100505	1005	TravelName100505	600517,600518,600519,600520	55	4	2400	-234,-135	
100506	1005	TravelName100506	600521,600522,600523,600524	60	4	2400	-83,-86	
100507	1005	TravelName100507	600525,600526,600527,600528	65	4	2400	-9,-219	
100508	1005	TravelName100508	600529,600530,600531,600532	70	4	2400	167,-146	
100601	1006	TravelName100601	600601,600602,600603,600604	45	4	2400	-265,105	
100602	1006	TravelName100602	600605,600606,600607,600608	50	4	2400	-103,118	
100603	1006	TravelName100603	600609,600610,600611,600612	55	4	2400	-46,275	
100604	1006	TravelName100604	600613,600614,600615,600616	60	4	2400	148,225	
100605	1006	TravelName100605	600617,600618,600619,600620	65	4	2400	9,-19	
100606	1006	TravelName100606	600621,600622,600623,600624	70	4	2400	206,3	
100607	1006	TravelName100607	600625,600626,600627,600628	75	4	2400	-189,-79	
100608	1006	TravelName100608	600629,600630,600631,600632	80	4	2400	-117,-212	
100609	1006	TravelName100609	600633,600634,600635,600636	85	4	2400	77,-181	
