流水Id	才艺属性ID	地图Id	加成类型	概率加成	倍率加成
int	int	int	int	string	string
Id	ArtPropId	MapId	Type	Probability	Addition
1	1	1001	2		1000,1000
2	1	1002	2		1200,1000
3	1	1003	2		1500,1000
4	1	1004	2		1800,1000
5	1	1005	2		2000,1000
6	1	1006	2		2000,1000
7	2	1001	1	1000,500	
8	2	1002	1	1200,500	
9	2	1003	1	1500,500	
10	2	1004	1	1800,500	
11	2	1005	1	2000,500	
12	2	1006	1	2000,500	
13	3	1001	1	1000,500	
14	3	1002	1	1200,500	
15	3	1003	1	1500,500	
16	3	1004	1	1800,500	
17	3	1005	1	2000,500	
18	3	1006	1	2000,500	
19	4	1001	1	1000,500	
20	4	1002	1	1200,500	
21	4	1003	1	1500,500	
22	4	1004	1	1800,500	
23	4	1005	1	2000,500	
24	4	1006	1	2000,500	
25	5	1001	1	1000,500	
26	5	1002	1	1200,500	
27	5	1003	1	1500,500	
28	5	1004	1	1800,500	
29	5	1005	1	2000,500	
30	5	1006	1	2000,500	
31	6	1001	1	1000,500	
32	6	1002	1	1200,500	
33	6	1003	1	1500,500	
34	6	1004	1	1800,500	
35	6	1005	1	2000,500	
36	6	1006	1	2000,500	
