影集ID	地图ID	任务ID	影集图片ID	影集激活奖励	宝箱icon
int	int	int	string	string	string
AlbumId	MapId	TaskId	PicId	AlbumReward	BoxId
9101	1001	3909101	travelpic101	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9102	1001	3909102	travelpic102	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9103	1001	3909103	travelpic103	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9104	1001	3909104	travelpic104	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9105	1001	3909105	travelpic105	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9106	1001	3909106	travelpic106	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9107	1001	3909107	travelpic107	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9108	1001	3909108	travelpic108	item127000063001,5;item127000065004,2;item127000065010,1;item127000063004,1	box_star05;box_star06
9201	1002	3909201	travelpic201	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9202	1002	3909202	travelpic202	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9203	1002	3909203	travelpic203	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9204	1002	3909204	travelpic204	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9205	1002	3909205	travelpic205	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9206	1002	3909206	travelpic206	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9207	1002	3909207	travelpic207	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9208	1002	3909208	travelpic208	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9209	1002	3909209	travelpic209	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9210	1002	3909210	travelpic210	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9211	1002	3909211	travelpic211	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9212	1002	3909212	travelpic212	item127000063001,8;item127000065001,4;item127000065012,2;item127000063004,2	box_star05;box_star06
9301	1003	3909301	travelpic301	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9302	1003	3909302	travelpic302	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9303	1003	3909303	travelpic303	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9304	1003	3909304	travelpic304	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9305	1003	3909305	travelpic305	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9306	1003	3909306	travelpic306	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9307	1003	3909307	travelpic307	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
9308	1003	3909308	travelpic308	item127000063001,10;item127000065008,6;item127000065020,3;item127000063004,3	box_star05;box_star06
