种族编号	npc编号
int	string
TribeId	SoldierRobotId
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	24,36,48,60
1	12,36,48,60
1	12,24,36,60
1	12,24,36,60
1	12,24,36,48
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
1	11,23,35,59
1	11,23,35,59
1	11,23,35,47
1	23,35,47,59
1	11,35,47,59
