佣兵等级	品阶等级	当前品阶星级	AI
int	int	int	int
SoldierLevel	AdvanceLevel	StarLevel	BevTreeId
15	1	1	111
15	1	1	111
15	1	1	111
15	1	1	111
22	2	1	111
23	2	2	111
25	2	3	111
26	2	4	111
28	3	1	111
29	3	2	111
31	3	3	111
32	3	4	111
15	1	1	112
15	1	1	112
15	1	1	112
15	1	1	112
22	2	1	112
23	2	2	112
25	2	3	112
26	2	4	112
28	3	1	112
29	3	2	112
31	3	3	112
32	3	4	112
15	1	1	112
15	1	1	112
15	1	1	112
15	1	1	112
22	2	1	112
23	2	2	112
25	2	3	112
26	2	4	112
28	3	1	112
29	3	2	112
31	3	3	112
32	3	4	112
15	1	1	114
15	1	1	114
15	1	1	114
15	1	1	114
22	2	1	114
23	2	2	114
25	2	3	114
26	2	4	114
28	3	1	114
29	3	2	114
31	3	3	114
32	3	4	114
15	1	1	111
15	1	1	111
15	1	1	111
15	1	1	111
22	2	1	111
23	2	2	111
25	2	3	111
26	2	4	111
28	3	1	111
29	3	2	111
31	3	3	111
32	3	4	111
32	3	4	111
32	3	4	112
32	3	4	112
32	3	4	114
32	3	4	111
32	3	4	111
32	3	4	112
32	3	4	114
32	3	4	111
32	3	4	111
32	3	4	112
32	3	4	111
32	3	4	111
32	3	4	112
32	3	4	111
32	3	4	112
32	3	4	111
32	3	4	111
32	3	4	114
32	3	4	112
32	3	4	112
32	3	4	112
32	3	4	111
32	3	4	112
32	3	4	112
32	3	4	112
32	3	4	111
32	3	4	112
32	3	4	111
32	3	4	111
32	3	4	111
32	3	4	111
32	3	4	112
32	3	4	112
32	3	4	111
32	3	4	112
32	3	4	111
32	3	4	112
32	3	4	112
32	3	4	111
32	3	4	114
32	3	4	111
32	3	4	114
32	3	4	111
32	3	4	111
32	3	4	111
32	3	4	112
32	3	4	112
32	3	4	111
32	3	4	112
32	3	4	112
32	3	4	111
32	3	4	112
