ID		标签类型	拍卖类型	等待竞价时间	生命时长（开始竞价后）	货币类型	起拍竞价	每次竞价提升百分比	一口价	重置时间的节点	购买限制
int	string	int	int	int	int	int	int	int	int	int	string
Id	ItemId	LabelType	Type	WaitTime	LifeTime	PriceType	StartPrice	Percentage	FullPrice	ResetTime	BuyLimit
1	item107100030101	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
2	item107100030102	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
3	item107100030103	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
4	item107100030201	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
5	item107100030202	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
6	item107100030203	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
7	item107100030301	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
8	item107100030302	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
9	item107100030303	3	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
10	item107100041101	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
11	item107100041102	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
12	item107100041103	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
13	item107100041104	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
14	item107100041201	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
15	item107100041202	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
16	item107100041203	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
17	item107100041204	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
18	item107100041301	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
19	item107100041302	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
20	item107100041303	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
21	item107100041304	3	1	300	3600	2	12000	1000	24000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
22	item107100041305	3	1	300	3600	2	32000	1000	64000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
23	item107100042101	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
24	item107100042102	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
25	item107100042103	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
26	item107100042201	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
27	item107100042202	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
28	item107100042203	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
29	item107100042301	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
30	item107100042302	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
31	item107100042303	3	1	300	3600	2	48000	1000	96000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
32	item107100043101	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
33	item107100043102	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
34	item107100043103	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
35	item107100043201	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
36	item107100043202	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
37	item107100043203	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
38	item107100043301	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
39	item107100043302	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
40	item107100043303	3	1	300	7200	2	120000	1000	240000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
41	item107100051101	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
42	item107100051102	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
43	item107100051103	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
44	item107100051201	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
45	item107100051202	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
46	item107100051203	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
47	item107100051204	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
48	item107100051301	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
49	item107100051302	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
50	item107100051303	3	1	300	7200	2	540000	1000	1080000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
51	item107100052101	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
52	item107100052102	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
53	item107100052103	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
54	item107100052201	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
55	item107100052202	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
56	item107100052203	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
57	item107100052301	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
58	item107100052302	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
59	item107100052303	3	1	300	7200	2	1080000	1000	2160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
60	item107100053101	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
61	item107100053102	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
62	item107100053103	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
63	item107100053201	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
64	item107100053202	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
65	item107100053203	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
66	item107100053204	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
67	item107100053301	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
68	item107100053302	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
69	item107100053303	3	1	300	7200	2	2160000	1000	4320000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
70	item107200041001	3	1	300	3600	2	400	1000	800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
71	item107200042001	3	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
72	item107200043001	3	1	300	3600	2	4000	1000	8000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
73	item107200051001	3	1	300	3600	2	18000	1000	36000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
74	item107200052001	3	1	300	3600	2	36000	1000	72000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
75	item107200053001	3	1	300	3600	2	72000	1000	144000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
76	item119100000000	2	1	300	3600	2	2400	1000	4800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
77	item119100000001	2	1	300	3600	2	8000	1000	16000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
78	item119100000002	2	1	300	3600	2	24000	1000	48000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
79	item119100000004	2	1	300	3600	2	12800	1000	25600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
80	item119100000005	2	1	300	3600	2	12800	1000	25600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
81	item119100000006	2	1	300	3600	2	12800	1000	25600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
82	item162000120103	2	1	300	7200	2	244320	1000	488640	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
83	item162000120203	2	1	300	7200	2	244320	1000	488640	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
84	item162000220103	2	1	300	7200	2	244320	1000	488640	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
85	item162000220203	2	1	300	7200	2	244320	1000	488640	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
86	item162000320103	2	1	300	7200	2	244320	1000	488640	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
87	item162000320203	2	1	300	7200	2	244320	1000	488640	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
88	item103010121005	1	1	300	3600	2	6400	1000	12800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
89	item103010121006	1	1	300	3600	2	25600	1000	51200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
90	item103010121007	1	1	300	7200	2	102400	1000	204800	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
91	item8103010121008	1	1	300	7200	2	240000	1000	480000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
92	item103010111001	1	1	300	3600	2	80	1000	160	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
93	item103010111002	1	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
94	item103010111003	1	1	300	3600	2	10000	1000	20000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
95	item103010111004	1	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
96	item103010111005	1	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
97	item103010111006	1	1	300	3600	2	80	1000	160	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
98	item103010111007	1	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
99	item103010111008	1	1	300	3600	2	10000	1000	20000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
100	item103010111009	1	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
101	item103010111010	1	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
102	item103010111011	1	1	300	3600	2	80	1000	160	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
103	item103010111012	1	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
104	item103010111013	1	1	300	3600	2	10000	1000	20000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
105	item103010111014	1	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
106	item103010111015	1	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
107	item103010111016	1	1	300	3600	2	80	1000	160	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
108	item103010111017	1	1	300	3600	2	800	1000	1600	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
109	item103010111018	1	1	300	3600	2	10000	1000	20000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
110	item103010111019	1	1	300	7200	2	80000	1000	160000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
111	item103010111020	1	1	300	7200	2	480000	1000	960000	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
112	item106210100001	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
113	item106210100002	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
114	item106210100003	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
115	item106210100004	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
116	item106210100005	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
117	item106210100006	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
118	item106210100007	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
119	item106210100008	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
120	item106210100009	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
121	item106210100010	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
122	item106210100011	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
123	item106210100012	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
124	item106210100013	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
125	item106210100014	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
126	item106210100015	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
127	item106210100016	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
128	item106210100017	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
129	item106210100018	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
130	item106210100019	2	1	300	3600	2	1600	1000	3200	100	0,0;41,6;51,10;60,13;65,16;70,19;75,22
