音效编号	主体	播放时长	延迟	权重	组别	背景音乐音量缩放	背景音乐优先级	背景音乐段落循环	背景音乐段落循环
int	string	float	float	int	int	float	int	vector2	bool
Id	Main	ExistTime	SoundDelay	Weight	Group	VolumeScale	PriorityLevel	StartEndLoop	IsLoop
1	bgm_login_background02	0.000000	0.000000	0	0	1.000000	1		
2	lrgames_bgm_city01_demo01	0.000000	0.000000	0	0	1.000000	1		
3	bgm10001	0.000000	0.000000	0	0	1.000000	1		
4	bgm10000	0.000000	0.000000	0	0	1.000000	1		
5	bgm11000	0.000000	0.000000	0	0	1.000000	1		
6	bgm1010	0.000000	0.000000	0	0	1.000000	2		
7	Shadow_forest	0.000000	0.000000	0	0	1.000000	1		
8	bgm1000202	0.000000	0.000000	0	0	1.000000	1		
9	bgm_volcano	0.000000	0.000000	0	0	1.000000	1		
10	bgm_city_ln	0.000000	0.000000	0	0	1.000000	1		
11	bgm_createhero	0.000000	0.000000	0	0	1.000000	1		
12	bgm_city_night	0.000000	0.000000	0	0	1.000000	2		
13	bgm_arena	0.000000	0.000000	0	0	1.000000	2		
14	s41bgm001	0.000000	0.000000	0	0	1.000000	1		
15	s41bgm002	0.000000	0.000000	0	0	1.000000	2		
16	s41bgm003	0.000000	0.000000	0	0	1.000000	2		
17	bgm_void	0.000000	0.000000	0	0	1.000000	2		
18	bgm3500101	0.000000	0.000000	0	0	1.000000	1		
19	bgm_arena02	0.000000	0.000000	0	0	1.000000	1		
20	bgm10009demo	0.000000	0.000000	0	0	1.000000	1		
21	bgm10000demo	0.000000	0.000000	0	0	1.000000	1		
22	boss_a	0.000000	0.000000	0	0	1.000000	2	22.15,59.073	1
23	victory_a	0.000000	0.000000	0	0	1.000000	2	6.905,62.1	1
24	bgm10010	0.000000	0.000000	0	0	0.600000	1		
25	bgm10009	0.000000	0.000000	0	0	1.000000	1		
26	bgm_commonbattle01	0.000000	0.000000	0	0	1.000000	2		
27	bgm_commonbattle01	0.000000	0.000000	0	0	1.000000	2		
28	bgm_insect	0.000000	0.000000	0	0	1.000000	2		
29	bgm_starrysky	0.000000	0.000000	0	0	1.000000	2		
30	bgm_commonbattle02	0.000000	0.000000	0	0	1.000000	2		
31	bgm_common	0.000000	0.000000	0	0	1.000000	1		
