ID编号	目标对象	中间路径点	驾驶类型	目的地坐标	超时时间	坐骑等级	坐骑颜色ID	坐上来的npc	动作集	该NPC的骑乘动作	npc坐的位置	玩家坐的位置
int	string	string	int	vector3	int	int	int	string	int	int	int	int
Id	AutoRideId	PathPoint	Type	EndPoint	TimeLimit	GrowLevel	AutoRideColor	NpcID	ActionSet	ActionId	NpcPos	PlayerPos
1	ride_901	34.2,-0.4,-18.5;28.2,-5.1,-60.2	1	-62.9,-4.3,-60.1	20	1	0		0	0	0	0
2	ride_902	21.6,-5.1,-42.3;32.7,-5.1,-39.4	1	32.7,-0.4,-13.1	30	1	0	npc_100822	0	0	1	2
20	ride_903		2	-24.9,-0.5,50	160	1	0	npc_fairy_001	20	1	4	1
21	ride_903		2	-54.6,-4.3,-75.7	160	1	0	npc_fairy_002	6009020	1	4	1
22	ride_903		2	-54.6,-4.3,-75.7	160	1	0	npc_fairy_003	20	1	4	1
23	ride_903		2	-24.9,-0.5,50	160	1	0	npc_fairy_004	20	1	4	1
24	ride_903		2	31.9,-5.1,-46.5	160	1	0	npc_fairy_005	20	1	4	1
25	ride_903		2	-24.9,-0.5,50	160	1	0	npc_fairy_006	20	1	4	1
26	ride_903		2	-6.5,0.2,-25.3	160	1	0	npc_fairy_007	20	1	4	1
27	ride_903		2	13.8,0.2,49.4	160	1	0	npc_fairy_008	6011020	1	5	1
28	ride_903		2	-26.8,0.2,-35.1	160	1	0	npc_fairy_009	21	2	4	1
29	ride_903		2	-55,0.2,8.8	160	1	0	npc_fairy_010	20	1	4	1
30	ride_903		2	6.6,0.2,-5.9	160	1	0	npc_fairy_001	20	1	4	1
31	ride_903		2	43.2,0.2,33.4	160	1	0	npc_fairy_002	6009020	1	4	1
32	ride_903		2	45.7,5.5,-14.2	160	1	0	npc_fairy_003	20	1	4	1
33	ride_903		2	21.6,11,83.1	160	1	0	npc_fairy_004	20	1	4	1
34	ride_903		2	76.7,5.5,7.2	160	1	0	npc_fairy_005	20	1	4	1
35	ride_903		2	67.3,5.5,26.5	160	1	0	npc_fairy_006	20	1	4	1
36	ride_903		2	26,4.8,-44.8	160	1	0	npc_fairy_007	20	1	4	1
37	ride_903		2	-82.4,12.2,-54.4	160	1	0	npc_fairy_008	6011020	1	5	1
38	ride_903		2	25.9,8,54.1	160	1	0	npc_fairy_009	21	2	4	1
39	ride_903		2	-10.5,4.4,23.7	160	1	0	npc_fairy_010	20	1	4	1
40	ride_903		2	-44.2,4.4,-31.2	160	1	0	npc_fairy_001	20	1	4	1
41	ride_903		2	10.3,4.3,-49.2	160	1	0	npc_fairy_002	6009020	1	4	1
42	ride_903		2	-10.2,4.4,-58.7	160	1	0	npc_fairy_003	20	1	4	1
43	ride_903		2	7.1,4.4,38.2	160	1	0	npc_fairy_004	20	1	4	1
44	ride_903		2	91.4,2.5,-14.9	160	1	0	npc_fairy_005	20	1	4	1
45	ride_903		2	40.3,-5,-54.1	160	1	0	npc_fairy_006	20	1	4	1
46	ride_903		2	-9.2,-2.0,-54.5	160	1	0	npc_fairy_007	20	1	4	1
47	ride_903		2	64.5,-5,-47.4	160	1	0	npc_fairy_008	6011020	1	5	1
48	ride_903		2	-78,0.1,27.4	160	1	0	npc_fairy_009	21	2	4	1
49	ride_903		2	-41,-2,-66.8	160	1	0	npc_fairy_010	20	1	4	1
