流水	模型名字	操作类型	切换前动作	切换后动作	切换特效	切换后常驻特效
int	string	int	int	int	int	int
Id	CharName	OperateType	BeforeAction	AfterAction	TranslateEffect	TranslatedHoldEffect
1	c001h	1	13	32	10000033	20000001
2	c001h	2	13	33	10000033	20000001
3	c001h	3	13	32	10000033	20000001
4	c002h	1	13	32	10000033	20000001
5	c002h	2	13	33	10000033	20000001
6	c002h	3	13	32	10000033	20000001
7	c003h	1	13	32	10000033	20000001
8	c003h	2	13	33	10000033	20000001
9	c003h	3	13	32	10000033	20000001
10	c004h	1	13	32	10000033	20000001
11	c004h	2	13	33	10000033	20000001
12	c004h	3	13	32	10000033	20000001
13	c005h	1	13	32	10000033	20000001
14	c005h	2	13	33	10000033	20000001
15	c005h	3	13	32	10000033	20000001
16	c006h	1	13	32	10000033	20000001
17	c006h	2	13	33	10000033	20000001
18	c006h	3	13	32	10000033	20000001
19	c007h	1	13	32	10000033	20000001
20	c007h	2	13	33	10000033	20000001
21	c007h	3	13	32	10000033	20000001
22	c008h	1	13	32	10000033	20000001
23	c008h	2	13	33	10000033	20000001
24	c008h	3	13	32	10000033	20000001
