流水	纹章ID	类别	品质	进阶等级	分解返还材料(不包含觉醒材料）	属性值	物品等级	物品等级描述	默认孔数	最多锁属性数量	底图	插槽坐标	未鉴定纹章ID	觉醒最大孔位数量
int	string	string	int	int	string	string	int	int	int	int	string	string	string	int
Id	BadgeId	ClassId	Rare	Level	Reslove	PropValue	ItemLevel	EquipLevelDes	DefaultHole	MostLockNum	Picutre	TargetPos	ItemId	MaxAwakeNum
1	item171001010101	badge_10101	2	0	item8171000101061,2;item171000101012,20	4,240	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
2	item171001010101	badge_10101	2	1	item8171000101061,2;item171000101012,20	4,252	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
3	item171001010101	badge_10101	2	2	item8171000101061,3;item171000101012,20	4,264	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
4	item171001010101	badge_10101	2	3	item8171000101061,5;item171000101012,20	4,276	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
5	item171001010101	badge_10101	2	4	item8171000101061,7;item171000101012,20	4,288	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
6	item171001010101	badge_10101	2	5	item8171000101061,9;item171000101012,20	4,300	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
7	item171001010101	badge_10101	2	6	item8171000101061,12;item171000101012,20	4,312	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
8	item171001010101	badge_10101	2	7	item8171000101061,16;item171000101012,20	4,324	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
9	item171001010101	badge_10101	2	8	item8171000101061,20;item171000101012,20	4,336	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
10	item171001010101	badge_10101	2	9	item8171000101061,26;item171000101012,20	4,348	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
11	item171001010101	badge_10101	2	10	item8171000101061,32;item171000101012,20	4,360	180	3	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050101	0
12	item171001010102	badge_10101	2	0	item8171000101061,2;item171000101012,20	4,210	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
13	item171001010102	badge_10101	2	1	item8171000101061,2;item171000101012,20	4,220	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
14	item171001010102	badge_10101	2	2	item8171000101061,3;item171000101012,20	4,231	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
15	item171001010102	badge_10101	2	3	item8171000101061,5;item171000101012,20	4,241	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
16	item171001010102	badge_10101	2	4	item8171000101061,7;item171000101012,20	4,252	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
17	item171001010102	badge_10101	2	5	item8171000101061,9;item171000101012,20	4,262	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
18	item171001010102	badge_10101	2	6	item8171000101061,12;item171000101012,20	4,273	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
19	item171001010102	badge_10101	2	7	item8171000101061,16;item171000101012,20	4,283	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
20	item171001010102	badge_10101	2	8	item8171000101061,20;item171000101012,20	4,294	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
21	item171001010102	badge_10101	2	9	item8171000101061,26;item171000101012,20	4,304	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
22	item171001010102	badge_10101	2	10	item8171000101061,32;item171000101012,20	4,315	157	2	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050102	0
23	item171001010103	badge_10101	2	0	item8171000101061,2;item171000101012,20	4,180	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
24	item171001010103	badge_10101	2	1	item8171000101061,2;item171000101012,20	4,189	135	1	2	1	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,178	item171001050103	0
