流水	工坊等级	需求圣器等级	打造等级	打造名字	打造等级图标	打造特效	预览标题	预览展示	消耗道具
int	int	int	int	string	string	int	string	string	string
Id	HouseLevel	HallowLevel	MakeLevel	MakeName	MakeIcon	Effect	ShowTitle	ShowItem	UseItem
1	1	1	1	emblem_makelevel01	icon_makebadge_lv01	0	badge_makeshow_01	item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
2	1	1	2	emblem_makelevel02	icon_makebadge_lv02	0	badge_makeshow_02	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
3	1	1	3	emblem_makelevel03	icon_makebadge_lv03	0	badge_makeshow_03	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
4	1	1	4	emblem_makelevel04	icon_makebadge_lv04	0	badge_makeshow_04	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1	item171000101021,1
5	1	1	5	emblem_makelevel05	icon_makebadge_lv05	0	badge_makeshow_05	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171000103501,1;item171000103502,1;item171000103503,1;item171000103504,1;item171000103505,1;item171000103506,1;item171000103507,1;item171000103508,1;item171000103509,1;item171000103510,1;item171000103511,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1	item171000101021,1
6	2	3	1	emblem_makelevel01	icon_makebadge_lv01	0	badge_makeshow_01	item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
7	2	3	2	emblem_makelevel02	icon_makebadge_lv02	0	badge_makeshow_02	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
8	2	3	3	emblem_makelevel03	icon_makebadge_lv03	0	badge_makeshow_03	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
9	2	3	4	emblem_makelevel04	icon_makebadge_lv04	0	badge_makeshow_04	item171001030401,1;item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1	item171000101021,1
10	2	3	5	emblem_makelevel05	icon_makebadge_lv05	0	badge_makeshow_05	item171001030401,1;item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171000103501,1;item171000103502,1;item171000103503,1;item171000103504,1;item171000103505,1;item171000103506,1;item171000103507,1;item171000103508,1;item171000103509,1;item171000103510,1;item171000103511,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1	item171000101021,1
11	3	5	1	emblem_makelevel01	icon_makebadge_lv01	0	badge_makeshow_01	item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
12	3	5	2	emblem_makelevel02	icon_makebadge_lv02	0	badge_makeshow_02	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
13	3	5	3	emblem_makelevel03	icon_makebadge_lv03	0	badge_makeshow_03	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
14	3	5	4	emblem_makelevel04	icon_makebadge_lv04	0	badge_makeshow_04	item171001030401,1;item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1	item171000101021,1
15	3	5	5	emblem_makelevel05	icon_makebadge_lv05	0	badge_makeshow_05	item171001040501,1;item171001030401,1;item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171000103501,1;item171000103502,1;item171000103503,1;item171000103504,1;item171000103505,1;item171000103506,1;item171000103507,1;item171000103508,1;item171000103509,1;item171000103510,1;item171000103511,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1	item171000101021,1
16	4	7	1	emblem_makelevel01	icon_makebadge_lv01	0	badge_makeshow_01	item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
17	4	7	2	emblem_makelevel02	icon_makebadge_lv02	0	badge_makeshow_02	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
18	4	7	3	emblem_makelevel03	icon_makebadge_lv03	0	badge_makeshow_03	item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1;item171000103101,1;item171000103102,1;item171000103103,1;item171000103104,1;item171000103105,1	item171000101021,1
19	4	7	4	emblem_makelevel04	icon_makebadge_lv04	0	badge_makeshow_04	item171001030401,1;item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171001010101,1;item171001010201,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1;item171000103201,1;item171000103202,1;item171000103203,1;item171000103204,1;item171000103205,1;item171000103206,1;item171000103207,1;item171000103208,1;item171000103209,1	item171000101021,1
20	4	7	5	emblem_makelevel05	icon_makebadge_lv05	0	badge_makeshow_05	item171001040501,1;item171001030401,1;item171001020101,1;item171001020201,1;item171001020301,1;item171001020401,1;item171000103501,1;item171000103502,1;item171000103503,1;item171000103504,1;item171000103505,1;item171000103506,1;item171000103507,1;item171000103508,1;item171000103509,1;item171000103510,1;item171000103511,1;item171000103401,1;item171000103402,1;item171000103403,1;item171000103404,1;item171000103405,1;item171000103406,1;item171000103407,1;item171000103408,1;item171000103409,1;item171000103410,1;item171000103411,1;item171000103412,1;item171000103413,1;item171000103414,1;item171000103415,1;item171000103416,1;item171000103417,1;item171000103301,1;item171000103302,1;item171000103303,1;item171000103304,1;item171000103305,1;item171000103306,1;item171000103307,1;item171000103308,1;item171000103309,1	item171000101021,1
