流水	纹章ID	属性库
int	string	int
Id	BadgeId	DropBox
1	item171001010101	17100101
2	item171001010101	17100101
3	item171001010102	17100101
4	item171001010102	17100101
5	item171001010103	17100101
6	item171001010103	17100101
7	item171001010201	17100101
8	item171001010201	17100101
9	item171001010202	17100101
10	item171001010202	17100101
11	item171001010203	17100101
12	item171001010203	17100101
13	item171001020101	17100102
14	item171001020101	17100102
15	item171001020101	17100102
16	item171001020102	17100102
17	item171001020102	17100102
18	item171001020102	17100102
19	item171001020103	17100102
20	item171001020103	17100102
21	item171001020103	17100102
22	item171001020201	17100102
23	item171001020201	17100102
24	item171001020201	17100102
25	item171001020202	17100102
26	item171001020202	17100102
27	item171001020202	17100102
28	item171001020203	17100102
29	item171001020203	17100102
30	item171001020203	17100102
31	item171001020301	17100102
32	item171001020301	17100102
33	item171001020301	17100102
34	item171001020302	17100102
35	item171001020302	17100102
36	item171001020302	17100102
37	item171001020303	17100102
38	item171001020303	17100102
39	item171001020303	17100102
40	item171001020401	17100102
41	item171001020401	17100102
42	item171001020401	17100102
43	item171001020402	17100102
44	item171001020402	17100102
45	item171001020402	17100102
46	item171001020403	17100102
47	item171001020403	17100102
48	item171001020403	17100102
49	item171001030101	17100103
50	item171001030101	17100103
51	item171001030101	17100103
52	item171001030101	17100103
53	item171001030102	17100103
54	item171001030102	17100103
55	item171001030102	17100103
56	item171001030102	17100103
57	item171001030103	17100103
58	item171001030103	17100103
59	item171001030103	17100103
60	item171001030103	17100103
61	item171001030201	17100103
62	item171001030201	17100103
63	item171001030201	17100103
64	item171001030201	17100103
65	item171001030202	17100103
66	item171001030202	17100103
67	item171001030202	17100103
68	item171001030202	17100103
69	item171001030203	17100103
70	item171001030203	17100103
71	item171001030203	17100103
72	item171001030203	17100103
73	item171001030301	17100103
74	item171001030301	17100103
75	item171001030301	17100103
76	item171001030301	17100103
77	item171001030401	17100103
78	item171001030401	17100103
79	item171001030401	17100103
80	item171001030401	17100103
81	item171001030402	17100103
82	item171001030402	17100103
83	item171001030402	17100103
84	item171001030402	17100103
85	item171001030403	17100103
86	item171001030403	17100103
87	item171001030403	17100103
88	item171001030403	17100103
89	item171001030501	17100103
90	item171001030501	17100103
91	item171001030501	17100103
92	item171001030501	17100103
93	item171001030502	17100103
94	item171001030502	17100103
95	item171001030502	17100103
96	item171001030502	17100103
97	item171001030503	17100103
98	item171001030503	17100103
99	item171001030503	17100103
100	item171001030503	17100103
101	item171001040101	17100104
102	item171001040101	17100104
103	item171001040101	17100104
104	item171001040101	17100104
105	item171001040101	17100104
106	item171001040102	17100104
107	item171001040102	17100104
108	item171001040102	17100104
109	item171001040102	17100104
110	item171001040102	17100104
111	item171001040103	17100104
112	item171001040103	17100104
113	item171001040103	17100104
114	item171001040103	17100104
115	item171001040103	17100104
116	item171001040201	17100104
117	item171001040201	17100104
118	item171001040201	17100104
119	item171001040201	17100104
120	item171001040201	17100104
121	item171001040301	17100105
122	item171001040301	17100105
123	item171001040301	17100105
124	item171001040301	17100105
125	item171001040301	17100105
126	item171001040401	17100104
127	item171001040401	17100104
128	item171001040401	17100104
129	item171001040401	17100104
130	item171001040401	17100104
131	item171001040402	17100104
132	item171001040402	17100104
133	item171001040402	17100104
134	item171001040402	17100104
135	item171001040402	17100104
136	item171001040403	17100104
137	item171001040403	17100104
138	item171001040403	17100104
139	item171001040403	17100104
140	item171001040403	17100104
141	item171001040501	17100104
142	item171001040501	17100104
143	item171001040501	17100104
144	item171001040501	17100104
145	item171001040501	17100104
146	item171001040502	17100104
147	item171001040502	17100104
148	item171001040502	17100104
149	item171001040502	17100104
150	item171001040502	17100104
151	item171001040503	17100104
152	item171001040503	17100104
153	item171001040503	17100104
154	item171001040503	17100104
155	item171001040503	17100104
156	item171001040701	17100104
157	item171001040701	17100104
158	item171001040701	17100104
159	item171001040701	17100104
160	item171001040701	17100104
161	item171001040801	17100104
162	item171001040801	17100104
163	item171001040801	17100104
164	item171001040801	17100104
165	item171001040801	17100104
