流水	共鸣属性id	属性ID	属性下限	属性上限
int	int	int	int	int
Id	RandomPropId	PropId	PropMin	PropMax
1	10001	1	420	600
2	10002	3	42	60
3	10003	4	42	60
4	10004	21	140	200
5	10005	22	140	200
6	10006	23	140	200
7	10007	24	140	200
8	10008	25	140	200
9	10009	26	140	200
10	20001	1	420	600
11	20002	3	42	60
12	20003	4	42	60
13	20004	21	140	200
14	20005	22	140	200
15	20006	23	140	200
16	20007	24	140	200
17	20008	25	140	200
18	20009	26	140	200
19	20010	1	700	1000
20	20011	3	70	100
21	20012	4	70	100
22	20013	21	210	300
23	20014	22	210	300
24	20015	23	210	300
25	20016	24	210	300
26	20017	25	210	300
27	20018	26	210	300
28	30001	1	420	600
29	30002	3	42	60
30	30003	4	42	60
31	30004	21	140	200
32	30005	22	140	200
33	30006	23	140	200
34	30007	24	140	200
35	30008	25	140	200
36	30009	26	140	200
37	30010	1	700	1000
38	30011	3	70	100
39	30012	4	70	100
40	30013	21	210	300
41	30014	22	210	300
42	30015	23	210	300
43	30016	24	210	300
44	30017	25	210	300
45	30018	26	210	300
46	30019	30	280	400
47	30020	31	280	400
48	30021	32	280	400
49	30022	33	280	400
50	30023	34	280	400
51	30024	35	280	400
52	30025	11	210	300
53	30026	112	280	400
54	40001	1	420	600
55	40002	3	42	60
56	40003	4	42	60
57	40004	21	140	200
58	40005	22	140	200
59	40006	23	140	200
60	40007	24	140	200
61	40008	25	140	200
62	40009	26	140	200
63	40010	1	700	1000
64	40011	3	70	100
65	40012	4	70	100
66	40013	21	210	300
67	40014	22	210	300
68	40015	23	210	300
69	40016	24	210	300
70	40017	25	210	300
71	40018	26	210	300
72	40019	30	280	400
73	40020	31	280	400
74	40021	32	280	400
75	40022	33	280	400
76	40023	34	280	400
77	40024	35	280	400
78	40025	11	210	300
79	40026	112	280	400
80	40027	30	410	500
81	40028	31	410	500
82	40029	32	410	500
83	40030	33	410	500
84	40031	34	410	500
85	40032	35	410	500
86	40033	11	310	400
87	40034	112	410	500
88	40035	51	410	500
89	40036	32	210	300
90	40036	34	210	300
91	40037	206	140	200
92	40037	51	210	300
93	40038	112	210	300
94	40038	52	210	300
95	40039	11	140	200
96	40039	156	210	300
97	40040	33	210	300
98	40040	13	140	200
99	50001	1	420	600
100	50002	3	42	60
101	50003	4	42	60
102	50004	21	140	200
103	50005	22	140	200
104	50006	23	140	200
105	50007	24	140	200
106	50008	25	140	200
107	50009	26	140	200
108	50010	1	700	1000
109	50011	3	70	100
110	50012	4	70	100
111	50013	21	210	300
112	50014	22	210	300
113	50015	23	210	300
114	50016	24	210	300
115	50017	25	210	300
116	50018	26	210	300
117	50019	30	280	400
118	50020	31	280	400
119	50021	32	280	400
120	50022	33	280	400
121	50023	34	280	400
122	50024	35	280	400
123	50025	11	210	300
124	50026	112	280	400
125	50027	30	410	500
126	50028	31	410	500
127	50029	32	410	500
128	50030	33	410	500
129	50031	34	410	500
130	50032	35	410	500
131	50033	11	310	400
132	50034	112	410	500
133	50035	51	410	500
134	50036	32	210	300
135	50036	34	210	300
136	50037	206	140	200
137	50037	51	210	300
138	50038	28	100	150
139	50038	36	300	400
140	50039	112	210	300
141	50039	52	210	300
142	50040	11	140	200
143	50040	156	210	300
144	50041	33	210	300
145	50041	13	140	200
