头像	模型缩放	种族编号
string	float	int
Icon	AvatarZoom	TribeId
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp01	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp02	1.000000	1
JobPotrait_sp03	1.000000	1
JobPotrait_sp04	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp05	1.000000	1
JobPotrait_sp07	1.000000	1
JobPotrait_sp08	1.000000	1
