战场机器人	名字
int	string
RobotId	RobotName
1	RobotName1
2	RobotName2
3	RobotName3
4	RobotName4
5	RobotName5
6	RobotName6
7	RobotName7
8	RobotName8
9	RobotName9
10	RobotName10
11	RobotName11
12	RobotName12
13	RobotName13
14	RobotName14
15	RobotName15
16	RobotName16
17	RobotName17
18	RobotName18
19	RobotName19
20	RobotName20
21	RobotName21
22	RobotName22
23	RobotName23
24	RobotName24
25	RobotName25
26	RobotName26
27	RobotName27
28	RobotName28
29	RobotName29
30	RobotName30
31	RobotName31
32	RobotName32
33	RobotName33
34	RobotName34
35	RobotName35
36	RobotName36
37	RobotName37
38	RobotName38
39	RobotName39
40	RobotName40
41	RobotName41
42	RobotName42
43	RobotName43
44	RobotName44
45	RobotName45
46	RobotName46
47	RobotName47
48	RobotName48
49	RobotName49
50	RobotName50
51	RobotName51
52	RobotName52
53	RobotName53
54	RobotName54
55	RobotName55
56	RobotName56
57	RobotName57
58	RobotName58
59	RobotName59
60	RobotName60
61	RobotName61
62	RobotName62
63	RobotName63
64	RobotName64
65	RobotName65
66	RobotName66
67	RobotName67
68	RobotName68
69	RobotName69
70	RobotName70
71	RobotName71
72	RobotName72
73	RobotName73
74	RobotName74
75	RobotName75
76	RobotName76
77	RobotName77
78	RobotName78
79	RobotName79
80	RobotName80
81	RobotName81
82	RobotName82
83	RobotName83
84	RobotName84
85	RobotName85
86	RobotName86
87	RobotName87
88	RobotName88
89	RobotName89
90	RobotName90
91	RobotName91
92	RobotName92
93	RobotName93
94	RobotName94
95	RobotName95
96	RobotName96
97	RobotName97
98	RobotName98
99	RobotName99
100	RobotName100
101	RobotName101
102	RobotName102
103	RobotName103
104	RobotName104
105	RobotName105
106	RobotName106
107	RobotName107
108	RobotName108
109	RobotName109
110	RobotName110
111	RobotName111
112	RobotName112
113	RobotName113
114	RobotName114
115	RobotName115
116	RobotName116
117	RobotName117
118	RobotName118
119	RobotName119
120	RobotName120
121	RobotName121
122	RobotName122
123	RobotName123
124	RobotName124
125	RobotName125
126	RobotName126
127	RobotName127
128	RobotName128
129	RobotName129
130	RobotName130
131	RobotName131
132	RobotName132
133	RobotName133
134	RobotName134
135	RobotName135
136	RobotName136
137	RobotName137
138	RobotName138
139	RobotName139
140	RobotName140
141	RobotName141
142	RobotName142
143	RobotName143
144	RobotName144
145	RobotName145
146	RobotName146
147	RobotName147
148	RobotName148
149	RobotName149
150	RobotName150
151	RobotName151
152	RobotName152
153	RobotName153
154	RobotName154
155	RobotName155
156	RobotName156
157	RobotName157
158	RobotName158
159	RobotName159
160	RobotName160
161	RobotName161
162	RobotName162
163	RobotName163
164	RobotName164
165	RobotName165
166	RobotName166
167	RobotName167
168	RobotName168
169	RobotName169
170	RobotName170
171	RobotName171
172	RobotName172
173	RobotName173
174	RobotName174
175	RobotName175
176	RobotName176
177	RobotName177
178	RobotName178
179	RobotName179
180	RobotName180
181	RobotName181
182	RobotName182
183	RobotName183
184	RobotName184
185	RobotName185
186	RobotName186
187	RobotName187
188	RobotName188
189	RobotName189
190	RobotName190
191	RobotName191
192	RobotName192
193	RobotName193
194	RobotName194
195	RobotName195
196	RobotName196
197	RobotName197
198	RobotName198
199	RobotName199
200	RobotName200
201	RobotName201
202	RobotName202
203	RobotName203
204	RobotName204
205	RobotName205
206	RobotName206
207	RobotName207
208	RobotName208
209	RobotName209
210	RobotName210
211	RobotName211
212	RobotName212
213	RobotName213
214	RobotName214
215	RobotName215
216	RobotName216
217	RobotName217
218	RobotName218
219	RobotName219
220	RobotName220
221	RobotName221
222	RobotName222
223	RobotName223
224	RobotName224
225	RobotName225
226	RobotName226
227	RobotName227
228	RobotName228
229	RobotName229
230	RobotName230
231	RobotName231
232	RobotName232
233	RobotName233
234	RobotName234
235	RobotName235
236	RobotName236
237	RobotName237
238	RobotName238
239	RobotName239
240	RobotName240
241	RobotName241
