ID	图鉴	副本ID	技能名	技能描述	应对方式
int	int	int	string	string	string
Id	AdvID	DungeonID	SkillName	SkillDes	SkillSolution
1	100008	1029	NSkName100008_01	NSkDes100008_01	NSkSolution100008_01
2	100008	1029	NSkName100008_02	NSkDes100008_02	NSkSolution100008_02
3	100008	1030	HSkName100008_01	HSkDes100008_01	HSkSolution100008_01
4	100008	1030	HSkName100008_02	HSkDes100008_02	HSkSolution100008_02
5	100008	1030	HSkName100008_03	HSkDes100008_03	HSkSolution100008_03
6	100009	1029	NSkName100009_01	NSkDes100009_01	NSkSolution100009_01
7	100009	1029	NSkName100009_02	NSkDes100009_02	NSkSolution100009_02
8	100009	1029	NSkName100009_03	NSkDes100009_03	NSkSolution100009_03
9	100009	1030	HSkName100009_01	HSkDes100009_01	HSkSolution100009_01
10	100009	1030	HSkName100009_02	HSkDes100009_02	HSkSolution100009_02
11	100009	1030	HSkName100009_03	HSkDes100009_03	HSkSolution100009_03
12	100009	1030	HSkName100009_04	HSkDes100009_04	HSkSolution100009_04
13	100010	1029	NSkName100010_01	NSkDes100010_01	NSkSolution100010_01
14	100010	1029	NSkName100010_02	NSkDes100010_02	NSkSolution100010_02
15	100010	1029	NSkName100010_03	NSkDes100010_03	NSkSolution100010_03
16	100010	1029	NSkName100010_04	NSkDes100010_04	NSkSolution100010_04
17	100010	1030	HSkName100010_01	HSkDes100010_01	HSkSolution100010_01
18	100010	1030	HSkName100010_02	HSkDes100010_02	HSkSolution100010_02
19	100010	1030	HSkName100010_03	HSkDes100010_03	HSkSolution100010_03
20	100010	1030	HSkName100010_04	HSkDes100010_04	HSkSolution100010_04
21	100010	1030	HSkName100010_05	HSkDes100010_05	HSkSolution100010_05
22	100010	1030	HSkName100010_06	HSkDes100010_06	HSkSolution100010_06
23	100010	1030	HSkName100010_07	HSkDes100010_07	HSkSolution100010_07
24	100010	1030	HSkName100010_08	HSkDes100010_08	HSkSolution100010_08
25	100023	1027	NSkName100023_01	NSkDes100023_01	NSkSolution100023_01
26	100023	1027	NSkName100023_02	NSkDes100023_02	NSkSolution100023_02
27	100023	1028	HSkName100023_01	HSkDes100023_01	HSkSolution100023_01
28	100023	1028	HSkName100023_02	HSkDes100023_02	HSkSolution100023_02
29	100022	1027	NSkName100022_01	NSkDes100022_01	NSkSolution100022_01
30	100022	1027	NSkName100022_02	NSkDes100022_02	NSkSolution100022_02
31	100022	1027	NSkName100022_03	NSkDes100022_03	NSkSolution100022_03
32	100022	1028	HSkName100022_01	HSkDes100022_01	HSkSolution100022_01
33	100022	1028	HSkName100022_02	HSkDes100022_02	HSkSolution100022_02
34	100022	1028	HSkName100022_03	HSkDes100022_03	HSkSolution100022_03
35	100024	1027	NSkName100024_01	NSkDes100024_01	NSkSolution100024_01
36	100024	1027	NSkName100024_02	NSkDes100024_02	NSkSolution100024_02
37	100024	1027	NSkName100024_03	NSkDes100024_03	NSkSolution100024_03
38	100024	1027	NSkName100024_04	NSkDes100024_04	NSkSolution100024_04
39	100024	1028	HSkName100024_01	HSkDes100024_01	HSkSolution100024_01
40	100024	1028	HSkName100024_02	HSkDes100024_02	HSkSolution100024_02
41	100024	1028	HSkName100024_03	HSkDes100024_03	HSkSolution100024_03
42	100024	1028	HSkName100024_04	HSkDes100024_04	HSkSolution100024_04
43	100024	1028	HSkName100024_05	HSkDes100024_05	HSkSolution100024_05
44	100024	1028	HSkName100024_06	HSkDes100024_06	HSkSolution100024_06
45	100037	1025	NSkName100037_01	NSkDes100037_01	NSkSolution100037_01
46	100037	1025	NSkName100037_02	NSkDes100037_02	NSkSolution100037_02
47	100037	1026	HSkName100037_01	HSkDes100037_01	HSkSolution100037_01
48	100037	1026	HSkName100037_02	HSkDes100037_02	HSkSolution100037_02
49	100040	1025	NSkName100040_01	NSkDes100040_01	NSkSolution100040_01
50	100041	1025	NSkName100041_01	NSkDes100041_01	NSkSolution100041_01
51	100042	1025	NSkName100042_01	NSkDes100042_01	NSkSolution100042_01
52	100040	1026	HSkName100040_01	HSkDes100040_01	HSkSolution100040_01
53	100041	1026	HSkName100041_01	HSkDes100041_01	HSkSolution100041_01
54	100042	1026	HSkName100042_01	HSkDes100042_01	HSkSolution100042_01
55	100043	1025	NSkName100043_01	NSkDes100043_01	NSkSolution100043_01
56	100043	1025	NSkName100043_02	NSkDes100043_02	NSkSolution100043_02
57	100043	1025	NSkName100043_03	NSkDes100043_03	NSkSolution100043_03
58	100043	1025	NSkName100043_04	NSkDes100043_04	NSkSolution100043_04
59	100043	1025	NSkName100043_05	NSkDes100043_05	NSkSolution100043_05
60	100043	1025	NSkName100043_06	NSkDes100043_06	NSkSolution100043_06
61	100043	1026	HSkName100043_01	HSkDes100043_01	HSkSolution100043_01
62	100043	1026	HSkName100043_02	HSkDes100043_02	HSkSolution100043_02
63	100043	1026	HSkName100043_03	HSkDes100043_03	HSkSolution100043_03
64	100043	1026	HSkName100043_04	HSkDes100043_04	HSkSolution100043_04
65	100043	1026	HSkName100043_05	HSkDes100043_05	HSkSolution100043_05
66	100043	1026	HSkName100043_06	HSkDes100043_06	HSkSolution100043_06
67	100043	1026	HSkName100043_07	HSkDes100043_07	HSkSolution100043_07
68	100043	1026	HSkName100043_08	HSkDes100043_08	HSkSolution100043_08
69	100043	1026	HSkName100043_09	HSkDes100043_09	HSkSolution100043_09
70	100054	1031	NSkName100054_01	NSkDes100054_01	NSkSolution100054_01
71	100054	1031	NSkName100054_02	NSkDes100054_02	NSkSolution100054_02
72	100054	1032	HSkName100054_01	HSkDes100054_01	HSkSolution100054_01
73	100054	1032	HSkName100054_02	HSkDes100054_02	HSkSolution100054_02
74	100054	1032	HSkName100054_03	HSkDes100054_03	HSkSolution100054_03
75	100055	1031	NSkName100055_01	NSkDes100055_01	NSkSolution100055_01
76	100055	1031	NSkName100055_02	NSkDes100055_02	NSkSolution100055_02
77	100055	1032	HSkName100055_01	HSkDes100055_01	HSkSolution100055_01
78	100055	1032	HSkName100055_02	HSkDes100055_02	HSkSolution100055_02
79	100055	1032	HSkName100055_03	HSkDes100055_03	HSkSolution100055_03
80	100053	1031	NSkName100053_01	NSkDes100053_01	NSkSolution100053_01
81	100053	1031	NSkName100053_02	NSkDes100053_02	NSkSolution100053_02
82	100053	1032	HSkName100053_01	HSkDes100053_01	HSkSolution100053_01
83	100053	1032	HSkName100053_02	HSkDes100053_02	HSkSolution100053_02
84	100053	1032	HSkName100053_03	HSkDes100053_03	HSkSolution100053_03
85	100056	1031	NSkName100056_01	NSkDes100056_01	NSkSolution100056_01
86	100056	1031	NSkName100056_02	NSkDes100056_02	NSkSolution100056_02
87	100056	1031	NSkName100056_03	NSkDes100056_03	NSkSolution100056_03
