ui模板id	活动类型	活动类型	排序	显示位置（funcid）	按钮页签底图	开启条件	领取完奖励UI面板是否消失	活动规则标题	活动规则内容	界面背景图	活动UI素材替换	活动icon	节日活动按钮页签UI	节日活动UI界面特效	标签时间显示	标签时间语言包	活动界面时间显示	活动界面时间语言包	展示中语言包	活动轮播引导图	活动轮播引导图下面的文字说明	跳转到某个界面	结束期是否展示
int	int	string	int	int	string	int	bool	string	string	string	string	string	string	string	int	string	int	string	string	string	string	string	int
Id	ActiveType	UiName	Order	Location	TableType	FuncId	IsDisappear	ActiveHelpTitle	ActiveHelpBody	BackGround	UIResource	ActiveIcon	ActiveTableType	ActiveUIEffect	MeanuTimeShow	MeanuTimeLanguage	MainTimeShow	MainTimeLanguage	ShowLanguage	GuidePic	GuideText	UILink	MeanuTimeFinish
1	1	SignInRewardPage	13	201		202	0								0		0						0
2	2	LoginRewardPage	15	201		203	1								0		0						0
3	3	LevelRewardPage	14	201		204	1	UI_LevelReward_HelpTitle	UI_LevelReward_HelpBody						0		0						0
4	4	WishActivityPage	12	201		205	0								0		0						0
5	5		0	0		0	0								0		0						0
6	6	AdventurerShopPage	6	201		210	0								0		0						0
8	8	GrowFundPage	10	201		216	1	GrowFundPage_HelpTitle	GrowFundPage_HelpBody	bg_chengzhangjijin	bg_chengzhangjijin02;bg_chengzhangjijin01;frame_fuli01_03				0		0						0
9	9	LuckySixPage	11	201		218	0								0		0						0
11	10	MonthCardProPage	8	201		215	0								0		0						0
12	11	MemberCardMenuPage	7	201		214	0								0		0						0
13	12	BACommonActivityPage	103	226		219	0								0		0						0
14	12	BACommonActivityPage	102	226		220	0								0		0						0
15	12	BACommonActivityPage	101	226		221	0								0		0						0
16	13	DirectBuyPage	100	226		222	0								0		0						0
17	14	FourteenTargetsPage	109	226		227	1								0		0						0
18	15	DungeonConquerActivityPage	5	201		228	1								0		0						0
19	16	BACommonActivityPage	3	201		229	1	UI_KillStarAthletics_DescTitle	UI_KillStarAthletics_DescBody						0		0						0
20	17	BACommonActivityPage	2	201		230	1	UI_BATower_DescTitle	UI_BATower_DescBody						0		0						0
21	18	StarSkyTreasureActivityPage	105	226		233	0	UI_StarSky_HelpTitle	UI_StarSky_HelpBody	bg_kaifu02					0		0						0
22	12	BACommonActivityPage	600	226		235	1								0		0						0
23	19	MobilePhoneBindingActivityPage	1	201		0	0								0		0						0
24	21	BAShopActivityPage	3	236		238	0	UI_ActiveShop_HelpTitle61	UI_ActiveShop_HelpBody61						0		0						0
25	20		0	0		236	0					btn_61huodong			0		0						0
26	22	FestivalActivityMainPage	5	236		237	0								0		0						0
27	8	GrowFundPage	2	236		240	0	GrowFundPage_HelpTitle61	GrowFundPage_HelpBody61	bg_61_chengzhangjijin	bg_61_chengzhangjijin02;bg__61_chengzhangjijin01;btn_61_tongyong				0		0						0
28	3	LevelRewardPage	4	236		239	0	UI_LevelReward_HelpTitle61	UI_LevelReward_HelpBody61						0		0						0
29	13	DirectBuyPage	1	236		239	0								0		0						0
30	23		0	0		241	1	UI_FreeBuy_HelpTitle	UI_FreeBuy_HelpBody						0		0						0
31	20		1	0		242	0			texture_718		btn_zhongxiajie			0		0						0
32	24	MidsummerMainPage	2	242		243	0								0		0						0
33	3	LevelRewardPage	4	242		244	0	UI_LevelReward_HelpTitle718	UI_LevelReward_HelpBody718						0		0						0
34	28	MidsummerLinkPage	202	226		248	0			bg_gingkofestival_4parts					0		0						0
35	21	BAShopActivityPage	2	236		246	0	UI_ActiveShop_HelpTitle71	UI_ActiveShop_HelpBody71						0		0						0
36	12	BACommonActivityPage	4	201		0	1								0		0						0
37	22	FestivalActivityMainPage	3	236		245	0								0		0						0
38	13	DirectBuyPage	1	201		201	0								0		0						0
39	26	SummerFireworksPage	97	242		241	0	UI_FireWorks_HelpTitle	UI_FireWorks_HelpBody						0		0						0
40	27		0	0		241									0		0						0
41	12	BACommonActivityPage	49	226		249	0								0		0						0
42	29	BAExchangeActivityPage	105	226		250	0								0		0						0
43	30		1	0		253	0	UI_GrandCeremony_HelpTitle	UI_GrandCeremony_HelpBody						0		0						0
44	12	BACommonActivityPage	151	226		254	0								0		0						0
45	8	GrowFundPage	96	226		240	0	GrowFundPage_HelpTitle61	GrowFundPage_HelpBody61	bg_61_chengzhangjijin	bg_61_chengzhangjijin02;bg__61_chengzhangjijin01;btn_61_tongyong				0		0						0
46	12	BACommonActivityPage	201	226		219	0								0		0						0
47	31		0	0		255	0					btn_killstar			0		0						0
48	12	BACommonActivityPage	4	226		219	0								0		0						0
49	12	BACommonActivityPage	1	226		220	0								0		0						0
50	12	BACommonActivityPage	2	226		221	0								0		0						0
51	13	DirectBuyPage	3	226		222	0								0		0						0
52	18	StarSkyTreasureActivityPage	5	226		233	0	UI_StarSky_HelpTitle	UI_StarSky_HelpBody	bg_kaifu02					0		0						0
53	12	BACommonActivityPage	95	226		219	0								0		0						0
54	12	BACommonActivityPage	94	226		221	0								0		0						0
55	13	DirectBuyPage	93	226		222	0								0		0						0
56	12	BACommonActivityPage	104	226		221	0								0		0						0
57	24	MidsummerMainPage	99	226		243	0								0		0						0
58	12	BACommonActivityPage	202	226		219	0								0		0						0
59	30		0	0		253	0	UI_GrandCeremony_HelpTitle	UI_GrandCeremony_HelpBody						0		0						0
60	9	LuckySixPage	99	226		218	0								0		0						0
61	32	ForgingFestivalActivityPage	99	226		256	0	UI_ForgingFestival_HelpTitle	UI_ForgingFestival_HelpBody						0		0						0
62	33	LuckyGiftActivityPage	143	254		249	0	Activity_LuckyGift_HelpTitle	Activity_LuckyGift_HelpDes						0		0						0
63	3	LevelRewardPage	100	226		239	0	UI_LevelReward_HelpTitle131	UI_LevelReward_HelpBody131						0		0						0
64	8	GrowFundPage	99	226		240	0	UI_LevelReward_HelpTitle910	UI_LevelReward_HelpBody910	bg_61_chengzhangjijin	bg_61_chengzhangjijin02;bg__61_chengzhangjijin01;btn_61_tongyong				0		0						0
65	34	FishingFestivalPage	99	226		120	0	Activity_Fishactive_HelpTitle	Activity_Fishactive_HelpDes						0		0						0
66	26	SummerFireworksPage	98	236		258	0	UI_Kongming_HelpTitle	UI_Kongming_HelpBody						0		0						0
67	27		0	0		258									0		0						0
68	35		0	0		236	0	UI_Masquerade_HelpTitle	UI_Masquerade_HelpBody						0		0						0
69	20		0	0		236	0			texture_midautumn		btn_zhongqiu01			0		0						0
70	3	LevelRewardPage	99	236		239	0	UI_LevelReward_HelpTitle913	UI_LevelReward_HelpBody913						0		0						0
71	21	BAShopActivityPage	126	226		238	0	UI_ActiveShop_HelpTitle20200409	UI_ActiveShop_HelpBody20200409						0		0						0
72	29	BAExchangeActivityPage	165	226		120	0								0		0						0
73	12	BACommonActivityPage	166	226		120	0								0		0						0
74	12	BACommonActivityPage	98	226		120	0								0		0						0
75	13	DirectBuyPage	98	226		120	0								0		0						0
76	20		0	0		242	0			bg_newyear_texture		btn_bleach			0		0						0
77	8	GrowFundPage	3	242		242	0	GrowFundPage_HelpTitle1001	GrowFundPage_HelpBody1001	bg_guoqing_01_chengzhangjijin	bg_guoqing_01_chengzhangjijin02;bg__guoqing_01_chengzhangjijin;btn_guoqing_01_tongyong				0		0						0
78	8	GrowFundPage	2	236		236	0	GrowFundPage_HelpTitle1031	GrowFundPage_HelpBody1031	bg_guoqing_chengzhangjijin	bg_guoqing_chengzhangjijin02;bg__guoqing_chengzhangjijin01;btn_guoqing_tongyong				0		0						0
79	3	LevelRewardPage	120	236		236	0	UI_LevelReward_HelpTitle1128	UI_LevelReward_HelpBody910						0		0						0
80	18	StarSkyTreasureActivityPage	52	242		233	0	UI_StarSky_HelpTitle1001	UI_StarSky_HelpBody	bg_gingkofestival_libra					0		0						0
81	24	MidsummerMainPage	52	242		243	0								0		0						0
82	26	SummerFireworksPage	48	242		251	0	UI_Autumn_HelpTitle	UI_Autumn_HelpBody						0		0						0
83	27		0	0		252									0		0						0
84	12	BACommonActivityPage	49	242		249	0								0		0						0
85	9	LuckySixPage	97	242		218	0								0		0						0
86	29	BAExchangeActivityPage	96	242		250	0								0		0						0
87	13	DirectBuyPage	122	226		222	0								0		0						0
88	12	BACommonActivityPage	99	236		219	0								0		0						0
89	21	BAShopActivityPage	96	236		238	0	UI_ActiveShop_HelpTitle1016	UI_ActiveShop_HelpBody1016						0		0						0
90	36	BAConsumeRebatePage	1	242		261	0	UI_ActiveShop_HelpTitle1105	UI_ActiveShop_HelpBody1105						0		0						0
91	37	PriceCuttingLuckyPage	300	236		226	0	UI_lotteryHelpTitle	UI_lotteryHelpBody						0		0						0
92	39	ExplorePlanPage	999	226		263	1	UI＿ExplorePlan＿HelpTitle	UI＿ExplorePlan＿HelpBody						0		0						0
93	12	BACommonActivityPage	29	242		254	0								0		0						0
94	20		0	0		236	0			seadayact_bg		btn_newyear			0		0						0
95	3	LevelRewardPage	99	236		236	0	UI_LevelReward_HelpTitle1031	UI_LevelReward_HelpBody910						0		0						0
96	12	BACommonActivityPage	98	236		254	0								0		0						0
97	21	BAShopActivityPage	198	236		238	0	UI_ActiveShop_HelpTitle0220	UI_ActiveShop_HelpBody0220						0		0						0
98	36	BAConsumeRebatePage	90	236		261	0	UI_ReturnReward_HelpTitle1105	UI_ReturnReward_HelpBody1105						0		0						0
99	12	BACommonActivityPage	154	254		219	0								0		0						0
100	12	BACommonActivityPage	118	236		249	0								0		0						0
101	29	BAExchangeActivityPage	98	236		250	0								0		0						0
102	12	BACommonActivityPage	115	254		254	0								0		0						0
103	43	StarChildAwakeActivityPage	106	226		409	0								0		0						0
104	24	MidsummerMainPage	248	236		243	0								0		0						0
105	36	BAConsumeRebatePage	123	226		261	0	UI_ReturnReward_HelpTitle1228	UI_ReturnReward_HelpBody1228						0		0						0
106	26	SummerFireworksPage	135	226		251	0	UI_FireWorks_HelpTitle	UI_FireWorks_HelpBody						0		0						0
107	27		0	0		252									0		0						0
108	9	LuckySixPage	116	236		218	0								0		0						0
109	29	BAExchangeActivityPage	109	236		250	0								0		0						0
110	13	DirectBuyPage	991	236		222	0								0		0						0
111	36	BAConsumeRebatePage	249	236		261	0	UI_ReturnReward_HelpTitle0220	UI_ReturnReward_HelpBody0220						0		0						0
