镜头ID	最小俯角	最大俯角	默认俯角百分比	是否锁定俯角	最近距离最小俯角	最远距离最小俯角	最近摄像机偏移	最远摄像机偏移	默认距离百分比	目标偏移	默认Y轴旋转百分比
int	float	float	float	bool	float	float	vector3	vector3	float	vector3	float
Id	MinEulerX	MaxEulerX	DefaultEulerPecent	LockedEulerX	NearestMinEulerX	FarestMinEulerX	NearestOffset	FarestOffset	DefaultFarPercent	TargetOffset	DefaultEulerPecentY
1	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	0.000000
2	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	0.000000
3	-10.000000	60.000000	0.643000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	0.000000
4	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	2.000000	0,7,0	0.000000
5	-10.000000	60.000000	0.643000	0	-10.000000	5.000000	0,0,-3	0,0,-20	2.000000	0,7,0	0.000000
6	-10.000000	60.000000	0.330000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.001000	0,7,0	0.000000
7	18.500000	18.500000	1.000000	1	15.000000	15.000000	0,0,-8.7	0,0,-8.7	0.700000	0,7,0	0.000000
8	-10.000000	60.000000	0.643000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	0.000000
9	18.299999	18.299999	1.000000	1	15.000000	15.000000	0,0,-5.7	0,0,-5.7	0.160000	0,7,0	0.000000
10	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-22	0.800000	0,7,0	0.000000
11	15.000000	45.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-22	0.800000	0,7,0	0.000000
12	15.000000	60.000000	0.330000	0	15.000000	5.000000	0,0,-3	0,0,-15	0.500000	0,7,0	0.000000
13	15.000000	45.000000	1.000000	1	15.000000	5.000000	0,0,-3	0,0,-15	0.500000	0,7,0	0.000000
14	15.000000	60.000000	0.330000	0	15.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	0.000000
15	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	105.000000
16	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	105.000000
17	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	105.000000
18	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	105.000000
19	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	110.000000
20	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	110.000000
21	15.000000	35.000000	1.000000	1	15.000000	15.000000	0,0,-3	0,0,-20	0.700000	0,7,0	90.000000
22	-10.000000	60.000000	0.400000	0	-10.000000	5.000000	0,0,-3	0,0,-20	0.700000	0,7,0	90.000000
