合成前ID	合成需要的数量	合成后ID	标题	红点标记	默认合成单个
string	int	string	string	bool	bool
Id	Numbers	Result	Title	RedTag	SingleCombine
item103010121003	4	item103010121004	Stn_Cmp_Strengthen		0
item103010121004	4	item103010121005	Stn_Cmp_Strengthen		0
item103010121005	4	item103010121006	Stn_Cmp_Strengthen		0
item103010121006	4	item103010121007	Stn_Cmp_Strengthen		0
item107200041001	30	item107210041001	Stn_Cmp_SoulStone	1	0
item107200042001	30	item107210042001	Stn_Cmp_SoulStone	1	0
item107200043001	30	item107210043001	Stn_Cmp_SoulStone	1	0
item107200051001	30	item107210051001	Stn_Cmp_SoulStone	1	0
item107200052001	30	item107210052001	Stn_Cmp_SoulStone	1	0
item107200053001	30	item107210053001	Stn_Cmp_SoulStone	1	0
item100000000012	6	item100000000013	Stn_Cmp_Box	1	0
item101020504901	10	item101020504900	Stn_Cmp_Fairy	1	0
item107200031001	10	item107210030001	Stn_Cmp_SoulStone	1	0
item101020505209	10	item101020503001	Stn_Cmp_Pet		0
item101020505210	25	item101020503101	Stn_Cmp_Pet		0
item101020505211	10	item101020503002	Stn_Cmp_Pet		0
item101020505212	25	item101020503102	Stn_Cmp_Pet		0
item101020505213	10	item101020503003	Stn_Cmp_Pet		0
item101020505214	25	item101020503103	Stn_Cmp_Pet		0
item101020505215	40	item101020503004	Stn_Cmp_Pet		0
item101020505216	50	item101020503104	Stn_Cmp_Pet		0
item101020505217	40	item101020503005	Stn_Cmp_Pet		0
item101020505218	50	item101020503105	Stn_Cmp_Pet		0
item101020505219	10	item101020503021	Stn_Cmp_Pet		0
item101020505220	25	item101020503106	Stn_Cmp_Pet		0
item101020505221	10	item101020503022	Stn_Cmp_Pet		0
item101020505222	25	item101020503107	Stn_Cmp_Pet		0
item101020505223	10	item101020503023	Stn_Cmp_Pet		0
item101020505224	25	item101020503108	Stn_Cmp_Pet		0
item101020505225	25	item101020503024	Stn_Cmp_Pet		0
item101020505226	40	item101020503109	Stn_Cmp_Pet		0
item101020505227	25	item101020503025	Stn_Cmp_Pet		0
item101020505228	40	item101020503110	Stn_Cmp_Pet		0
item101020505229	25	item101020503026	Stn_Cmp_Pet		0
item101020505230	40	item101020503111	Stn_Cmp_Pet		0
item101020505231	25	item101020503027	Stn_Cmp_Pet		0
item101020505232	40	item101020503112	Stn_Cmp_Pet		0
item101020505233	25	item101020503028	Stn_Cmp_Pet		0
item101020505234	40	item101020503113	Stn_Cmp_Pet		0
item101020505235	25	item101020503029	Stn_Cmp_Pet		0
item101020505236	40	item101020503114	Stn_Cmp_Pet		0
item101020505237	25	item101020503030	Stn_Cmp_Pet		0
item101020505238	40	item101020503115	Stn_Cmp_Pet		0
item101020505239	25	item101020503031	Stn_Cmp_Pet		0
item101020505240	40	item101020503116	Stn_Cmp_Pet		0
item101020505241	40	item101020503032	Stn_Cmp_Pet		0
item101020505242	50	item101020503117	Stn_Cmp_Pet		0
item101020505243	50	item101020503033	Stn_Cmp_Pet		0
item101020505245	40	item101020503034	Stn_Cmp_Pet		0
item101020505246	50	item101020503118	Stn_Cmp_Pet		0
item101020505247	40	item101020503035	Stn_Cmp_Pet		0
item101020505248	50	item101020503119	Stn_Cmp_Pet		0
item101020505249	40	item101020503036	Stn_Cmp_Pet		0
item101020505250	50	item101020503120	Stn_Cmp_Pet		0
item101020505251	40	item101020503037	Stn_Cmp_Pet		0
item101020505252	50	item101020503121	Stn_Cmp_Pet		0
item101020505253	50	item101020503038	Stn_Cmp_Pet		0
item101020505301	50	item101020503039	Stn_Cmp_Pet		0
item101020505302	50	item101020503040	Stn_Cmp_Pet		0
item101020505303	50	item101020503041	Stn_Cmp_Pet		0
item101020505304	50	item101020503042	Stn_Cmp_Pet		0
item101020505305	50	item101020503043	Stn_Cmp_Pet		0
item101020505306	50	item101020503044	Stn_Cmp_Pet		0
item101020505307	50	item101020503045	Stn_Cmp_Pet		0
item101020505308	50	item101020503046	Stn_Cmp_Pet		0
item101020505309	50	item101020503047	Stn_Cmp_Pet		0
item101020505310	50	item101020503048	Stn_Cmp_Pet		0
item101020505311	50	item101020503049	Stn_Cmp_Pet		0
item101020505312	50	item101020503050	Stn_Cmp_Pet		0
item101020505313	50	item101020503051	Stn_Cmp_Pet		0
item101020505314	50	item101020503052	Stn_Cmp_Pet		0
item101020505315	50	item101020503053	Stn_Cmp_Pet		0
item101020505316	50	item101020503054	Stn_Cmp_Pet		0
item101020505317	50	item101020503055	Stn_Cmp_Pet		0
item101020505318	50	item101020503056	Stn_Cmp_Pet		0
item101020505319	50	item101020503057	Stn_Cmp_Pet		0
item101020505320	25	item101020503006	Stn_Cmp_Pet		0
item101020505321	40	item101020503122	Stn_Cmp_Pet		0
item101020505322	25	item101020503007	Stn_Cmp_Pet		0
item101020505323	40	item101020503123	Stn_Cmp_Pet		0
item101020505324	25	item101020503008	Stn_Cmp_Pet		0
item101020505325	40	item101020503124	Stn_Cmp_Pet		0
item101020505326	25	item101020503009	Stn_Cmp_Pet		0
item101020505327	40	item101020503125	Stn_Cmp_Pet		0
item101020505328	40	item101020503058	Stn_Cmp_Pet		0
item101020505330	40	item101020503059	Stn_Cmp_Pet		0
item101020505331	50	item101020503060	Stn_Cmp_Pet		0
item101020505332	50	item101020503061	Stn_Cmp_Pet		0
item101020505333	40	item101020503062	Stn_Cmp_Pet		0
item101020505334	50	item101020503126	Stn_Cmp_Pet		0
item101020505335	50	item101020503063	Stn_Cmp_Pet		0
item91000000006	5	item101020507311	Stn_Cmp_Name		0
item91000000007	25	item130000940501	Stn_Cmp_Name		0
item91000001033	25	item130000940502	Stn_Cmp_Name		0
item101020505337	40	item101020503079	Stn_Cmp_Pet		0
item101020505338	50	item101020503127	Stn_Cmp_Pet		0
item101020505336	50	item101020503069	Stn_Cmp_Pet		0
item101020505339	50	item101020503081	Stn_Cmp_Pet		0
item101020505340	50	item101020503083	Stn_Cmp_Pet		0
item101020505341	50	item101020503086	Stn_Cmp_Pet		0
item101020505342	50	item101020503093	Stn_Cmp_Pet		0
item101020505343	50	item101020503097	Stn_Cmp_Pet		0
item101020505344	50	item101020503099	Stn_Cmp_Pet		0
item101020505345	50	item101020503100	Stn_Cmp_Pet		0
item101020505346	50	item101020514004	Stn_Cmp_Pet		0
item101020505347	50	item101020514005	Stn_Cmp_Pet		0
item101020505348	50	item101020514006	Stn_Cmp_Pet		0
item101020505349	50	item101020514007	Stn_Cmp_Pet		0
item101020505350	50	item101020514008	Stn_Cmp_Pet		0
item101020505351	50	item101020514009	Stn_Cmp_Pet		0
item101020505352	50	item101020514010	Stn_Cmp_Pet		0
item101020505353	50	item101020514011	Stn_Cmp_Pet		0
item101020505354	50	item101020514012	Stn_Cmp_Pet		0
item101020505355	50	item101020514013	Stn_Cmp_Pet		0
item101020505356	50	item101020514014	Stn_Cmp_Pet		0
item101020505357	50	item101020514015	Stn_Cmp_Pet		0
item101020505358	50	item101020514016	Stn_Cmp_Pet		0
item101020505359	50	item101020514017	Stn_Cmp_Pet		0
