流水	玩家等级	单次获得经验	单次获得天赋经验	获得次数上限
int	int	int	int	int
Id	Level	Exp	Talent	Hit
1	1	120	0	60
2	2	240	0	60
3	3	360	0	60
4	4	480	0	60
5	5	600	0	60
6	6	720	0	60
7	7	840	0	60
8	8	960	0	60
9	9	1080	0	60
10	10	1200	0	60
11	11	1320	0	60
12	12	1440	0	60
13	13	1560	0	60
14	14	1680	0	60
15	15	1800	210	60
16	16	1920	224	60
17	17	2040	238	60
18	18	2160	252	60
19	19	2280	266	60
20	20	2400	280	60
21	21	2520	294	60
22	22	2640	308	60
23	23	2760	322	60
24	24	2880	336	60
25	25	3000	350	60
26	26	3120	364	60
27	27	3240	378	60
28	28	3360	392	60
29	29	3480	406	60
30	30	3600	420	60
31	31	3720	434	60
32	32	3840	448	60
33	33	3960	462	60
34	34	4080	476	60
35	35	4200	490	60
36	36	4320	504	60
37	37	4440	518	60
38	38	4560	532	60
39	39	4680	546	60
40	40	4800	560	60
41	41	4920	574	60
42	42	5040	588	60
43	43	5160	602	60
44	44	5280	616	60
45	45	5400	630	60
46	46	5520	644	60
47	47	5640	658	60
48	48	5760	672	60
49	49	5880	686	60
50	50	6000	700	60
51	51	6120	714	60
52	52	6240	728	60
53	53	6360	742	60
54	54	6480	756	60
55	55	6600	770	60
56	56	6720	784	60
57	57	6840	798	60
58	58	6960	812	60
59	59	7080	826	60
60	60	7200	840	60
61	61	7320	854	60
62	62	7440	868	60
63	63	7560	882	60
64	64	7680	896	60
65	65	7800	910	60
66	66	7920	924	60
67	67	8040	938	60
68	68	8160	952	60
69	69	8280	966	60
70	70	8400	980	60
71	71	8520	994	60
72	72	8640	1008	60
73	73	8760	1022	60
74	74	8880	1036	60
75	75	9000	1050	60
76	76	9120	1064	60
77	77	9240	1078	60
78	78	9360	1092	60
79	79	9480	1106	60
80	80	9600	1120	60
81	81	9720	1134	60
82	82	9840	1148	60
83	83	9960	1162	60
84	84	10080	1176	60
85	85	10200	1190	60
86	86	10320	1204	60
87	87	10440	1218	60
88	88	10560	1232	60
89	89	10680	1246	60
90	90	10800	1260	60
91	91	10920	1274	60
92	92	11040	1288	60
93	93	11160	1302	60
94	94	11280	1316	60
95	95	11400	1330	60
96	96	11520	1344	60
97	97	11640	1358	60
98	98	11760	1372	60
99	99	11880	1386	60
100	100	12000	1400	60
101	101	12000	1414	60
102	102	12000	1428	60
103	103	12000	1442	60
104	104	12000	1456	60
105	105	12000	1470	60
106	106	12000	1484	60
107	107	12000	1498	60
108	108	12000	1512	60
109	109	12000	1526	60
110	110	12000	1540	60
111	111	12000	1554	60
112	112	12000	1568	60
113	113	12000	1582	60
114	114	12000	1596	60
115	115	12000	1610	60
116	116	12000	1624	60
117	117	12000	1638	60
118	118	12000	1652	60
119	119	12000	1666	60
120	120	12000	1680	60
121	121	12000	1694	60
122	122	12000	1708	60
123	123	12000	1722	60
124	124	12000	1736	60
125	125	12000	1750	60
126	126	12000	1764	60
127	127	12000	1778	60
128	128	12000	1792	60
129	129	12000	1806	60
130	130	12000	1820	60
131	131	12000	1834	60
132	132	12000	1848	60
133	133	12000	1862	60
134	134	12000	1876	60
135	135	12000	1890	60
136	136	12000	1904	60
137	137	12000	1918	60
138	138	12000	1932	60
139	139	12000	1946	60
140	140	12000	1960	60
141	141	12000	1974	60
142	142	12000	1988	60
143	143	12000	2002	60
144	144	12000	2016	60
145	145	12000	2030	60
146	146	12000	2044	60
147	147	12000	2058	60
148	148	12000	2072	60
149	149	12000	2086	60
150	150	12000	2100	60
151	151	12000	2114	60
152	152	12000	2128	60
153	153	12000	2142	60
154	154	12000	2156	60
155	155	12000	2170	60
156	156	12000	2184	60
157	157	12000	2198	60
158	158	12000	2212	60
159	159	12000	2226	60
160	160	12000	2240	60
161	161	12000	2254	60
162	162	12000	2268	60
163	163	12000	2282	60
164	164	12000	2296	60
165	165	12000	2310	60
166	166	12000	2324	60
167	167	12000	2338	60
168	168	12000	2352	60
169	169	12000	2366	60
170	170	12000	2380	60
171	171	12000	2394	60
172	172	12000	2408	60
173	173	12000	2422	60
174	174	12000	2436	60
175	175	12000	2450	60
176	176	12000	2464	60
177	177	12000	2478	60
178	178	12000	2492	60
179	179	12000	2506	60
180	180	12000	2520	60
181	181	12000	2534	60
182	182	12000	2548	60
183	183	12000	2562	60
184	184	12000	2576	60
185	185	12000	2590	60
186	186	12000	2604	60
187	187	12000	2618	60
188	188	12000	2632	60
189	189	12000	2646	60
190	190	12000	2660	60
191	191	12000	2674	60
192	192	12000	2688	60
193	193	12000	2702	60
194	194	12000	2716	60
195	195	12000	2730	60
196	196	12000	2744	60
197	197	12000	2758	60
198	198	12000	2772	60
199	199	12000	2786	60
200	200	12000	2800	60
