运势组合	综合运势	运势短评
int	int	string
FateGroup	IntegrateFate	FateContent
111	1	FateDes11101;FateDes11102
112	1	FateDes11201;FateDes11202
113	2	FateDes11301;FateDes11302
114	2	FateDes11401;FateDes11402
115	2	FateDes11501;FateDes11502
121	1	FateDes12101;FateDes12102
122	2	FateDes12201;FateDes12202
123	2	FateDes12301;FateDes12302
124	2	FateDes12401;FateDes12402
125	3	FateDes12501;FateDes12502
131	2	FateDes13101;FateDes13102
132	2	FateDes13201;FateDes13202
133	2	FateDes13301;FateDes13302
134	3	FateDes13401;FateDes13402
135	3	FateDes13501;FateDes13502
141	2	FateDes14101;FateDes14102
142	2	FateDes14201;FateDes14202
143	3	FateDes14301;FateDes14302
144	3	FateDes14401;FateDes14402
145	3	FateDes14501;FateDes14502
151	2	FateDes15101;FateDes15102
152	3	FateDes15201;FateDes15202
153	3	FateDes15301;FateDes15302
154	3	FateDes15401;FateDes15402
155	4	FateDes15501;FateDes15502
211	1	FateDes21101;FateDes21102
212	2	FateDes21201;FateDes21202
213	2	FateDes21301;FateDes21302
214	2	FateDes21401;FateDes21402
215	3	FateDes21501;FateDes21502
221	2	FateDes22101;FateDes22102
222	2	FateDes22201;FateDes22202
223	2	FateDes22301;FateDes22302
224	3	FateDes22401;FateDes22402
225	3	FateDes22501;FateDes22502
231	2	FateDes23101;FateDes23102
232	2	FateDes23201;FateDes23202
233	3	FateDes23301;FateDes23302
234	3	FateDes23401;FateDes23402
235	3	FateDes23501;FateDes23502
241	2	FateDes24101;FateDes24102
242	3	FateDes24201;FateDes24202
243	3	FateDes24301;FateDes24302
244	3	FateDes24401;FateDes24402
245	4	FateDes24501;FateDes24502
251	3	FateDes25101;FateDes25102
252	3	FateDes25201;FateDes25202
253	3	FateDes25301;FateDes25302
254	4	FateDes25401;FateDes25402
255	4	FateDes25501;FateDes25502
311	2	FateDes31101;FateDes31102
312	2	FateDes31201;FateDes31202
313	2	FateDes31301;FateDes31302
314	3	FateDes31401;FateDes31402
315	3	FateDes31501;FateDes31502
321	2	FateDes32101;FateDes32102
322	2	FateDes32201;FateDes32202
323	3	FateDes32301;FateDes32302
324	3	FateDes32401;FateDes32402
325	3	FateDes32501;FateDes32502
331	2	FateDes33101;FateDes33102
332	3	FateDes33201;FateDes33202
333	3	FateDes33301;FateDes33302
334	3	FateDes33401;FateDes33402
335	4	FateDes33501;FateDes33502
341	3	FateDes34101;FateDes34102
342	3	FateDes34201;FateDes34202
343	3	FateDes34301;FateDes34302
344	4	FateDes34401;FateDes34402
345	4	FateDes34501;FateDes34502
351	3	FateDes35101;FateDes35102
352	3	FateDes35201;FateDes35202
353	4	FateDes35301;FateDes35302
354	4	FateDes35401;FateDes35402
355	4	FateDes35501;FateDes35502
411	2	FateDes41101;FateDes41102
412	2	FateDes41201;FateDes41202
413	3	FateDes41301;FateDes41302
414	3	FateDes41401;FateDes41402
415	3	FateDes41501;FateDes41502
421	2	FateDes42101;FateDes42102
422	3	FateDes42201;FateDes42202
423	3	FateDes42301;FateDes42302
424	3	FateDes42401;FateDes42402
425	4	FateDes42501;FateDes42502
431	3	FateDes43101;FateDes43102
432	3	FateDes43201;FateDes43202
433	3	FateDes43301;FateDes43302
434	4	FateDes43401;FateDes43402
435	4	FateDes43501;FateDes43502
441	3	FateDes44101;FateDes44102
442	3	FateDes44201;FateDes44202
443	4	FateDes44301;FateDes44302
444	4	FateDes44401;FateDes44402
445	4	FateDes44501;FateDes44502
451	3	FateDes45101;FateDes45102
452	4	FateDes45201;FateDes45202
453	4	FateDes45301;FateDes45302
454	4	FateDes45401;FateDes45402
455	5	FateDes45501;FateDes45502
511	2	FateDes51101;FateDes51102
512	3	FateDes51201;FateDes51202
513	3	FateDes51301;FateDes51302
514	3	FateDes51401;FateDes51402
515	4	FateDes51501;FateDes51502
521	3	FateDes52101;FateDes52102
522	3	FateDes52201;FateDes52202
523	3	FateDes52301;FateDes52302
524	4	FateDes52401;FateDes52402
525	4	FateDes52501;FateDes52502
531	3	FateDes53101;FateDes53102
532	3	FateDes53201;FateDes53202
533	4	FateDes53301;FateDes53302
534	4	FateDes53401;FateDes53402
535	4	FateDes53501;FateDes53502
541	3	FateDes54101;FateDes54102
542	4	FateDes54201;FateDes54202
543	4	FateDes54301;FateDes54302
544	4	FateDes54401;FateDes54402
545	5	FateDes54501;FateDes54502
551	4	FateDes55101;FateDes55102
552	4	FateDes55201;FateDes55202
553	4	FateDes55301;FateDes55302
554	5	FateDes55401;FateDes55402
555	5	FateDes55501;FateDes55502
