NPC编号	对象类型	名称	图标	名称位置	模型编号	特效资源	触发范围	圆柱高度	圆柱半径	小地图标志
string	string	string	string	string	string	int	float	float	float	string
Id	script	Name	Icon	NamePos	Avatar	Effect	SpringRange	CollideHeight	CollideRadius	FuncIcon
npc_crack_1001	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1002	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1003	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1004	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1005	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1006	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1007	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1008	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1009	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_1010	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4001	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4002	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4003	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4004	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4005	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4006	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4007	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4008	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4009	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_4010	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3001	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3002	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3003	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3004	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3005	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3006	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3007	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3008	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3009	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
npc_crack_3010	CrackNpc	NpcName_crack_001		0,1.2,0		120000	2.000000	3.000000	0.500000	icon_daily
