流水号	类型	道具
int	int	string
Id	Type	Item
1	1	item101040101015,12
2	1	item103010111018,2
3	1	item107999900003,2
4	2	item103015110407,2
5	3	item103015110401,1
6	3	item109000000002,1
7	3	item101020505309,1
8	3	item101020505310,1
9	3	item101020505312,1
10	3	item101020505313,1
11	3	item101020505314,1
12	3	item101020505315,1
13	3	item101020505316,1
14	3	item101020505317,1
15	3	item101040101101,1
16	3	item101040101104,1
17	3	item101040101107,1
18	3	item101040101110,1
19	3	item101040101113,1
20	3	item101040101102,1
21	3	item101040101105,1
22	3	item101040101108,1
23	3	item101040101111,1
24	3	item101040101114,1
25	4	item101040101103,1
26	4	item101040101106,1
27	4	item101040101109,1
28	4	item101040101112,1
29	4	item101040101115,1
30	4	item107100052103,1
31	4	item107100052203,1
32	4	item107100052303,1
33	5	item101020503047,1
34	5	item101020503048,1
35	5	item101020503050,1
36	5	item101020503051,1
37	5	item101020503052,1
38	5	item101020503053,1
39	5	item101020503054,1
40	5	item101020503055,1
41	5	item103010133301,1
42	5	item103010134301,1
43	5	item103010135301,1
44	5	item103010136301,1
45	5	item103010137301,1
46	5	item103010138301,1
47	5	item103010132301,1
48	5	item103010132311,1
49	5	item103010132321,1
50	5	item103010132331,1
51	5	item130000940501,1
52	5	item130000940502,1
