流水	排名	奖励展示
int	int	string
Id	Rank	RewardShow
1	1	item3001,20000;item1003,500;item1028,200
2	2	item3001,18000;item1003,450;item1028,180
3	3	item3001,16000;item1003,400;item1028,160
4	4	item3001,14000;item1003,350;item1028,140
5	5	item3001,12000;item1003,300;item1028,120
6	6	item3001,10000;item1003,250;item1028,100
7	7	item3001,10000;item1003,250;item1028,100
8	8	item3001,10000;item1003,250;item1028,100
9	9	item3001,10000;item1003,250;item1028,100
10	10	item3001,10000;item1003,250;item1028,100
11	11	item3001,8000;item1003,200;item1028,60
