流水ID	石盘ID	方案名	方案	预览图
int	int	string	string	string
Id	Plate	PlanName	SetPlan	PicID
1	101	UI_DivineStone_RecommendName_1	0,2,6;0,4,6;1,1,2;1,3,4;1,5,2;2,2,2;2,4,2;3,1,6;3,3,2;3,5,6;4,2,6;4,4,6	divinestone_recommend01
2	101	UI_DivineStone_RecommendName_2	0,2,1;0,4,1;0,6,1;1,3,1;1,5,1;2,4,1;3,3,3;3,5,3;3,7,3;4,2,3;4,4,3;4,6,3	divinestone_recommend02
3	101	UI_DivineStone_RecommendName_3	0,4,5;1,1,5;1,3,5;1,5,5;1,7,5;2,2,4;2,4,4;3,1,4;3,3,2;3,5,4;4,2,4;4,4,4	divinestone_recommend03
4	201	UI_DivineStone_RecommendName_1	0,4,4;0,6,4;0,8,4;1,3,4;1,5,4;1,7,4;1,9,5;2,4,4;2,6,5;2,8,5;2,10,5;2,12,5;3,5,2;3,7,5;3,9,5;4,4,2;4,6,2;4,8,1;4,10,2;4,12,1;5,5,2;5,9,1;5,11,1;6,10,1	divinestone_recommend04
5	201	UI_DivineStone_RecommendName_2	0,4,4;0,6,4;0,8,4;1,3,4;1,5,4;1,7,4;2,6,3;2,8,3;2,10,6;2,12,6;3,1,2;3,3,2;3,5,3;3,7,4;3,9,3;3,11,6;3,13,6;4,4,3;4,6,3;4,8,3;5,5,3;5,9,4;6,6,3;6,8,3	divinestone_recommend05
6	201	UI_DivineStone_RecommendName_3	0,4,1;0,6,1;0,8,1;1,3,1;1,5,1;1,7,1;2,4,6;2,10,3;2,12,2;3,1,6;3,3,6;3,5,6;3,7,6;3,9,3;3,11,2;3,13,2;4,2,3;4,4,3;4,6,3;4,8,3;4,12,2;5,5,3;5,7,3;6,6,3	divinestone_recommend15
7	301	UI_DivineStone_RecommendName_1	0,4,1;1,3,4;1,5,1;2,4,4;2,6,1;2,8,1;2,10,1;2,12,3;3,3,4;3,5,4;3,7,3;3,9,3;3,11,3;4,4,4;4,6,5;4,8,5;4,10,5;4,12,5;5,7,2;5,9,2;5,11,2;6,6,2;6,8,2;6,10,2	divinestone_recommend06
8	301	UI_DivineStone_RecommendName_2	0,6,5;1,5,6;1,7,6;2,2,5;2,4,6;2,6,5;2,8,6;2,10,5;2,12,2;3,5,6;3,7,6;3,11,2;3,13,2;4,4,5;4,6,6;4,8,5;4,12,2;5,3,5;5,7,1;5,9,5;6,4,1;6,6,1;6,8,1;6,10,1	divinestone_recommend07
9	301	UI_DivineStone_RecommendName_3	0,4,2;0,8,2;0,10,2;1,5,2;1,7,2;2,6,2;2,8,6;2,10,6;2,12,6;3,5,5;3,7,2;3,9,6;3,11,6;4,4,5;4,6,5;4,8,2;4,10,2;5,5,5;5,7,3;5,9,2;6,4,3;6,6,3;6,8,3;6,10,3	divinestone_recommend08
10	401	UI_DivineStone_RecommendName_1	0,6,5;1,3,5;1,5,5;1,7,5;1,9,5;1,11,1;1,13,1;2,6,5;2,8,5;2,10,1;2,14,1;3,1,4;3,3,4;3,5,4;3,7,5;3,9,2;3,11,1;3,13,1;4,0,4;4,2,4;4,4,4;4,6,4;4,8,2;4,10,2;4,12,2;4,14,2;5,3,4;5,5,5;5,7,5;5,9,5;5,11,6;5,13,2;5,15,6;6,4,2;6,6,5;6,8,5;6,10,3;6,12,6;6,14,6;7,3,2;7,9,2;7,11,3;7,13,6;8,4,3;8,6,3;8,8,3;8,10,3;8,12,3	divinestone_recommend09
11	401	UI_DivineStone_RecommendName_2	0,4,1;0,10,5;1,3,4;1,5,1;1,7,5;1,9,5;1,11,5;1,13,5;2,4,4;2,6,1;2,8,1;2,10,1;2,12,3;2,14,2;3,5,4;3,7,3;3,9,3;3,11,3;3,13,2;3,15,4;4,4,1;4,6,1;4,8,1;4,10,2;4,12,2;4,14,4;5,3,1;5,5,1;5,7,3;5,9,2;5,11,3;5,13,4;6,2,1;6,4,1;6,6,3;6,8,3;6,10,3;6,12,4;6,14,4;7,3,1;7,5,1;7,7,3;7,9,3;7,11,4;8,4,1;8,6,1;8,8,1;8,10,4	divinestone_recommend10
12	401	UI_DivineStone_RecommendName_3	0,6,2;0,8,2;0,10,2;1,5,2;1,7,2;1,9,2;2,4,1;2,10,2;2,12,6;2,14,6;3,1,4;3,3,1;3,5,1;3,7,4;3,9,5;3,11,2;3,13,6;3,15,6;4,0,4;4,2,4;4,4,1;4,6,4;4,8,5;4,10,5;4,12,2;4,14,6;4,16,6;5,1,4;5,3,3;5,5,3;5,7,4;5,9,5;5,13,2;6,2,3;6,6,3;6,8,4;6,10,1;6,14,1;7,3,3;7,5,3;7,7,4;7,11,1;7,13,1;8,4,4;8,6,4;8,8,4;8,10,4;8,12,1	divinestone_recommend11
