NPC编号	对象类型	名称	名称位置	模型编号	特效资源	功能类型	目标场景组	目标场景	目标坐标X	目标坐标Y	目标坐标Z	目标朝向	组队副本拉镜头的角度	组队副本拉镜头位置偏移量	最大生存时间	是否是需要激活的场景传送门	触发范围	圆柱高度	圆柱半径	小地图标志	附近显示npc	探索ID	入口出口标志
string	string	string	string	string	int	int	string	int	float	float	float	float	vector3	vector3	int	int	float	float	float	string	bool	int	int
Id	script	Name	NamePos	Avatar	Effect	FunctionType	DestLevelGroupID	DestSceneID	DestPosX	DestPosY	DestPosZ	DestPosOrient	DungeonEnterCamAng	DungeonEnterCamPosOffset	TimeLimit	NeedActivate	SpringRange	CollideHeight	CollideRadius	FuncIcon	DisplayNpc	ExploreId	EnterType
door_900011_001	DoorNpc	door_name900011_001	0,1.2,0		10000002	3		1900	0.000000	0.900000	0.000000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansdoor	1	0	0
door_tss_001	DoorNpc	door_nametss_001	0,1.2,0		10000002	1		1	23.900000	0.900000	10.400000	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansdoor	1	0	0
door_350011	DoorNpc	door_name350011	0,1.2,0		10000002	2	100	1100	-66.278030	0.281033	-86.160530	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_350021	DoorNpc	door_name350021	0,1.2,0		10000002	2	101	1101	35.340000	0.570000	-64.610001	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_350031	DoorNpc	door_name350031	0,1.2,0		10000002	2	102	1102	8.880000	243.679993	-27.809999	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_35005	DoorNpc	door_name35005	0,1.2,0		10000002	2	103	1106	18.000000	2.200000	-45.500000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_35006	DoorNpc	door_name35006	0,1.2,0		10000002	2	105	1111	-6.800000	2.600000	5.500000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_35004	DoorNpc	door_name35004	0,1.2,0		10000002	2	104	1105	-32.099998	12.900000	56.900002	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_30009	DoorNpc	door_name30009	0,1.2,0		10000002	2	7	1040	-80.300003	9.400000	12.300000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_30012	DoorNpc	door_name30012	0,1.2,0		10000002	2	108	1113	-4.800000	4.000000	47.200001	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_Map5	DoorNpc	MapName4	0,1.2,0		10000002	1		5	50.500000	0.000000	-20.870001	0.000000			900000	1	2.000000	3.600000	1.000000	icon_tansdoor	1	0	0
door_30011	DoorNpc	door_30011	0,1.2,0		10000024	2	1,500,403	1025	-60.000000	2.800000	17.400000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_30021	DoorNpc	door_30021	0,1.2,0		10000023	2	2,400,402	1027	46.500000	1.600000	10.800000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_30031	DoorNpc	door_30031	0,1.2,0		10000027	2	3,300,401	1030	-73.018997	8.400000	-16.500000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_30041	DoorNpc	door_30041	0,1.2,0		10000025	2	4	1031	-73.018997	8.400000	-16.500000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_30051	DoorNpc	door_30051	0,1.2,0		10000026	2	5	1033	-22.600000	-0.900000	-25.600000	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_30061	DoorNpc	door_30061	0,1.2,0		10000027	2	6	1038	-41.599998	38.099998	-78.599998	0.000000			900000	1	2.000000	3.600000	1.000000	btn_fuben	1	0	0
door_300011_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1025	24.000000	3.200000	21.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300012_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1026	24.000000	3.200000	21.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300021_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1027	-30.000000	5.600000	13.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300021_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1027	-30.000000	5.600000	13.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300021_trans_03	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1027	2.300000	-2.400000	-9.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300021_trans_04	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1027	2.300000	-2.400000	-9.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300021_trans_05	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1027	23.100000	5.600000	39.400002	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300021_trans_06	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1027	23.100000	5.600000	39.400002	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300022_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1028	-30.000000	5.600000	13.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300022_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1028	-30.000000	5.600000	13.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300022_trans_03	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1028	2.300000	-2.400000	-9.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300022_trans_04	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1028	2.300000	-2.400000	-9.000000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300022_trans_05	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1028	23.100000	5.600000	39.400002	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300022_trans_06	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1028	23.100000	5.600000	39.400002	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300031_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1029	-11.800000	4.000000	4.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300031_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1029	44.000000	-0.500000	-19.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300032_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1030	-11.800000	4.000000	4.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300032_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1030	44.000000	-0.500000	-19.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300033_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1030	-11.800000	4.000000	4.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300033_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1030	44.000000	-0.500000	-19.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300041_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1031	-36.000000	5.400000	-12.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300041_trans_01_1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1031	-22.200001	9.400000	19.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300041_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1031	26.600000	17.200001	26.799999	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300042_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1032	-36.000000	5.400000	-12.600000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300042_trans_01_1	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1032	-22.200001	9.400000	19.500000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300042_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1032	26.600000	17.200001	26.799999	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300051_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1033	64.160004	-0.830000	14.610000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300051_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1033	1.440000	4.320000	44.919998	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300052_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1034	64.160004	-0.830000	14.610000	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_300052_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		1034	1.440000	4.320000	44.919998	0.000000			900000	1	2.000000	3.600000	1.000000			0	0
door_30008_trans_01	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	6.190000	-0.660000	-30.559999	46.299999			900000	1	2.000000	3.600000	1.000000			0	0
door_30008_trans_02	DoorNpc	door_dungeon	0,1.2,2		10000015	8		0	6.570000	7.840000	86.959999	-52.349998			900000	1	2.000000	3.600000	1.000000			0	0
door_30009_trans_01	DoorNpc	door_dungeon	0,1.2,2		2000003	8	7	0	37.413391	103.819199	-48.136059	0.000000			900000	1	2.000000	1.000000	1.000000			0	0
door_30009_trans_02	DoorNpc	door_dungeon	0,1.2,2		2000003	8	7	0	-94.931999	178.539993	-114.103996	0.000000			900000	1	2.000000	1.000000	1.000000			0	0
door_30009_trans_03	DoorNpc	door_dungeon	0,1.2,2		2000003	8	7	0	-84.200996	178.546997	-66.742996	0.000000			900000	1	2.000000	1.000000	1.000000			0	0
door_30009_trans_01_1	DoorNpc	door_dungeon	0,1.2,2		10000015	8	7	0	9.263477	106.469902	-50.811871	0.000000			900000	1	2.000000	1.000000	1.000000			0	0
door_30009_trans_02_1	DoorNpc	door_dungeon	0,1.2,2		10000015	8	7	0	20.477591	286.618011	49.716930	0.000000			900000	1	2.000000	1.000000	1.000000			0	0
door_30009_trans_03_1	DoorNpc	door_dungeon	0,1.2,2		10000015	8	7	0	-92.500000	178.500000	-70.400002	4.200000			900000	1	2.000000	1.000000	1.000000			0	0
door_Map1_To_Map2	DoorNpc	MapName1	0,1.2,0		10000002	1		1	-47.706821	-4.280595	-58.426689	-58.960030			900000	1	2.000000	3.600000	1.000000	icon_tansfer	1	0	0
