元素灵ID	对应道具ID	元素技能	元素天赋	技能评分	元素灵基础属性	分解产物	元素灵召唤技能	元素灵持续时间
string	string	string	string	int	string	string	string	int
ElementalId	ItemId	ElementalSkillId	ElementalTalentId	ElementalSkillValue	BasicProp	ResolveItem	ElementalSummonSkillId	ElementalTime
elemental_npc_3001	item128000020001	skill610000		0	279,200000;280,10;281,10000;282,5;283,5;284,10;285,10000;286,5;287,5;288,10;289,10;290,10;294,7500	item128000021001,25	skill600001	20
elemental_npc_4001	item128000020002	skill610001		0	279,500000;280,15;281,25000;282,10;283,10;284,20;285,25000;286,10;287,10;288,20;289,20;290,20;294,8000	item128000021002,35	skill600002	20
elemental_npc_4002	item128000020003	skill610002		0	279,500000;280,15;281,25000;282,10;283,15;284,15;285,25000;286,10;287,15;288,15;289,15;290,25;294,8000	item128000021003,35	skill600003	20
elemental_npc_4003	item128000020004	skill610003		0	279,500000;280,15;281,25000;282,10;283,10;284,20;285,25000;286,10;287,20;288,10;289,25;290,15;294,8000	item128000021004,35	skill600004	20
elemental_npc_5001	item128000020005	skill610004	skill640000	0	279,800000;280,20;281,40000;282,15;283,30;284,40;285,40000;286,15;287,35;288,35;289,50;290,50;294,8500	item128000021005,35	skill600005	25
elemental_npc_5002	item128000020006	skill610005	skill640001	0	279,800000;280,20;281,40000;282,15;283,25;284,30;285,40000;286,15;287,50;288,55;289,35;290,45;294,8500	item128000021006,35	skill600006	25
elemental_npc_5003	item128000020007	skill610006	skill640002	0	279,800000;280,20;281,40000;282,15;283,50;284,50;285,40000;286,15;287,30;288,40;289,30;290,40;294,8500	item128000021007,35	skill600007	25
elemental_npc_5004	item128000020008	skill610007	skill640003	0	279,800000;280,20;281,40000;282,15;283,30;284,50;285,40000;286,15;287,40;288,50;289,40;290,30;294,8500	item128000021008,35	skill600008	25
elemental_npc_5005	item128000020009	skill610008	skill640004	0	279,800000;280,20;281,40000;282,15;283,25;284,25;285,40000;286,15;287,50;288,45;289,45;290,50;294,8500	item128000021009,35	skill600009	25
elemental_npc_30011	item128000020001	skill610000		0	279,200;280,10;281,20;282,5;283,5;284,10;285,20;286,5;287,5;288,10;289,10;290,10;294,1500	item128000021001,25	skill605000	20
elemental_npc_40011	item128000020002	skill610001		0	279,500;280,15;281,50;282,10;283,10;284,20;285,50;286,10;287,10;288,20;289,20;290,20;294,2500	item128000021002,35	skill605001	20
elemental_npc_40021	item128000020003	skill610002		0	279,500;280,15;281,50;282,10;283,15;284,15;285,50;286,10;287,15;288,15;289,15;290,25;294,2500	item128000021003,35	skill605002	20
elemental_npc_40031	item128000020004	skill610003		0	279,500;280,15;281,50;282,10;283,10;284,20;285,50;286,10;287,20;288,10;289,25;290,15;294,2500	item128000021004,35	skill605003	20
elemental_npc_50011	item128000020005	skill610004	skill640000	0	279,800;280,20;281,80;282,15;283,30;284,40;285,80;286,15;287,35;288,35;289,50;290,50;294,3500	item128000021005,35	skill605004	25
elemental_npc_50021	item128000020006	skill610005	skill640001	0	279,800;280,20;281,80;282,15;283,25;284,30;285,80;286,15;287,50;288,55;289,35;290,45;294,3500	item128000021006,35	skill600006	25
elemental_npc_50031	item128000020007	skill610006	skill640002	0	279,800;280,20;281,80;282,15;283,50;284,50;285,80;286,15;287,30;288,40;289,30;290,40;294,3500	item128000021007,35	skill600007	25
elemental_npc_50041	item128000020008	skill610007	skill640003	0	279,800;280,20;281,80;282,15;283,30;284,50;285,80;286,15;287,40;288,50;289,40;290,30;294,3500	item128000021008,35	skill600008	25
elemental_npc_50051	item128000020009	skill610008	skill640004	0	279,800;280,20;281,80;282,15;283,25;284,25;285,80;286,15;287,50;288,45;289,45;290,50;294,3500	item128000021009,35	skill600009	25
