流水ID	元素灵ID	进阶等级	加护属性	元素灵等级需求	元素灵进化等级	消耗材料	消耗货币	进阶属性加成	技能和天赋等级	评分计算
int	string	int	string	int	int	string	string	string	int	int
ID	ElementalID	Level	BlessProp	ElementalLevel	EvolutionLevel	MaterialCost	CurrencyCost	PropList	SkillTalentLevel	CPValue
1	elemental_npc_3001	1		30	1	item128000021001,4	item1000,400000		1	300
2	elemental_npc_3001	2		40	1	item128000021001,8	item1000,800000	279,1000000;281,50000;283,50;284,50;285,50000;294,200	2	400
3	elemental_npc_3001	3		50	2	item128000021001,12	item1000,1200000	279,1000000;281,50000;283,50;284,50;285,50000;294,200	3	500
4	elemental_npc_3001	4		60	2	item128000021001,16	item1000,1600000	279,1000000;281,50000;283,50;284,50;285,50000;294,200	4	600
5	elemental_npc_3001	5		70	3			279,1000000;281,50000;283,50;284,50;285,50000;294,200	5	700
6	elemental_npc_4001	1		30	1	item128000021002,5	item1000,2500000		1	400
7	elemental_npc_4001	2		40	1	item128000021002,10	item1000,5000000	279,2000000;281,100000;285,100000;287,100;288,100;294,200	2	550
8	elemental_npc_4001	3		50	2	item128000021002,15	item1000,7500000	279,2000000;281,100000;285,100000;287,100;288,100;294,200	3	700
9	elemental_npc_4001	4		60	2	item128000021002,20	item1000,10000000	279,2000000;281,100000;285,100000;287,100;288,100;294,200	4	850
10	elemental_npc_4001	5		70	3	item128000021002,25	item1000,12500000	279,2000000;281,100000;285,100000;287,100;288,100;294,200	5	1000
11	elemental_npc_4002	1		30	1	item128000021003,5	item1000,2500000		1	400
12	elemental_npc_4002	2		40	1	item128000021003,10	item1000,5000000	279,2000000;281,100000;283,100;284,100;285,100000;294,200	2	550
13	elemental_npc_4002	3		50	2	item128000021003,15	item1000,7500000	279,2000000;281,100000;283,100;284,100;285,100000;294,200	3	700
14	elemental_npc_4002	4		60	2	item128000021003,20	item1000,10000000	279,2000000;281,100000;283,100;284,100;285,100000;294,200	4	850
15	elemental_npc_4002	5		70	3	item128000021003,25	item1000,12500000	279,2000000;281,100000;283,100;284,100;285,100000;294,200	5	1000
16	elemental_npc_4003	1		30	1	item128000021004,5	item1000,2500000		1	400
17	elemental_npc_4003	2		40	1	item128000021004,10	item1000,5000000	279,2000000;281,100000;283,100;285,100000;289,100;294,200	2	550
18	elemental_npc_4003	3		50	2	item128000021004,15	item1000,7500000	279,2000000;281,100000;283,100;285,100000;289,100;294,200	3	700
19	elemental_npc_4003	4		60	2	item128000021004,20	item1000,10000000	279,2000000;281,100000;283,100;285,100000;289,100;294,200	4	850
20	elemental_npc_4003	5		70	3	item128000021004,25	item1000,12500000	279,2000000;281,100000;283,100;285,100000;289,100;294,200	5	1000
21	elemental_npc_5001	1		30	1	item128000021005,6	item1000,6000000		1	600
22	elemental_npc_5001	2		40	1	item128000021005,12	item1000,12000000	279,4000000;281,200000;285,200000;289,200;290,200;294,200	2	780
23	elemental_npc_5001	3		50	2	item128000021005,18	item1000,18000000	279,4000000;281,200000;285,200000;289,200;290,200;294,200	3	960
24	elemental_npc_5001	4		60	2	item128000021005,24	item1000,24000000	279,4000000;281,200000;285,200000;289,200;290,200;294,200	4	1140
25	elemental_npc_5001	5		70	3	item128000021005,30	item1000,30000000	279,4000000;281,200000;285,200000;289,200;290,200;294,200	5	1320
26	elemental_npc_5001	6		80	3	item128000021005,36	item1000,36000000	279,4000000;281,200000;285,200000;289,200;290,200;294,200	6	1500
27	elemental_npc_5002	1		30	1	item128000021006,6	item1000,6000000		1	600
28	elemental_npc_5002	2		40	1	item128000021006,12	item1000,12000000	279,4000000;281,200000;285,200000;287,200;288,200;294,200	2	780
29	elemental_npc_5002	3		50	2	item128000021005,18	item1000,18000000	279,4000000;281,200000;285,200000;287,200;288,200;294,200	3	960
30	elemental_npc_5002	4		60	2	item128000021006,24	item1000,24000000	279,4000000;281,200000;285,200000;287,200;288,200;294,200	4	1140
31	elemental_npc_5002	5		70	3	item128000021006,30	item1000,30000000	279,4000000;281,200000;285,200000;287,200;288,200;294,200	5	1320
32	elemental_npc_5002	6		80	3	item128000021006,36	item1000,36000000	279,4000000;281,200000;285,200000;287,200;288,200;294,200	6	1500
33	elemental_npc_5003	1		30	1	item128000021007,6	item1000,6000000		1	600
34	elemental_npc_5003	2		40	1	item128000021007,12	item1000,12000000	279,4000000;281,200000;283,200;284,200;285,200000;294,200	2	780
35	elemental_npc_5003	3		50	2	item128000021007,18	item1000,18000000	279,4000000;281,200000;283,200;284,200;285,200000;294,200	3	960
36	elemental_npc_5003	4		60	2	item128000021007,24	item1000,24000000	279,4000000;281,200000;283,200;284,200;285,200000;294,200	4	1140
37	elemental_npc_5003	5		70	3	item128000021007,30	item1000,30000000	279,4000000;281,200000;283,200;284,200;285,200000;294,200	5	1320
38	elemental_npc_5003	6		80	3	item128000021007,36	item1000,36000000	279,4000000;281,200000;283,200;284,200;285,200000;294,200	6	1500
39	elemental_npc_5004	1		30	1	item128000021008,6	item1000,6000000		1	600
40	elemental_npc_5004	2		40	1	item128000021008,12	item1000,12000000	279,4000000;281,200000;284,200;285,200000;288,200;294,200	2	780
41	elemental_npc_5004	3		50	2	item128000021008,18	item1000,18000000	279,4000000;281,200000;284,200;285,200000;288,200;294,200	3	960
42	elemental_npc_5004	4		60	2	item128000021008,24	item1000,24000000	279,4000000;281,200000;284,200;285,200000;288,200;294,200	4	1140
43	elemental_npc_5004	5		70	3	item128000021008,30	item1000,30000000	279,4000000;281,200000;284,200;285,200000;288,200;294,200	5	1320
44	elemental_npc_5004	6		80	3	item128000021008,36	item1000,36000000	279,4000000;281,200000;284,200;285,200000;288,200;294,200	6	1500
45	elemental_npc_5005	1		30	1	item128000021009,6	item1000,6000000		1	600
46	elemental_npc_5005	2		40	1	item128000021009,12	item1000,12000000	279,4000000;281,200000;285,200000;287,200;290,200;294,200	2	780
47	elemental_npc_5005	3		50	2	item128000021009,18	item1000,18000000	279,4000000;281,200000;285,200000;287,200;290,200;294,200	3	960
48	elemental_npc_5005	4		60	2	item128000021009,24	item1000,24000000	279,4000000;281,200000;285,200000;287,200;290,200;294,200	4	1140
49	elemental_npc_5005	5		70	3	item128000021009,30	item1000,30000000	279,4000000;281,200000;285,200000;287,200;290,200;294,200	5	1320
50	elemental_npc_5005	6		80	3	item128000021009,36	item1000,36000000	279,4000000;281,200000;285,200000;287,200;290,200;294,200	6	1500
