流水	类型	精炼等级	所需经验	加成万分比
int	int	int	int	float
Id	Type	RefineLevel	ExperienceNum	AdditionNum
1	1	1	1000	1000.000000
2	1	2	3500	2000.000000
3	1	3	13500	3000.000000
4	1	4	38500	4000.000000
5	1	5	91000	5000.000000
6	1	6	181000	6000.000000
7	1	7	321000	7000.000000
8	1	8	481000	8000.000000
9	1	9	681000	9000.000000
10	1	10	1131000	10000.000000
11	2	1	1000	1000.000000
12	2	2	3500	2000.000000
13	2	3	13500	3000.000000
14	2	4	38500	4000.000000
15	2	5	91000	5000.000000
16	2	6	181000	6000.000000
17	2	7	321000	7000.000000
18	2	8	481000	8000.000000
19	2	9	681000	9000.000000
20	2	10	1131000	10000.000000
21	3	1	1000	1000.000000
22	3	2	3500	2000.000000
23	3	3	13500	3000.000000
24	3	4	38500	4000.000000
25	3	5	91000	5000.000000
26	3	6	181000	6000.000000
27	3	7	321000	7000.000000
28	3	8	481000	8000.000000
29	3	9	681000	9000.000000
30	3	10	1131000	10000.000000
31	4	1	1000	1000.000000
32	4	2	3500	2000.000000
33	4	3	13500	3000.000000
34	4	4	38500	4000.000000
35	4	5	91000	5000.000000
36	4	6	181000	6000.000000
37	4	7	321000	7000.000000
38	4	8	481000	8000.000000
39	4	9	681000	9000.000000
40	4	10	1131000	10000.000000
41	5	1	1000	1000.000000
42	5	2	3500	2000.000000
43	5	3	13500	3000.000000
44	5	4	38500	4000.000000
45	5	5	91000	5000.000000
46	5	6	181000	6000.000000
47	5	7	321000	7000.000000
48	5	8	481000	8000.000000
49	5	9	681000	9000.000000
50	5	10	1131000	10000.000000
51	6	1	1000	1000.000000
52	6	2	3500	2000.000000
53	6	3	13500	3000.000000
54	6	4	38500	4000.000000
55	6	5	91000	5000.000000
56	6	6	181000	6000.000000
57	6	7	321000	7000.000000
58	6	8	481000	8000.000000
59	6	9	681000	9000.000000
60	6	10	1131000	10000.000000
