流水ID	元素灵ID	进化等级	模型倍数	UI界面模型位置	UI界面模型倍数	圆柱高度	圆柱半径	高模特效	低模特效
int	string	string	float	string	float	float	float	string	string
ID	ElementalID	EvolutionLevel	AvatarZoom	AvatarLocation	UIAvatarZoom	CollideHeight	CollideRadius	HighEffect	LowEffect
1	elemental_npc_3001	1	1.000000	0;0;-0.25	1.000000	2.000000	0.500000	41001000	41001000
2	elemental_npc_3001	2	1.100000	0;0;-0.25	1.100000	2.000000	0.500000	41001000	41001000
3	elemental_npc_3001	3	1.250000	0;0;-0.25	1.250000	2.000000	0.500000	41001000	41001000
4	elemental_npc_4001	1	1.000000	0;0;-0.25	1.000000	2.000000	0.500000	41001001	41001001
5	elemental_npc_4001	2	1.100000	0;0;-0.25	1.100000	2.000000	0.500000	41001001	41001001
6	elemental_npc_4001	3	1.250000	0;0;-0.25	1.250000	2.000000	0.500000	41001001	41001001
7	elemental_npc_4002	1	1.000000	0;0;-0.25	1.000000	2.000000	0.500000	41001002	41001002
8	elemental_npc_4002	2	1.100000	0;0;-0.25	1.100000	2.000000	0.500000	41001002	41001002
9	elemental_npc_4002	3	1.250000	0;0;-0.25	1.250000	2.000000	0.500000	41001002	41001002
10	elemental_npc_4003	1	1.000000	0;0;-0.25	1.000000	2.000000	0.500000	41001003	41001003
11	elemental_npc_4003	2	1.100000	0;0;-0.25	1.100000	2.000000	0.500000	41001003	41001003
12	elemental_npc_4003	3	1.250000	0;0;-0.25	1.250000	2.000000	0.500000	41001003	41001003
13	elemental_npc_5001	1	0.800000	0;0;-0.25	1.000000	2.000000	0.500000	41001004	41001004
14	elemental_npc_5001	2	0.880000	0;0;-0.25	1.100000	2.000000	0.500000	41001004	41001004
15	elemental_npc_5001	3	1.000000	0;0;-0.25	1.250000	2.000000	0.500000	41001004	41001004
16	elemental_npc_5002	1	0.800000	0;0;-0.25	1.000000	2.000000	0.500000	41001005	41001005
17	elemental_npc_5002	2	0.880000	0;0;-0.25	1.100000	2.000000	0.500000	41001005	41001005
18	elemental_npc_5002	3	1.000000	0;0;-0.25	1.250000	2.000000	0.500000	41001005	41001005
19	elemental_npc_5003	1	1.000000	0;-1.1;1	1.000000	2.000000	0.500000	41001006	41001006
20	elemental_npc_5003	2	1.100000	0;-1.1;1	1.100000	2.000000	0.500000	41001006	41001006
21	elemental_npc_5003	3	1.250000	0;-1.1;1	1.250000	2.000000	0.500000	41001006	41001006
22	elemental_npc_5004	1	1.000000	0;0;-0.25	1.000000	2.000000	0.500000	41001007	41001007
23	elemental_npc_5004	2	1.100000	0;0;-0.25	1.100000	2.000000	0.500000	41001007	41001007
24	elemental_npc_5004	3	1.250000	0;0;-0.25	1.250000	2.000000	0.500000	41001007	41001007
25	elemental_npc_5005	1	1.000000	0;0;-0.25	1.000000	2.000000	0.500000	41001008	41001008
26	elemental_npc_5005	2	1.100000	0;0;-0.25	1.100000	2.000000	0.500000	41001008	41001008
27	elemental_npc_5005	3	1.250000	0;0;-0.25	1.250000	2.000000	0.500000	41001008	41001008
