流水	属性库	属性id
int	int	int
Id	DropBox	RandomPropId
1	10001	1001
2	10001	1002
3	10001	1003
4	10001	1004
5	10001	1005
6	10001	1006
7	10001	1007
8	10001	1008
9	10001	1009
10	10002	2001
11	10002	2002
12	10002	2003
13	10002	2004
14	10002	2005
15	10002	2006
16	10002	2007
17	10002	2008
18	10002	2009
19	10002	2010
20	10002	2011
21	10003	3001
22	10003	3002
23	10003	3003
24	10003	3004
25	10003	3005
26	10003	3006
27	10003	3007
28	10003	3008
29	10003	3009
30	10003	3010
31	10003	3011
32	10004	4001
33	10004	4002
34	10004	4003
35	10004	4004
36	10004	4005
37	10004	4006
38	10004	4007
39	10004	4008
40	10004	4009
41	10004	4010
42	10004	4011
43	10004	4012
44	10004	4013
45	10004	4014
